scenario,UERE_m,H95_m
S0. Базовый (трансл. эфемерида),0.673,1.211
"S1. + SSR/PPP орбита+часы, фазовая ISL",0.490,0.882
S2. + оценка тропосферы (ZWD) и метео,0.357,0.643
"S3. + space-Rb сверх 15 якорей, ISL-синхр.",0.312,0.562
"S4. PPP-RTK (фаза, после сходимости)",-,0.150
