n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,78.38,72.86,0,18,8.77,1.124,226.517,5.451,12.556,6.027,13.024,0.0,0.0
2701,78.38,72.94,0,18,8.77,1.153,359.453,5.681,11.11,6.311,11.573,600.0,0.1667
2701,78.38,72.71,0,18,8.77,1.152,33213.098,47.604,9.425,54.825,9.811,1200.0,0.3333
2701,78.38,72.49,0,18,8.78,1.155,25221.132,46.858,8.932,53.857,10.034,1800.0,0.5
2701,78.38,72.6,0,18,8.77,1.153,739.784,7.258,10.478,8.129,11.436,2400.0,0.6667
2701,78.38,72.82,0,19,8.77,1.124,263.577,5.401,12.147,5.966,12.571,3000.0,0.8333
2701,78.38,72.94,0,19,8.77,1.123,297.895,5.659,12.12,6.262,12.566,3600.0,1.0
2701,78.38,72.64,0,18,8.77,1.145,714.368,7.895,10.329,8.865,10.887,4200.0,1.1667
2701,78.38,72.31,0,18,8.77,1.145,10266.277,32.331,8.867,37.106,9.965,4800.0,1.3333
2701,78.38,72.82,0,18,8.77,1.15,12275.635,33.729,9.465,38.769,9.822,5400.0,1.5
2701,78.38,72.86,0,17,8.76,1.15,366.699,5.48,11.222,6.08,11.643,6000.0,1.6667
2701,78.38,72.82,0,18,8.77,1.124,226.441,5.516,12.556,6.103,13.036,6600.0,1.8333
2701,78.38,72.94,0,17,8.76,1.152,354.589,5.522,11.151,6.126,11.574,7200.0,2.0
2701,78.38,72.71,0,18,8.79,1.142,3895575.95,1938.578,9.417,2243.122,9.794,7800.0,2.1667
2701,78.38,72.27,0,19,8.77,1.117,3472841.782,3517.326,8.986,4059.447,10.086,8400.0,2.3333
2701,78.38,72.64,0,18,8.76,1.145,764.036,7.909,10.371,8.88,10.989,9000.0,2.5
2701,78.38,72.79,0,19,8.76,1.119,305.856,5.604,12.119,6.2,12.565,9600.0,2.6667
2701,78.38,72.82,0,19,8.77,1.122,257.572,5.343,12.12,5.899,12.567,10200.0,2.8333
2701,78.38,72.6,0,18,8.76,1.148,840.879,7.736,10.976,8.683,11.44,10800.0,3.0
2701,78.38,72.53,0,19,8.77,1.12,7789.323,36.69,8.631,42.132,9.255,11400.0,3.1667
2701,78.38,72.68,0,19,8.76,1.125,8104.164,23.981,9.466,27.499,9.836,12000.0,3.3333
2701,78.38,72.97,0,18,8.77,1.151,371.888,5.678,11.122,6.309,11.581,12600.0,3.5
2701,78.38,72.94,0,18,8.77,1.124,226.26,5.517,12.554,6.103,13.023,13200.0,3.6667
2701,78.38,72.97,0,18,8.76,1.152,352.332,5.71,11.093,6.345,11.564,13800.0,3.8333
2701,78.38,72.68,0,19,8.77,1.121,26947.852,40.027,9.417,46.053,9.798,14400.0,4.0
2701,78.38,72.42,0,19,8.77,1.116,26895.299,68.325,8.64,78.616,9.169,15000.0,4.1667
2701,78.38,72.68,0,18,8.77,1.128,783.646,7.507,10.984,8.416,11.453,15600.0,4.3333
2701,78.38,72.79,0,19,8.77,1.121,252.147,5.369,12.116,5.928,12.565,16200.0,4.5
2701,78.38,72.86,0,19,8.77,1.116,311.816,5.564,12.135,6.151,12.57,16800.0,4.6667
2701,78.38,72.71,0,18,8.77,1.145,818.316,7.874,10.285,8.846,10.666,17400.0,4.8333
2701,78.38,72.45,0,19,8.78,1.12,11217.34,33.094,8.859,37.986,9.99,18000.0,5.0
2701,78.38,72.68,0,19,8.76,1.124,11602.498,28.41,9.435,32.619,9.807,18600.0,5.1667
2701,78.38,72.94,0,17,8.77,1.151,377.219,5.54,11.114,6.15,11.58,19200.0,5.3333
2701,78.38,72.86,0,18,8.77,1.124,225.975,5.761,12.546,6.383,13.028,19800.0,5.5
2701,78.38,72.9,0,18,8.77,1.151,378.793,5.613,11.226,6.234,11.675,20400.0,5.6667
2701,78.38,72.82,0,18,8.76,1.153,13487.2,40.291,9.458,46.355,9.909,21000.0,5.8333
2701,78.38,72.42,0,18,8.79,1.145,13073.69,33.836,8.686,38.84,9.714,21600.0,6.0
2701,78.38,72.68,0,18,8.77,1.151,807.457,7.825,10.32,8.78,10.84,22200.0,6.1667
2701,78.38,72.94,0,17,8.76,1.142,290.684,5.554,12.132,6.144,12.57,22800.0,6.3333
2701,78.38,72.94,0,18,8.77,1.15,269.523,5.379,12.119,5.942,12.564,23400.0,6.5
2701,78.38,72.6,0,18,8.76,1.154,790.902,7.754,10.382,8.702,10.999,24000.0,6.6667
2701,78.38,72.45,0,18,8.78,1.153,20065.67,41.823,8.691,48.052,9.73,24600.0,6.8333
2701,78.38,72.75,0,18,8.76,1.154,20341.213,36.733,9.396,42.252,9.743,25200.0,7.0
2701,78.38,72.9,0,18,8.78,1.152,350.908,5.474,11.166,6.072,11.599,25800.0,7.1667
2701,78.38,72.86,0,18,8.77,1.124,226.193,5.441,12.552,6.016,13.028,26400.0,7.3333
2701,78.38,72.97,0,18,8.77,1.151,373.415,5.672,11.109,6.302,11.575,27000.0,7.5
2701,78.38,72.64,0,18,8.77,1.144,8980.044,24.936,9.411,28.602,9.787,27600.0,7.6667
2701,78.38,72.42,0,18,8.78,1.141,8641.577,39.481,8.66,45.346,9.69,28200.0,7.8333
2701,78.38,72.68,0,18,8.76,1.122,1051.324,8.129,10.989,9.138,11.448,28800.0,8.0
2701,78.38,72.9,0,18,8.77,1.117,241.701,5.402,12.119,5.964,12.558,29400.0,8.1667
2701,78.38,72.86,0,19,8.77,1.117,248.654,5.346,12.11,5.902,12.558,30000.0,8.3333
2701,78.38,72.68,0,18,8.76,1.121,955.327,7.945,10.299,8.928,10.682,30600.0,8.5
2701,78.38,72.42,0,18,8.78,1.148,95666.328,106.775,8.806,122.952,9.911,31200.0,8.6667
2701,78.38,72.68,0,18,8.78,1.147,81187.532,80.657,9.427,93.047,9.803,31800.0,8.8333
2701,78.38,72.97,0,17,8.78,1.152,353.22,5.511,11.164,6.112,11.607,32400.0,9.0
2701,78.38,72.86,0,18,8.78,1.124,226.403,5.513,12.548,6.099,13.022,33000.0,9.1667
2701,78.38,72.86,0,18,8.77,1.15,368.181,5.491,11.206,6.093,11.642,33600.0,9.3333
2701,78.38,72.79,0,18,8.77,1.149,10619.146,37.325,9.391,42.935,9.775,34200.0,9.5
2701,78.38,72.34,0,18,8.77,1.155,9140.389,31.57,8.645,36.225,9.21,34800.0,9.6667
2701,78.38,72.68,0,17,8.77,1.152,708.155,7.564,10.986,8.482,11.448,35400.0,9.8333
2701,78.38,72.97,0,18,8.77,1.146,276.88,5.556,12.138,6.145,12.576,36000.0,10.0
2701,78.38,72.9,0,18,8.77,1.146,282.628,5.674,12.112,6.28,12.548,36600.0,10.1667
2701,78.38,72.68,0,18,8.77,1.153,746.233,7.489,10.306,8.395,10.69,37200.0,10.3333
2701,78.38,72.38,0,18,8.78,1.15,36171.785,54.86,8.637,63.087,9.332,37800.0,10.5
2701,78.38,72.82,0,18,8.78,1.15,57425.904,109.8,9.442,126.738,9.819,38400.0,10.6667
2701,78.38,72.86,0,18,8.78,1.153,358.043,5.518,11.223,6.124,11.684,39000.0,10.8333
2701,78.38,72.82,0,18,8.76,1.124,226.507,5.437,12.551,6.013,13.03,39600.0,11.0
2701,78.38,72.97,0,17,8.78,1.15,363.085,5.562,11.126,6.173,11.577,40200.0,11.1667
2701,78.38,72.71,0,18,8.78,1.145,17179.446,33.554,9.412,38.563,9.782,40800.0,11.3333
2701,78.38,72.45,0,19,8.78,1.129,14412.1,36.245,8.866,41.619,9.941,41400.0,11.5
2701,78.38,72.64,0,18,8.76,1.12,889.92,7.611,10.305,8.542,10.682,42000.0,11.6667
2701,78.38,72.86,0,19,8.77,1.117,244.221,5.269,12.127,5.812,12.575,42600.0,11.8333
2701,78.38,72.9,0,19,8.77,1.118,246.025,5.329,12.105,5.882,12.543,43200.0,12.0
2701,78.38,72.68,0,19,8.78,1.123,729.113,7.274,10.284,8.148,10.732,43800.0,12.1667
2701,78.38,72.31,0,18,8.77,1.144,14782.585,47.338,8.72,54.407,9.776,44400.0,12.3333
2701,78.38,72.71,0,18,8.78,1.143,18713.413,33.95,9.412,39.025,9.787,45000.0,12.5
2701,78.38,72.94,0,18,8.77,1.15,362.996,5.65,11.176,6.275,11.618,45600.0,12.6667
2701,78.38,72.86,0,18,8.78,1.124,226.504,5.354,12.553,5.917,13.022,46200.0,12.8333
2701,78.38,72.9,0,18,8.77,1.152,358.123,5.621,11.069,6.242,11.555,46800.0,13.0
2701,78.38,72.71,0,18,8.77,1.155,45336.932,56.759,9.415,65.405,9.806,47400.0,13.1667
2701,78.38,72.45,0,18,8.78,1.156,33983.159,56.34,8.733,64.798,9.783,48000.0,13.3333
2701,78.38,72.6,0,18,8.76,1.153,744.957,7.421,10.826,8.318,11.448,48600.0,13.5
2701,78.38,72.9,0,19,8.77,1.126,264.297,5.49,12.154,6.069,12.58,49200.0,13.6667
2701,78.38,72.94,0,19,8.77,1.123,297.022,5.582,12.123,6.175,12.56,49800.0,13.8333
2701,78.38,72.68,0,17,8.76,1.152,861.438,8.155,10.468,9.163,11.426,50400.0,14.0
2701,78.38,72.34,0,18,8.78,1.148,9284.775,31.709,8.722,36.388,9.779,51000.0,14.1667
2701,78.38,72.82,0,18,8.77,1.154,11202.322,33.544,9.47,38.558,9.828,51600.0,14.3333
2701,78.38,72.9,0,17,8.76,1.15,368.08,5.55,11.279,6.16,11.727,52200.0,14.5
2701,78.38,72.82,0,18,8.77,1.124,226.397,5.604,12.548,6.202,13.033,52800.0,14.6667
2701,78.38,72.94,0,17,8.77,1.152,355.787,5.639,11.143,6.262,11.563,53400.0,14.8333
2701,78.38,72.68,0,19,8.78,1.124,116399.114,107.105,9.389,123.626,9.744,54000.0,15.0
2701,78.38,72.38,0,19,8.77,1.118,128383.098,127.451,8.734,146.795,9.717,54600.0,15.1667
2701,78.38,72.64,0,18,8.77,1.146,769.397,7.8,10.992,8.754,11.46,55200.0,15.3333
2701,78.38,72.79,0,19,8.76,1.12,304.854,5.461,12.134,6.035,12.579,55800.0,15.5
2701,78.38,72.82,0,19,8.78,1.122,256.884,5.361,12.113,5.918,12.558,56400.0,15.6667
2701,78.38,72.6,0,18,8.77,1.147,834.51,7.754,10.328,8.704,10.966,57000.0,15.8333
2701,78.38,72.53,0,19,8.77,1.119,8438.514,38.151,8.655,43.815,9.707,57600.0,16.0
2701,78.38,72.68,0,19,8.77,1.121,8711.76,24.229,9.483,27.788,10.251,58200.0,16.1667
2701,78.38,72.97,0,18,8.77,1.151,373.302,5.556,11.13,6.169,11.592,58800.0,16.3333
2701,78.38,72.97,0,18,8.77,1.124,226.183,5.433,12.547,6.007,13.019,59400.0,16.5
2701,78.38,72.97,0,18,8.77,1.151,382.83,5.804,11.151,6.454,11.583,60000.0,16.6667
2701,78.38,72.68,0,19,8.76,1.119,21948.817,36.051,9.408,41.453,9.791,60600.0,16.8333
2701,78.38,72.49,0,19,8.77,1.117,21220.36,58.615,8.649,67.421,9.366,61200.0,17.0
2701,78.38,72.53,0,18,8.77,1.128,789.341,7.721,11.004,8.66,11.471,61800.0,17.1667
2701,78.38,72.82,0,19,8.77,1.121,252.812,5.267,12.127,5.812,12.581,62400.0,17.3333
2701,78.38,72.82,0,19,8.77,1.12,310.871,5.467,12.111,6.04,12.557,63000.0,17.5
2701,78.38,72.71,0,18,8.76,1.145,812.337,7.949,10.239,8.931,10.594,63600.0,17.6667
2701,78.38,72.27,0,19,8.77,1.119,12622.887,34.518,9.351,39.628,10.616,64200.0,17.8333
2701,78.38,72.68,0,19,8.77,1.123,12870.83,30.138,9.403,34.618,9.756,64800.0,18.0
2701,78.38,72.94,0,17,8.77,1.151,347.552,5.557,11.155,6.168,11.601,65400.0,18.1667
2701,78.38,72.82,0,18,8.77,1.124,225.987,5.696,12.556,6.308,13.036,66000.0,18.3333
2701,78.38,72.9,0,18,8.77,1.151,377.34,5.446,11.193,6.042,11.642,66600.0,18.5
2701,78.38,72.82,0,18,8.77,1.153,12090.438,37.474,9.481,43.096,10.273,67200.0,18.6667
2701,78.38,72.38,0,18,8.78,1.147,11576.19,32.986,8.716,37.862,9.765,67800.0,18.8333
2701,78.38,72.68,0,18,8.77,1.151,813.442,7.983,11.003,8.962,11.464,68400.0,19.0
2701,78.38,72.94,0,18,8.77,1.142,291.527,5.733,12.146,6.347,12.582,69000.0,19.1667
2701,78.38,72.86,0,19,8.77,1.126,268.777,5.459,12.116,6.034,12.562,69600.0,19.3333
2701,78.38,72.6,0,18,8.76,1.154,785.149,7.795,10.374,8.752,11.005,70200.0,19.5
2701,78.38,72.45,0,18,8.78,1.157,25085.569,45.769,8.895,52.601,10.033,70800.0,19.6667
2701,78.38,72.71,0,18,8.78,1.155,24519.623,39.782,9.434,45.781,9.819,71400.0,19.8333
2701,78.38,72.9,0,18,8.77,1.152,349.785,5.398,11.146,5.984,11.607,72000.0,20.0
2701,78.38,72.86,0,18,8.77,1.124,226.269,5.359,12.56,5.922,13.035,72600.0,20.1667
2701,78.38,72.97,0,18,8.77,1.15,371.996,5.826,11.1,6.478,11.564,73200.0,20.3333
2701,78.38,72.71,0,18,8.77,1.146,8330.936,28.098,9.384,32.257,9.786,73800.0,20.5
2701,78.38,72.38,0,18,8.77,1.142,7964.188,35.715,8.646,41.005,9.216,74400.0,20.6667
2701,78.38,72.68,0,18,8.77,1.123,1060.601,7.649,11.009,8.58,11.469,75000.0,20.8333
2701,78.38,72.9,0,19,8.76,1.118,242.313,5.337,12.127,5.891,12.564,75600.0,21.0
2701,78.38,72.86,0,19,8.77,1.117,247.999,5.345,12.097,5.901,12.536,76200.0,21.1667
2701,78.38,72.68,0,18,8.77,1.12,947.581,7.777,10.239,8.735,10.577,76800.0,21.3333
2701,78.38,72.45,0,18,8.77,1.147,2288889.039,1331.494,9.043,1534.449,10.143,77400.0,21.5
2701,78.38,72.71,0,18,8.78,1.146,246421.267,177.876,9.435,205.539,9.81,78000.0,21.6667
2701,78.38,72.97,0,17,8.78,1.152,354.515,5.542,11.149,6.149,11.599,78600.0,21.8333
2701,78.38,72.86,0,18,8.77,1.124,226.445,5.435,12.548,6.011,13.023,79200.0,22.0
2701,78.38,72.86,0,18,8.77,1.15,366.795,5.538,11.202,6.147,11.627,79800.0,22.1667
2701,78.38,72.82,0,18,8.77,1.149,11589.386,38.586,9.383,44.392,9.767,80400.0,22.3333
2701,78.38,72.42,0,18,8.78,1.156,10087.815,32.329,8.659,37.102,9.437,81000.0,22.5
2701,78.38,72.68,0,18,8.77,1.153,712.862,7.829,10.996,8.785,11.459,81600.0,22.6667
2701,78.38,72.94,0,18,8.77,1.146,277.661,5.557,12.161,6.146,12.584,82200.0,22.8333
2701,78.38,72.94,0,18,8.78,1.146,281.821,5.485,12.099,6.065,12.536,82800.0,23.0
2701,78.38,72.68,0,18,8.77,1.153,744.477,7.709,10.291,8.651,10.65,83400.0,23.1667
2701,78.38,72.42,0,18,8.78,1.155,26389.399,46.129,8.613,53.016,9.122,84000.0,23.3333
2701,78.38,72.75,0,18,8.78,1.149,39387.009,81.536,9.434,94.061,9.825,84600.0,23.5
2701,78.38,72.86,0,18,8.78,1.15,359.369,5.521,11.23,6.127,11.698,85200.0,23.6667
2701,78.38,72.86,0,18,8.77,1.124,226.517,5.534,12.549,6.123,13.015,85800.0,23.8333
