n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,n_leo_mean,n_glonass_mean,time_s,time_h
2701,100.0,100.0,10,39,22.19,0.756,1.998,1.264,1.72,1.555,2.079,13.88,8.31,30000.0,8.3333
2701,100.0,100.0,11,39,22.36,0.747,2.05,1.264,1.665,1.554,2.066,14.06,8.3,30600.0,8.5
2701,100.0,100.0,12,39,22.36,0.779,2.035,1.251,1.648,1.538,2.034,14.06,8.31,31200.0,8.6667
2701,100.0,100.0,10,36,21.98,0.784,2.039,1.236,1.635,1.519,2.008,13.64,8.34,31800.0,8.8333
2701,100.0,100.0,10,36,21.96,0.793,2.25,1.22,1.666,1.5,2.038,13.61,8.35,32400.0,9.0
2701,100.0,100.0,10,37,22.1,0.794,2.869,1.204,1.693,1.479,2.081,13.63,8.47,33000.0,9.1667
2701,100.0,100.0,11,39,22.4,0.802,2.348,1.219,1.662,1.499,2.037,14.07,8.32,33600.0,9.3333
2701,100.0,100.0,11,39,22.35,0.805,2.22,1.239,1.674,1.523,2.042,14.03,8.32,34200.0,9.5
2701,100.0,100.0,11,39,22.39,0.78,2.217,1.253,1.64,1.541,2.027,14.07,8.32,34800.0,9.6667
2701,100.0,100.0,11,37,21.99,0.746,2.036,1.272,1.782,1.564,2.162,13.68,8.31,35400.0,9.8333
2701,100.0,100.0,10,37,21.98,0.77,2.124,1.269,1.731,1.561,2.095,13.67,8.31,36000.0,10.0
2701,100.0,100.0,11,39,22.38,0.765,2.168,1.241,1.638,1.526,2.003,14.08,8.3,36600.0,10.1667
2701,100.0,100.0,10,39,22.33,0.806,2.647,1.228,1.647,1.51,2.018,14.04,8.3,37200.0,10.3333
2701,100.0,100.0,11,39,22.37,0.798,2.355,1.211,1.668,1.489,2.057,14.06,8.31,37800.0,10.5
2701,100.0,100.0,10,38,21.96,0.811,2.235,1.217,1.649,1.497,2.027,13.63,8.32,38400.0,10.6667
2701,100.0,100.0,11,36,21.91,0.786,3.07,1.238,1.649,1.523,2.044,13.61,8.29,39000.0,10.8333
2701,100.0,100.0,11,36,21.95,0.755,2.237,1.255,1.659,1.544,2.038,13.64,8.32,39600.0,11.0
2701,100.0,100.0,11,39,22.35,0.773,2.287,1.261,1.642,1.552,2.039,14.06,8.29,40200.0,11.1667
2701,100.0,100.0,11,39,22.34,0.776,2.238,1.266,1.645,1.557,2.045,14.04,8.3,40800.0,11.3333
2701,100.0,100.0,11,39,22.21,0.794,2.2,1.254,1.677,1.543,2.069,13.89,8.31,41400.0,11.5
2701,100.0,100.0,11,36,21.97,0.783,2.374,1.24,1.632,1.525,2.005,13.67,8.31,42000.0,11.6667
2701,100.0,100.0,11,38,22.01,0.803,2.242,1.217,1.649,1.497,2.03,13.68,8.33,42600.0,11.8333
2701,100.0,100.0,10,39,22.37,0.794,2.328,1.213,1.69,1.492,2.097,14.07,8.3,43200.0,12.0
2701,100.0,100.0,11,39,22.34,0.796,2.647,1.226,1.664,1.508,2.042,14.02,8.31,43800.0,12.1667
2701,100.0,100.0,11,39,22.4,0.795,1.992,1.237,1.648,1.521,2.007,14.08,8.31,44400.0,12.3333
2701,100.0,100.0,10,37,21.98,0.754,2.046,1.26,1.707,1.549,2.068,13.64,8.34,45000.0,12.5
2701,100.0,100.0,11,36,21.94,0.768,2.041,1.271,1.786,1.563,2.168,13.61,8.33,45600.0,12.6667
2701,100.0,100.0,11,39,22.18,0.77,2.165,1.257,1.692,1.546,2.047,13.85,8.33,46200.0,12.8333
2701,100.0,100.0,11,39,22.35,0.812,2.254,1.243,1.664,1.529,2.044,14.06,8.3,46800.0,13.0
2701,100.0,100.0,11,39,22.36,0.803,2.3,1.227,1.67,1.509,2.03,14.06,8.29,47400.0,13.1667
2701,100.0,100.0,10,37,22.01,0.807,2.827,1.216,1.688,1.496,2.068,13.69,8.32,48000.0,13.3333
2701,100.0,100.0,11,36,21.99,0.799,2.174,1.22,1.675,1.5,2.059,13.65,8.33,48600.0,13.5
2701,100.0,100.0,10,36,22.0,0.797,2.174,1.235,1.63,1.519,1.992,13.69,8.32,49200.0,13.6667
2701,100.0,100.0,11,39,22.35,0.786,2.107,1.25,1.673,1.538,2.051,14.06,8.29,49800.0,13.8333
2701,100.0,100.0,12,39,22.34,0.748,2.03,1.264,1.663,1.555,2.062,14.03,8.31,50400.0,14.0
2701,100.0,100.0,10,39,22.4,0.747,2.032,1.256,1.644,1.545,2.048,14.09,8.31,51000.0,14.1667
2701,100.0,100.0,11,37,21.91,0.784,2.289,1.259,1.657,1.549,2.042,13.63,8.28,51600.0,14.3333
2701,100.0,100.0,11,37,21.94,0.782,2.286,1.234,1.649,1.518,2.021,13.62,8.32,52200.0,14.5
2701,100.0,100.0,10,39,22.44,0.804,2.243,1.21,1.656,1.487,2.051,14.08,8.35,52800.0,14.6667
2701,100.0,100.0,11,39,22.36,0.813,2.338,1.21,1.673,1.488,2.049,14.04,8.32,53400.0,14.8333
2701,100.0,100.0,11,39,22.32,0.766,2.117,1.227,1.662,1.51,2.028,14.04,8.28,54000.0,15.0
2701,100.0,100.0,11,36,21.97,0.785,2.167,1.251,1.646,1.538,2.031,13.67,8.29,54600.0,15.1667
2701,100.0,100.0,11,35,21.95,0.782,2.237,1.269,1.731,1.56,2.095,13.66,8.3,55200.0,15.3333
2701,100.0,100.0,10,36,22.0,0.751,2.018,1.273,1.766,1.565,2.14,13.68,8.32,55800.0,15.5
2701,100.0,100.0,12,39,22.38,0.754,2.008,1.256,1.646,1.545,2.033,14.07,8.31,56400.0,15.6667
2701,100.0,100.0,10,39,22.34,0.802,2.031,1.242,1.652,1.528,2.04,14.04,8.3,57000.0,15.8333
2701,100.0,100.0,11,39,22.41,0.785,2.235,1.218,1.656,1.499,2.048,14.1,8.31,57600.0,16.0
2701,100.0,100.0,10,37,22.08,0.795,2.493,1.204,1.66,1.48,2.033,13.61,8.47,58200.0,16.1667
2701,100.0,100.0,11,38,21.98,0.806,2.229,1.217,1.643,1.496,2.028,13.63,8.35,58800.0,16.3333
2701,100.0,100.0,10,39,22.41,0.783,2.01,1.228,1.642,1.511,2.02,14.08,8.32,59400.0,16.5
2701,100.0,100.0,11,39,22.31,0.787,2.319,1.257,1.661,1.546,2.034,14.01,8.3,60000.0,16.6667
2701,100.0,100.0,11,39,22.37,0.753,2.181,1.26,1.637,1.55,2.046,14.06,8.31,60600.0,16.8333
2701,100.0,100.0,11,37,22.0,0.752,2.022,1.271,1.749,1.564,2.117,13.69,8.31,61200.0,17.0
2701,100.0,100.0,11,36,21.95,0.776,2.296,1.258,1.656,1.548,2.034,13.66,8.29,61800.0,17.1667
2701,100.0,100.0,10,39,22.19,0.801,2.121,1.232,1.635,1.515,2.027,13.88,8.31,62400.0,17.3333
2701,100.0,100.0,10,39,22.4,0.808,2.134,1.211,1.658,1.488,2.037,14.06,8.34,63000.0,17.5
2701,100.0,100.0,11,39,22.36,0.81,2.755,1.212,1.657,1.49,2.036,14.05,8.31,63600.0,17.6667
2701,100.0,100.0,10,39,22.14,0.811,2.137,1.23,1.678,1.514,2.076,13.84,8.3,64200.0,17.8333
2701,100.0,100.0,11,36,21.91,0.767,2.307,1.253,1.651,1.542,2.054,13.61,8.3,64800.0,18.0
2701,100.0,100.0,10,37,21.96,0.77,2.072,1.265,1.731,1.556,2.097,13.65,8.31,65400.0,18.1667
2701,100.0,100.0,11,39,22.38,0.753,2.142,1.26,1.637,1.55,2.029,14.06,8.32,66000.0,18.3333
2701,100.0,100.0,11,39,22.35,0.796,2.068,1.256,1.659,1.545,2.035,14.02,8.32,66600.0,18.5
2701,100.0,100.0,11,39,22.4,0.792,2.023,1.233,1.635,1.517,2.01,14.08,8.32,67200.0,18.6667
2701,100.0,100.0,11,38,22.03,0.802,2.323,1.219,1.642,1.498,2.023,13.69,8.35,67800.0,18.8333
2701,100.0,100.0,11,37,22.15,0.801,2.806,1.205,1.68,1.48,2.054,13.67,8.48,68400.0,19.0
2701,100.0,100.0,10,39,22.43,0.783,2.286,1.214,1.662,1.492,2.034,14.09,8.34,69000.0,19.1667
2701,100.0,100.0,12,39,22.37,0.808,2.095,1.235,1.646,1.518,2.013,14.04,8.32,69600.0,19.3333
2701,100.0,100.0,10,39,22.37,0.772,2.153,1.25,1.657,1.538,2.023,14.05,8.32,70200.0,19.5
2701,100.0,100.0,11,36,21.92,0.751,2.015,1.273,1.767,1.566,2.141,13.62,8.3,70800.0,19.6667
2701,100.0,100.0,11,36,21.91,0.757,2.131,1.268,1.749,1.56,2.119,13.61,8.31,71400.0,19.8333
2701,100.0,100.0,11,36,21.9,0.797,2.105,1.254,1.669,1.543,2.044,13.61,8.29,72000.0,20.0
2701,100.0,100.0,10,39,22.37,0.78,2.056,1.228,1.67,1.511,2.076,14.05,8.31,72600.0,20.1667
2701,100.0,100.0,11,39,22.37,0.808,2.311,1.21,1.661,1.488,2.042,14.04,8.33,73200.0,20.3333
2701,100.0,100.0,11,39,22.41,0.796,2.183,1.21,1.668,1.488,2.065,14.09,8.33,73800.0,20.5
2701,100.0,100.0,11,37,21.97,0.789,2.385,1.235,1.673,1.519,2.046,13.67,8.3,74400.0,20.6667
2701,100.0,100.0,10,37,21.98,0.782,2.252,1.252,1.632,1.54,2.027,13.68,8.3,75000.0,20.8333
2701,100.0,100.0,11,39,22.39,0.76,1.986,1.255,1.64,1.543,2.048,14.08,8.31,75600.0,21.0
2701,100.0,100.0,10,39,22.32,0.746,2.147,1.268,1.66,1.56,2.057,14.02,8.3,76200.0,21.1667
2701,100.0,100.0,11,39,22.38,0.774,2.089,1.251,1.661,1.539,2.037,14.07,8.32,76800.0,21.3333
2701,100.0,100.0,10,37,21.96,0.781,1.965,1.238,1.633,1.523,2.017,13.64,8.33,77400.0,21.5
2701,100.0,100.0,11,37,21.95,0.798,2.224,1.22,1.666,1.5,2.04,13.61,8.35,78000.0,21.6667
2701,100.0,100.0,10,42,22.33,0.798,2.905,1.203,1.68,1.479,2.069,13.86,8.47,78600.0,21.8333
2701,100.0,100.0,11,39,22.39,0.795,2.383,1.218,1.659,1.498,2.045,14.06,8.33,79200.0,22.0
2701,100.0,100.0,12,39,22.37,0.797,2.294,1.236,1.644,1.52,2.024,14.05,8.32,79800.0,22.1667
2701,100.0,100.0,11,39,22.21,0.78,2.235,1.255,1.669,1.543,2.049,13.89,8.32,80400.0,22.3333
2701,100.0,100.0,10,36,21.97,0.769,2.234,1.273,1.788,1.566,2.167,13.66,8.31,81000.0,22.5
2701,100.0,100.0,11,37,22.0,0.766,2.06,1.269,1.727,1.561,2.09,13.69,8.31,81600.0,22.6667
2701,100.0,100.0,11,39,22.37,0.778,2.546,1.246,1.661,1.532,2.03,14.07,8.31,82200.0,22.8333
2701,100.0,100.0,11,39,22.31,0.791,2.464,1.23,1.654,1.513,2.037,14.01,8.3,82800.0,23.0
2701,100.0,100.0,10,39,22.38,0.795,2.315,1.212,1.668,1.49,2.056,14.08,8.3,83400.0,23.1667
2701,100.0,100.0,11,38,21.98,0.799,2.226,1.214,1.628,1.492,2.006,13.64,8.33,84000.0,23.3333
2701,100.0,100.0,10,37,21.92,0.787,2.856,1.238,1.683,1.523,2.052,13.63,8.3,84600.0,23.5
2701,100.0,100.0,11,39,22.39,0.768,2.27,1.244,1.666,1.53,2.041,14.09,8.31,85200.0,23.6667
2701,100.0,100.0,11,39,22.35,0.764,2.259,1.262,1.646,1.552,2.04,14.04,8.3,85800.0,23.8333
