time_h,n_sats_mean,n_leo_mean,n_glonass_mean,pdop_mean,pdop_p95,coverage_4sats_pct,coverage_good_pdop_pct
15.8333,22.34,14.04,8.3,1.242,1.652,100.0,100.0
16.0,22.41,14.1,8.31,1.218,1.656,100.0,100.0
16.1667,22.08,13.61,8.47,1.204,1.66,100.0,100.0
16.3333,21.98,13.63,8.35,1.217,1.643,100.0,100.0
16.5,22.41,14.08,8.32,1.228,1.642,100.0,100.0
16.6667,22.31,14.01,8.3,1.257,1.661,100.0,100.0
16.8333,22.37,14.06,8.31,1.26,1.637,100.0,100.0
17.0,22.0,13.69,8.31,1.271,1.749,100.0,100.0
17.1667,21.95,13.66,8.29,1.258,1.656,100.0,100.0
17.3333,22.19,13.88,8.31,1.232,1.635,100.0,100.0
17.5,22.4,14.06,8.34,1.211,1.658,100.0,100.0
17.6667,22.36,14.05,8.31,1.212,1.657,100.0,100.0
17.8333,22.14,13.84,8.3,1.23,1.678,100.0,100.0
18.0,21.91,13.61,8.3,1.253,1.651,100.0,100.0
18.1667,21.96,13.65,8.31,1.265,1.731,100.0,100.0
18.3333,22.38,14.06,8.32,1.26,1.637,100.0,100.0
18.5,22.35,14.02,8.32,1.256,1.659,100.0,100.0
18.6667,22.4,14.08,8.32,1.233,1.635,100.0,100.0
18.8333,22.03,13.69,8.35,1.219,1.642,100.0,100.0
19.0,22.15,13.67,8.48,1.205,1.68,100.0,100.0
19.1667,22.43,14.09,8.34,1.214,1.662,100.0,100.0
19.3333,22.37,14.04,8.32,1.235,1.646,100.0,100.0
19.5,22.37,14.05,8.32,1.25,1.657,100.0,100.0
19.6667,21.92,13.62,8.3,1.273,1.767,100.0,100.0
19.8333,21.91,13.61,8.31,1.268,1.749,100.0,100.0
20.0,21.9,13.61,8.29,1.254,1.669,100.0,100.0
20.1667,22.37,14.05,8.31,1.228,1.67,100.0,100.0
20.3333,22.37,14.04,8.33,1.21,1.661,100.0,100.0
20.5,22.41,14.09,8.33,1.21,1.668,100.0,100.0
20.6667,21.97,13.67,8.3,1.235,1.673,100.0,100.0
20.8333,21.98,13.68,8.3,1.252,1.632,100.0,100.0
21.0,22.39,14.08,8.31,1.255,1.64,100.0,100.0
21.1667,22.32,14.02,8.3,1.268,1.66,100.0,100.0
21.3333,22.38,14.07,8.32,1.251,1.661,100.0,100.0
21.5,21.96,13.64,8.33,1.238,1.633,100.0,100.0
21.6667,21.95,13.61,8.35,1.22,1.666,100.0,100.0
21.8333,22.33,13.86,8.47,1.203,1.68,100.0,100.0
22.0,22.39,14.06,8.33,1.218,1.659,100.0,100.0
22.1667,22.37,14.05,8.32,1.236,1.644,100.0,100.0
22.3333,22.21,13.89,8.32,1.255,1.669,100.0,100.0
22.5,21.97,13.66,8.31,1.273,1.788,100.0,100.0
22.6667,22.0,13.69,8.31,1.269,1.727,100.0,100.0
22.8333,22.37,14.07,8.31,1.246,1.661,100.0,100.0
23.0,22.31,14.01,8.3,1.23,1.654,100.0,100.0
23.1667,22.38,14.08,8.3,1.212,1.668,100.0,100.0
23.3333,21.98,13.64,8.33,1.214,1.628,100.0,100.0
23.5,21.92,13.63,8.3,1.238,1.683,100.0,100.0
23.6667,22.39,14.09,8.31,1.244,1.666,100.0,100.0
23.8333,22.35,14.04,8.3,1.262,1.646,100.0,100.0
