station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,3
Zheleznogorsk,0.0,23.8333,1431.0,3
Khabarovsk,0.0,23.8333,1431.0,2
Murmansk,0.0,16.3333,981.0,4
Murmansk,17.6667,23.8333,371.0,3
Novosibirsk,0.0,23.8333,1431.0,3
Vladivostok,0.0,23.8333,1431.0,2
Yakutsk,0.0,23.8333,1431.0,4
Minsk,0.0,23.8333,1431.0,3
Almaty,0.0,4.3333,261.0,2
Almaty,6.0,8.0,121.0,1
Almaty,8.6667,9.8333,71.0,1
Almaty,10.3333,11.6667,81.0,1
Almaty,12.3333,14.1667,111.0,1
Almaty,16.0,18.5,151.0,1
Almaty,18.8333,23.8333,301.0,2
Urumqi,0.0,7.5,451.0,2
Urumqi,9.1667,11.3333,131.0,1
Urumqi,12.1667,12.8333,41.0,1
Urumqi,13.5,15.0,91.0,1
Urumqi,15.6667,17.3333,101.0,1
Urumqi,19.3333,21.6667,141.0,1
Urumqi,22.0,23.8333,111.0,2
Delhi,0.0,1.8333,111.0,2
Delhi,2.3333,6.0,221.0,2
Delhi,6.3333,10.0,221.0,2
Delhi,10.3333,13.8333,211.0,2
Delhi,14.3333,17.8333,211.0,2
Delhi,18.3333,21.6667,201.0,2
Delhi,22.5,23.8333,81.0,2
Yangon,0.0,0.3333,21.0,1
Yangon,1.8333,4.3333,151.0,2
Yangon,6.0,8.3333,141.0,2
Yangon,10.0,12.1667,131.0,1
Yangon,14.0,16.0,121.0,2
Yangon,17.6667,19.8333,131.0,2
Yangon,21.5,23.5,121.0,2
Jakarta,1.6667,3.0,81.0,1
Jakarta,5.5,7.1667,101.0,2
Jakarta,9.3333,11.3333,121.0,2
Jakarta,13.1667,15.3333,131.0,2
Jakarta,17.0,19.1667,131.0,2
Jakarta,20.8333,23.1667,141.0,2
Tehran,0.0,8.0,481.0,2
Tehran,8.3333,12.0,221.0,2
Tehran,12.8333,15.8333,181.0,1
Tehran,17.1667,19.8333,161.0,2
Tehran,20.3333,23.5,191.0,2
Johannesburg,0.0,1.0,61.0,1
Johannesburg,2.1667,5.1667,181.0,2
Johannesburg,5.8333,9.1667,201.0,2
Johannesburg,9.6667,13.1667,211.0,2
Johannesburg,13.6667,17.0,201.0,2
Johannesburg,17.5,21.0,211.0,2
Johannesburg,21.5,23.8333,141.0,2
Nairobi,1.8333,3.8333,121.0,2
Nairobi,5.8333,7.8333,121.0,1
Nairobi,9.6667,11.8333,131.0,2
Nairobi,13.8333,15.6667,111.0,2
Nairobi,17.8333,19.6667,111.0,2
Nairobi,21.8333,23.6667,111.0,2
Luanda,0.0,1.1667,71.0,2
Luanda,3.6667,4.8333,71.0,2
Luanda,12.1667,13.0,51.0,2
Luanda,15.6667,17.3333,101.0,2
Luanda,19.3333,21.3333,121.0,2
Luanda,23.1667,23.8333,41.0,2
Havana,0.0,0.3333,21.0,1
Havana,1.1667,4.0,171.0,2
Havana,5.1667,7.6667,151.0,2
Havana,9.1667,11.3333,131.0,1
Havana,13.3333,15.5,131.0,2
Havana,17.5,19.8333,141.0,2
Havana,21.8333,23.8333,121.0,2
Caracas,5.0,6.3333,81.0,2
Caracas,8.8333,10.6667,111.0,2
Caracas,12.6667,14.8333,131.0,2
Caracas,16.5,18.8333,141.0,2
Caracas,20.3333,22.8333,151.0,2
Buenos_Aires,0.1667,3.0,171.0,2
Buenos_Aires,3.6667,6.6667,181.0,2
Buenos_Aires,7.3333,10.0,161.0,2
Buenos_Aires,11.1667,14.1667,181.0,1
Buenos_Aires,15.0,18.6667,221.0,2
Buenos_Aires,19.0,23.8333,291.0,2
