time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,9,7,8,6,7,7,7,9,7,9,5,4,4,4,5,3,3,3,2,6
600.0,0.1667,9,8,9,6,7,7,7,8,6,8,6,4,4,5,5,2,4,3,4,7
1200.0,0.3333,9,8,9,5,7,7,7,8,6,8,5,5,4,6,4,3,4,3,4,6
1800.0,0.5,9,8,8,5,7,7,7,8,6,9,5,5,4,7,4,4,4,5,4,6
2400.0,0.6667,9,8,8,5,7,6,7,8,8,9,5,4,3,7,4,4,4,5,3,6
3000.0,0.8333,9,8,8,5,8,6,7,7,8,8,5,5,4,6,4,4,5,5,3,5
3600.0,1.0,10,8,9,5,8,7,6,7,8,8,5,4,4,6,5,4,5,5,4,5
4200.0,1.1667,9,9,10,5,7,8,6,7,9,6,4,4,3,7,5,4,4,5,4,5
4800.0,1.3333,8,8,9,5,7,8,6,7,8,6,5,3,3,7,6,4,3,3,4,5
5400.0,1.5,7,8,9,5,7,8,7,8,8,6,5,3,4,6,6,4,5,3,2,5
6000.0,1.6667,8,8,9,5,7,9,7,9,7,7,5,4,4,5,6,5,5,3,2,6
6600.0,1.8333,8,8,8,5,8,8,7,8,7,7,5,4,3,4,5,5,5,3,2,7
7200.0,2.0,8,7,8,5,8,7,7,9,7,8,6,4,3,5,5,3,3,3,2,6
7800.0,2.1667,8,8,8,6,8,6,7,9,7,9,5,4,3,5,4,2,3,3,3,6
8400.0,2.3333,8,9,8,7,8,6,8,9,6,9,5,4,3,6,4,2,4,3,3,7
9000.0,2.5,9,9,9,7,8,6,8,9,6,8,6,4,3,6,4,3,4,5,4,6
9600.0,2.6667,9,9,8,6,8,7,7,9,7,9,5,4,3,7,4,3,4,5,3,6
10200.0,2.8333,9,7,8,6,7,6,7,9,8,9,5,5,4,7,5,3,5,4,3,5
10800.0,3.0,8,7,9,6,8,7,6,8,8,8,4,4,4,6,5,4,5,6,4,5
11400.0,3.1667,8,7,8,6,8,7,6,8,8,7,4,3,3,6,6,3,4,6,4,5
12000.0,3.3333,8,7,8,6,8,7,6,9,9,6,5,3,3,7,6,3,3,4,4,5
12600.0,3.5,8,7,9,5,9,8,6,8,8,6,5,2,5,6,6,3,4,4,3,5
13200.0,3.6667,9,7,8,5,8,9,6,7,7,6,5,2,5,4,7,5,5,4,3,6
13800.0,3.8333,9,7,9,5,8,9,7,7,6,7,5,2,4,4,5,4,4,4,3,7
14400.0,4.0,8,6,9,6,8,6,7,7,6,8,5,3,3,5,5,4,3,4,3,7
15000.0,4.1667,8,7,9,6,8,6,7,8,6,9,5,3,3,5,4,2,3,4,2,6
15600.0,4.3333,8,7,9,5,8,6,8,8,7,9,4,4,3,6,4,2,3,3,4,6
16200.0,4.5,8,7,9,5,8,6,9,9,7,9,4,4,3,6,4,2,4,4,4,7
16800.0,4.6667,7,7,8,6,8,6,8,8,7,8,5,4,3,6,4,2,4,6,3,6
17400.0,4.8333,7,7,8,6,7,6,7,8,7,9,5,5,4,6,5,3,5,6,3,5
18000.0,5.0,7,8,8,6,8,6,7,9,7,8,4,3,4,6,5,3,4,5,4,5
18600.0,5.1667,7,8,8,6,8,6,7,9,8,7,4,4,5,6,6,3,4,5,4,5
19200.0,5.3333,8,8,8,6,9,6,8,9,9,7,5,4,4,6,6,3,3,4,4,5
19800.0,5.5,7,7,8,6,9,6,8,8,9,6,5,3,5,6,6,2,3,4,4,5
20400.0,5.6667,8,7,7,6,9,7,7,8,7,6,5,2,4,4,5,4,3,4,4,6
21000.0,5.8333,8,8,7,7,9,7,7,8,6,7,4,2,4,4,5,4,4,4,4,6
21600.0,6.0,7,7,7,6,9,6,7,8,6,7,5,2,4,5,4,4,3,4,3,7
22200.0,6.1667,7,8,8,5,9,6,7,8,6,8,5,2,4,5,4,3,3,4,4,6
22800.0,6.3333,8,7,8,5,8,6,8,7,6,9,4,3,3,6,4,3,3,5,5,6
23400.0,6.5,8,7,8,5,8,6,7,7,6,9,4,3,3,6,4,3,3,5,5,7
24000.0,6.6667,7,7,8,5,8,6,7,7,6,9,4,3,3,6,4,3,2,6,3,6
24600.0,6.8333,7,7,9,5,7,6,7,9,6,8,2,5,4,6,5,3,3,6,3,5
25200.0,7.0,7,7,10,5,7,5,7,9,6,7,3,4,5,6,5,2,3,4,4,5
25800.0,7.1667,7,8,9,5,9,5,7,9,6,7,3,4,5,4,6,2,3,3,5,5
26400.0,7.3333,7,8,9,5,9,5,7,9,7,7,4,4,5,5,6,2,2,4,5,5
27000.0,7.5,7,8,9,6,9,6,8,9,8,7,4,3,4,4,4,2,3,4,4,5
27600.0,7.6667,7,8,8,7,9,5,8,9,6,6,4,3,4,3,5,4,3,4,4,6
28200.0,7.8333,7,9,7,6,9,5,8,9,6,7,4,3,4,4,3,4,3,4,4,6
28800.0,8.0,7,8,7,6,9,6,8,8,6,7,5,2,4,5,3,5,2,4,4,6
29400.0,8.1667,7,7,7,6,9,6,7,8,6,7,5,2,4,5,4,3,2,4,4,6
30000.0,8.3333,7,8,7,5,9,6,7,8,6,8,4,3,4,6,4,3,2,5,5,6
30600.0,8.5,7,8,7,5,9,6,8,8,5,9,3,3,4,6,4,4,2,6,5,5
31200.0,8.6667,7,8,8,5,9,6,9,8,5,9,3,4,3,6,5,4,2,6,4,6
31800.0,8.8333,8,9,9,5,7,6,8,9,5,7,2,4,5,5,5,4,3,5,3,6
32400.0,9.0,9,9,9,5,8,7,7,8,5,7,2,4,5,5,5,3,3,5,4,4
33000.0,9.1667,9,9,9,5,8,6,7,8,5,7,2,4,5,3,6,3,3,3,5,5
33600.0,9.3333,9,8,10,4,9,6,7,9,5,7,2,5,5,3,6,2,2,3,5,5
34200.0,9.5,7,8,9,5,9,6,6,9,5,6,3,4,3,3,4,2,3,3,4,5
34800.0,9.6667,8,8,8,5,9,6,6,9,5,6,3,4,3,3,3,4,4,4,4,6
35400.0,9.8333,8,8,8,5,8,6,6,9,6,6,4,4,4,2,4,5,4,4,4,6
36000.0,10.0,8,7,8,5,9,6,6,9,6,7,5,4,4,3,3,4,3,4,5,6
36600.0,10.1667,8,7,8,5,9,6,6,9,6,7,5,3,4,4,3,4,3,4,5,5
37200.0,10.3333,9,8,7,5,9,6,6,9,6,7,4,4,4,5,3,4,3,5,4,4
37800.0,10.5,9,10,7,4,9,6,7,8,6,7,4,4,4,5,3,4,3,5,4,4
38400.0,10.6667,8,9,7,3,8,6,8,8,8,8,4,4,4,5,4,4,3,5,4,4
