time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,7,7,5,10,4,5,7,4,4,5,4,5,4,4,4,3,4,3,3,5
600.0,0.1667,6,7,4,10,3,5,7,5,4,6,4,4,4,4,5,4,4,2,2,6
1200.0,0.3333,5,6,4,10,3,4,7,6,4,6,4,4,3,4,5,4,4,3,2,4
1800.0,0.5,5,6,4,10,6,4,7,6,4,5,4,4,3,5,3,4,4,3,2,3
2400.0,0.6667,7,5,4,11,7,4,8,6,5,6,4,4,3,5,3,4,4,3,3,4
3000.0,0.8333,7,6,5,11,7,4,8,6,5,5,3,4,3,5,4,4,4,3,3,4
3600.0,1.0,7,6,6,11,7,5,8,5,6,5,4,4,3,5,4,4,4,3,2,4
4200.0,1.1667,6,5,6,10,5,4,8,5,5,5,5,4,4,5,4,3,2,3,2,4
4800.0,1.3333,6,5,6,11,4,4,8,5,6,4,5,3,2,5,4,3,2,3,3,4
5400.0,1.5,6,7,6,11,3,6,7,4,6,4,5,2,2,4,4,2,4,3,3,4
6000.0,1.6667,7,6,7,11,4,6,7,4,5,4,4,2,2,4,4,2,4,4,3,4
6600.0,1.8333,7,6,5,10,4,6,6,3,5,5,4,2,3,4,4,2,4,4,3,5
7200.0,2.0,6,6,5,10,5,5,7,4,4,5,4,5,3,4,4,3,4,3,3,5
7800.0,2.1667,6,6,5,10,4,5,7,6,4,6,4,3,3,4,5,3,4,3,3,6
8400.0,2.3333,5,6,4,11,5,4,7,6,4,6,4,4,3,4,4,4,4,3,3,3
9000.0,2.5,6,6,3,11,6,4,8,6,4,6,4,4,3,5,4,4,4,3,2,5
9600.0,2.6667,6,5,4,11,6,4,8,6,5,6,3,4,3,4,4,4,4,3,3,4
10200.0,2.8333,6,5,4,9,6,3,8,5,4,5,3,4,3,5,4,4,4,4,3,4
10800.0,3.0,7,5,6,10,6,4,8,4,4,5,4,3,3,5,4,3,2,4,2,4
11400.0,3.1667,6,5,6,12,5,4,6,4,6,5,5,3,4,5,4,3,2,4,2,4
12000.0,3.3333,6,5,6,12,4,4,7,4,6,4,4,2,2,5,4,2,2,4,2,4
12600.0,3.5,7,7,7,11,5,5,7,4,6,4,5,2,2,4,4,2,4,4,3,4
13200.0,3.6667,6,5,5,10,5,6,6,3,5,4,4,2,3,4,4,2,4,3,3,4
13800.0,3.8333,6,6,5,10,5,6,6,4,5,5,4,3,3,4,4,3,4,3,3,5
14400.0,4.0,6,6,5,9,5,5,6,5,4,5,4,3,3,4,4,2,4,4,3,5
15000.0,4.1667,5,6,5,10,5,5,7,6,4,5,4,3,3,4,5,3,4,3,3,5
15600.0,4.3333,5,6,3,10,6,4,8,6,4,6,4,3,4,4,3,3,4,3,3,5
16200.0,4.5,5,5,4,11,6,3,7,6,4,5,3,3,4,3,5,3,4,4,3,5
16800.0,4.6667,5,4,4,10,6,3,6,6,4,6,3,3,4,4,5,3,4,4,3,5
17400.0,4.8333,5,5,4,10,6,3,7,5,4,5,3,3,3,5,4,3,2,4,3,4
18000.0,5.0,6,6,5,13,6,2,6,4,4,5,3,3,3,6,4,3,2,4,2,4
18600.0,5.1667,6,6,5,13,6,4,7,3,5,5,4,2,4,5,4,2,2,4,2,4
19200.0,5.3333,6,5,6,12,6,5,8,4,6,4,5,2,2,5,4,2,2,4,3,4
19800.0,5.5,6,4,6,10,6,5,8,6,6,4,5,2,3,4,4,2,4,4,3,4
20400.0,5.6667,7,5,5,10,6,5,7,5,5,4,4,2,3,4,4,2,3,4,3,4
21000.0,5.8333,6,6,5,10,6,5,7,5,5,5,4,3,3,4,4,4,4,3,4,5
21600.0,6.0,6,6,4,10,5,4,7,6,4,5,4,3,4,4,4,2,4,4,4,5
22200.0,6.1667,4,6,4,10,5,4,8,6,4,6,4,2,4,4,2,2,4,3,4,5
22800.0,6.3333,5,6,3,9,6,3,8,6,3,5,3,3,4,4,3,3,4,4,4,6
23400.0,6.5,5,5,4,10,6,3,7,6,3,6,3,3,4,2,5,3,4,4,3,5
24000.0,6.6667,5,7,5,10,6,3,7,6,2,6,3,3,4,4,5,3,2,4,4,5
24600.0,6.8333,6,6,5,11,6,3,5,5,4,5,2,2,4,4,4,2,2,4,3,4
25200.0,7.0,6,5,6,12,6,4,7,4,5,5,3,3,2,6,4,3,2,4,2,4
25800.0,7.1667,5,5,6,10,6,4,8,5,5,5,3,3,4,5,4,3,2,4,3,4
26400.0,7.3333,6,5,5,9,6,6,8,6,5,4,4,3,2,5,4,3,3,4,3,4
27000.0,7.5,6,4,5,11,7,6,7,5,4,4,5,3,3,4,4,2,3,3,3,4
27600.0,7.6667,6,6,4,11,7,5,7,5,4,4,4,2,3,4,4,2,2,4,4,4
28200.0,7.8333,6,7,4,11,5,4,6,5,4,4,4,4,4,4,4,4,3,2,4,5
28800.0,8.0,5,7,4,10,5,4,7,6,3,5,3,3,4,4,4,2,3,4,4,3
29400.0,8.1667,4,7,5,10,5,4,7,6,3,4,3,2,4,4,2,2,3,4,4,5
30000.0,8.3333,5,6,4,10,6,3,7,6,3,5,3,2,4,2,4,2,3,4,4,6
30600.0,8.5,6,6,5,11,6,4,6,6,2,6,3,2,4,3,5,2,2,4,4,5
31200.0,8.6667,6,6,5,11,7,3,7,6,4,6,2,2,4,3,5,3,2,4,3,5
31800.0,8.8333,5,5,5,12,7,3,7,6,5,5,3,3,4,5,4,3,2,4,2,4
32400.0,9.0,4,5,5,11,6,4,8,6,6,5,3,3,3,5,4,3,2,4,2,4
33000.0,9.1667,4,5,5,10,6,4,7,6,5,5,4,3,2,5,4,3,2,4,3,4
33600.0,9.3333,6,6,6,11,7,5,7,7,5,4,3,3,2,5,4,3,3,3,3,4
34200.0,9.5,6,5,5,10,7,6,7,5,4,4,4,3,3,4,4,3,3,3,4,4
34800.0,9.6667,6,6,4,11,7,6,7,5,4,4,3,3,4,4,4,2,2,3,4,4
35400.0,9.8333,6,6,4,11,6,4,8,5,4,3,3,4,4,4,3,4,2,3,4,3
36000.0,10.0,5,6,5,10,5,4,8,6,3,4,3,2,4,3,2,2,2,4,4,4
36600.0,10.1667,6,7,5,10,6,3,8,6,3,4,3,2,4,2,2,2,2,4,4,5
37200.0,10.3333,5,6,5,11,6,4,6,6,3,5,2,2,4,2,4,2,2,4,4,6
37800.0,10.5,5,6,5,11,7,3,7,6,3,6,3,2,4,3,5,3,2,4,4,5
38400.0,10.6667,5,7,5,10,7,3,6,6,4,6,2,3,4,3,5,3,3,4,4,5
39000.0,10.8333,5,6,4,11,6,4,7,6,4,5,3,4,3,4,4,4,3,4,2,4
39600.0,11.0,5,6,4,10,6,4,9,7,6,5,3,4,3,5,4,4,2,3,3,4
40200.0,11.1667,6,6,6,11,7,4,9,6,6,5,4,4,2,4,4,4,2,3,3,4
40800.0,11.3333,6,5,6,12,7,5,7,6,6,4,3,4,3,4,4,4,4,3,4,4
41400.0,11.5,6,6,5,11,7,5,7,6,4,3,3,4,3,3,4,4,2,3,4,3
