n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,84.01,46.28,2,23,7.98,1.08,509844.066,7295.389,35434.934,8187.937,40603.508,0.0,0.0
2701,81.49,48.06,2,23,8.0,1.077,2880.464,41.879,45.163,44.158,47.604,600.0,0.1667
2701,79.12,52.28,2,24,8.38,0.976,5157.454,38.596,31.583,39.631,32.256,1200.0,0.3333
2701,77.9,54.39,2,24,8.35,1.016,2184.221,37.434,25.989,38.706,26.77,1800.0,0.5
2701,77.6,56.24,2,24,8.35,1.053,12372.379,113.72,147.691,116.412,150.988,2400.0,0.6667
2701,77.64,56.57,2,24,8.31,1.07,1982.721,48.137,188.132,49.655,194.5,3000.0,0.8333
2701,77.49,57.24,2,24,8.32,1.06,20354.293,138.748,105.015,141.749,107.296,3600.0,1.0
2701,77.34,54.87,2,24,8.36,1.027,58322.136,193.282,23.427,200.67,24.28,4200.0,1.1667
2701,78.23,54.35,2,24,8.39,0.987,5952.767,40.701,29.804,41.705,30.111,4800.0,1.3333
2701,80.38,47.43,2,23,8.0,1.074,2798.572,33.36,37.098,34.98,38.344,5400.0,1.5
2701,84.89,46.09,2,23,8.01,1.078,7507.853,84.362,143.691,94.484,154.15,6000.0,1.6667
2701,82.67,47.28,2,23,8.0,1.075,3344.079,45.864,51.868,49.276,57.443,6600.0,1.8333
2701,80.75,50.65,2,24,8.37,0.965,4818.706,37.551,30.8,38.689,31.88,7200.0,2.0
2701,77.93,55.09,2,24,8.36,1.005,2734.93,33.285,106.545,33.962,107.017,7800.0,2.1667
2701,77.56,56.05,2,24,8.37,1.044,9885.299,95.258,69.509,97.395,71.012,8400.0,2.3333
2701,77.75,56.13,2,24,8.32,1.068,1985.596,36.686,106.441,37.668,108.823,9000.0,2.5
2701,77.64,57.46,2,24,8.3,1.066,36585.394,203.512,153.528,207.721,156.861,9600.0,2.6667
2701,76.97,55.83,2,24,8.35,1.038,2077.971,30.436,27.477,31.08,28.447,10200.0,2.8333
2701,77.93,53.61,2,24,8.38,0.998,6605.554,45.869,33.888,46.887,34.6,10800.0,3.0
2701,78.67,49.54,2,24,8.14,0.964,2697.829,26.721,30.915,27.554,34.191,11400.0,3.1667
2701,84.08,45.98,2,23,8.03,1.078,3326.597,39.717,61.75,43.259,71.266,12000.0,3.3333
2701,83.15,46.8,2,23,8.0,1.079,4816.511,61.601,74.099,67.941,85.523,12600.0,3.5
2701,81.12,50.65,2,24,8.18,0.96,4552.295,37.458,31.052,38.762,32.489,13200.0,3.6667
2701,78.3,55.13,2,24,8.33,0.993,2706.103,30.142,46.02,30.742,47.342,13800.0,3.8333
2701,77.64,55.83,2,24,8.39,1.034,8303.719,56.822,55.767,58.047,56.979,14400.0,4.0
2701,77.23,55.87,2,24,8.3,1.064,1982.06,33.565,68.791,34.376,71.258,15000.0,4.1667
2701,78.05,57.39,2,24,8.31,1.069,192655.893,742.304,228.231,757.63,245.897,15600.0,4.3333
2701,76.31,56.61,2,24,8.35,1.048,2103.417,30.49,32.98,31.096,34.136,16200.0,4.5
2701,79.27,55.83,2,24,8.4,1.01,7497.373,67.077,50.605,68.456,51.282,16800.0,4.6667
2701,78.97,51.09,2,24,8.34,0.969,2654.658,30.374,43.112,31.139,45.004,17400.0,4.8333
2701,83.12,47.02,2,23,8.04,1.079,5385.784,49.039,42.648,51.548,44.949,18000.0,5.0
2701,83.64,46.8,2,23,7.98,1.079,29363.946,218.316,398.949,248.759,453.171,18600.0,5.1667
2701,81.12,48.2,2,23,8.03,1.075,4340.94,38.551,36.371,40.149,37.677,19200.0,5.3333
