lat_deg,pdop_mean,pdop_min,pdop_max,avail_pct,nsat_mean,nsat_min
0,2.267,1.637,4.180,100.000,7.12,5
30,2.276,1.343,4.367,100.000,8.41,6
55,1.481,1.221,1.950,100.000,16.06,14
70,1.148,1.028,1.350,100.000,19.70,17
80,1.542,1.258,1.790,100.000,20.73,18

lat_deg,avail_mask5deg_pct,avail_mask10deg_pct,avail_mask15deg_pct,avail_mask20deg_pct
0,100.000,100.000,92.083,34.722
30,100.000,100.000,95.833,51.736
55,100.000,100.000,100.000,94.861
70,100.000,100.000,100.000,100.000
80,100.000,100.000,100.000,76.944
