time_s,time_h,Vladimir,Murmansk,Novosibirsk,Zheleznogorsk,Khabarovsk,Vladivostok,Minsk,Almaty
0.0,0.0,5,5,2,5,4,3,6,3
600.0,0.1667,4,6,5,5,3,3,6,3
1200.0,0.3333,4,6,5,5,3,3,4,3
1800.0,0.5,4,6,5,5,4,3,4,4
2400.0,0.6667,5,7,5,5,5,3,4,5
3000.0,0.8333,5,7,5,5,3,3,5,4
3600.0,1.0,5,7,5,5,3,3,4,4
4200.0,1.1667,4,6,5,4,3,3,4,4
4800.0,1.3333,5,5,4,6,3,2,5,4
5400.0,1.5,5,6,3,5,3,2,6,3
6000.0,1.6667,5,6,5,4,3,2,5,3
6600.0,1.8333,5,6,6,5,3,2,5,3
7200.0,2.0,5,5,4,4,4,3,5,3
7800.0,2.1667,5,5,4,5,3,3,5,2
8400.0,2.3333,5,5,5,5,2,2,5,3
9000.0,2.5,4,5,5,5,2,3,5,4
9600.0,2.6667,5,5,5,5,2,3,4,4
10200.0,2.8333,6,6,5,5,3,3,4,4
10800.0,3.0,5,6,5,5,4,3,4,3
11400.0,3.1667,6,6,5,5,4,3,5,4
12000.0,3.3333,4,6,5,5,4,2,5,5
12600.0,3.5,5,6,4,5,4,2,3,4
13200.0,3.6667,5,6,3,5,4,2,3,3
13800.0,3.8333,5,6,4,5,4,2,5,3
14400.0,4.0,5,5,5,4,4,2,6,3
15000.0,4.1667,5,4,5,5,3,3,6,3
15600.0,4.3333,5,5,4,5,3,4,5,3
16200.0,4.5,5,5,4,5,3,3,5,3
16800.0,4.6667,4,5,5,5,2,3,5,3
17400.0,4.8333,6,6,5,5,2,3,4,3
18000.0,5.0,5,6,5,5,3,3,3,2
18600.0,5.1667,5,7,5,5,4,3,3,2
19200.0,5.3333,3,6,5,5,3,4,6,2
19800.0,5.5,4,6,5,4,3,4,6,2
20400.0,5.6667,5,6,4,4,3,2,3,3
21000.0,5.8333,5,6,5,5,3,3,3,3
21600.0,6.0,5,5,5,6,3,3,4,2
22200.0,6.1667,5,5,6,4,3,4,5,3
22800.0,6.3333,5,5,5,5,3,4,5,3
23400.0,6.5,5,5,4,5,4,4,5,3
24000.0,6.6667,5,5,4,5,5,2,5,3
24600.0,6.8333,5,6,5,5,3,3,6,2
25200.0,7.0,4,6,5,5,3,3,5,2
25800.0,7.1667,5,6,5,5,4,3,3,2
26400.0,7.3333,5,6,5,5,4,3,3,2
27000.0,7.5,5,7,5,5,3,3,4,2
27600.0,7.6667,5,6,4,5,3,5,5,2
28200.0,7.8333,5,6,4,5,3,4,4,3
28800.0,8.0,5,5,5,7,2,4,4,4
29400.0,8.1667,5,5,5,5,3,3,4,3
30000.0,8.3333,5,5,5,4,3,4,5,3
30600.0,8.5,5,4,5,5,4,5,5,3
31200.0,8.6667,5,5,4,5,4,3,5,3
31800.0,8.8333,5,6,5,5,5,3,5,3
32400.0,9.0,5,6,5,5,4,3,4,4
33000.0,9.1667,4,6,5,5,3,2,4,2
33600.0,9.3333,5,6,5,5,3,3,5,3
34200.0,9.5,6,6,5,5,3,3,4,3
34800.0,9.6667,4,7,5,4,3,3,5,4
35400.0,9.8333,5,6,4,5,3,3,4,4
36000.0,10.0,5,5,4,6,3,3,5,4
36600.0,10.1667,5,5,5,4,3,3,4,3
37200.0,10.3333,5,5,5,5,4,3,4,2
37800.0,10.5,5,6,4,3,6,4,4,3
38400.0,10.6667,5,5,3,4,4,3,5,3
39000.0,10.8333,5,5,3,4,4,3,5,3
39600.0,11.0,5,7,4,5,3,2,5,3
40200.0,11.1667,4,7,4,5,3,3,4,4
40800.0,11.3333,6,6,5,5,4,3,4,5
41400.0,11.5,6,7,5,5,4,3,5,4
42000.0,11.6667,6,8,5,5,4,3,5,4
42600.0,11.8333,5,7,5,4,4,2,3,4
43200.0,12.0,5,7,5,5,4,3,4,5
43800.0,12.1667,5,6,4,4,3,3,5,4
44400.0,12.3333,5,7,4,3,3,2,4,3
45000.0,12.5,5,6,5,3,4,2,4,3
45600.0,12.6667,5,5,5,4,6,2,5,3
46200.0,12.8333,5,5,3,4,6,3,5,3
46800.0,13.0,5,6,5,4,3,4,5,3
47400.0,13.1667,5,5,5,5,3,3,5,3
48000.0,13.3333,4,5,5,6,3,3,4,3
48600.0,13.5,5,6,5,6,3,3,4,3
49200.0,13.6667,5,6,7,5,4,3,4,3
49800.0,13.8333,5,7,7,5,4,3,4,3
50400.0,14.0,3,7,6,5,4,3,5,3
51000.0,14.1667,4,7,5,4,4,3,4,3
51600.0,14.3333,4,7,3,4,4,3,3,3
52200.0,14.5,5,7,4,5,4,2,3,2
52800.0,14.6667,5,6,5,5,4,2,4,2
53400.0,14.8333,5,6,5,5,4,2,4,3
54000.0,15.0,5,5,4,5,3,5,5,3
54600.0,15.1667,5,5,4,5,3,4,5,3
55200.0,15.3333,5,5,5,6,3,3,5,3
55800.0,15.5,4,6,5,6,3,4,5,3
56400.0,15.6667,5,6,6,6,3,4,4,3
57000.0,15.8333,4,6,5,5,3,4,3,3
57600.0,16.0,3,6,6,6,3,4,5,2
58200.0,16.1667,3,7,5,5,3,3,5,2
58800.0,16.3333,4,8,5,5,3,3,4,3
59400.0,16.5,4,8,6,6,3,3,3,3
60000.0,16.6667,5,7,6,6,5,3,4,4
60600.0,16.8333,5,6,6,5,4,3,5,3
61200.0,17.0,6,6,5,5,4,4,5,3
61800.0,17.1667,6,5,5,4,3,5,5,3
62400.0,17.3333,5,5,5,4,4,4,7,3
63000.0,17.5,5,5,4,5,3,3,7,3
63600.0,17.6667,4,5,5,5,3,3,6,3
64200.0,17.8333,4,5,5,4,3,2,3,3
64800.0,18.0,4,6,5,6,3,2,4,3
65400.0,18.1667,5,6,3,6,4,4,4,2
66000.0,18.3333,5,7,5,6,4,4,5,2
66600.0,18.5,5,6,5,7,4,4,4,3
67200.0,18.6667,5,6,6,6,2,4,4,5
67800.0,18.8333,5,6,7,6,3,3,4,4
68400.0,19.0,6,6,6,5,4,3,4,3
69000.0,19.1667,6,6,5,5,3,4,5,4
69600.0,19.3333,6,5,5,5,3,3,6,4
70200.0,19.5,6,5,5,5,4,2,5,4
70800.0,19.6667,5,5,3,5,4,2,6,4
71400.0,19.8333,4,4,4,4,4,2,4,3
72000.0,20.0,6,4,4,4,4,2,4,3
72600.0,20.1667,6,4,4,5,4,2,6,3
73200.0,20.3333,6,5,4,5,3,3,5,3
73800.0,20.5,5,6,4,5,3,3,5,3
74400.0,20.6667,5,6,5,5,2,3,5,4
75000.0,20.8333,4,5,5,5,2,3,5,5
75600.0,21.0,5,6,5,6,3,3,4,4
76200.0,21.1667,5,6,5,5,3,3,4,3
76800.0,21.3333,4,7,5,4,4,3,4,3
77400.0,21.5,5,6,4,4,4,3,5,2
78000.0,21.6667,6,5,3,3,4,2,5,3
78600.0,21.8333,6,5,4,5,4,2,3,4
79200.0,22.0,7,5,4,5,4,2,3,4
79800.0,22.1667,7,5,4,5,3,4,5,4
80400.0,22.3333,6,5,5,5,3,3,6,4
81000.0,22.5,5,6,5,5,3,3,7,3
81600.0,22.6667,5,6,4,5,4,2,6,3
82200.0,22.8333,5,6,5,5,4,3,5,4
82800.0,23.0,4,8,5,5,3,3,5,2
83400.0,23.1667,5,7,5,5,3,3,3,2
84000.0,23.3333,5,8,5,5,5,3,3,2
84600.0,23.5,3,6,5,5,5,3,4,2
85200.0,23.6667,5,7,5,4,4,4,4,2
85800.0,23.8333,5,6,4,6,3,4,4,2
