from,to,latency_mean_ms,latency_min_ms,latency_max_ms,availability_pct
Vladimir,Murmansk,10.35,8.5,13.76,100.0
Vladimir,Novosibirsk,13.14,11.56,17.22,100.0
Vladimir,Zheleznogorsk,14.58,13.28,18.26,100.0
Vladimir,Khabarovsk,24.8,22.31,29.52,100.0
Vladimir,Vladivostok,26.31,23.2,30.69,100.0
Vladimir,Minsk,10.16,7.31,14.84,100.0
Vladimir,Almaty,13.73,12.47,16.9,100.0
Murmansk,Novosibirsk,13.29,12.39,15.33,100.0
Murmansk,Zheleznogorsk,14.02,13.36,15.48,100.0
Murmansk,Khabarovsk,21.94,20.75,27.45,100.0
Murmansk,Vladivostok,24.11,22.14,28.54,100.0
Murmansk,Minsk,10.83,9.02,14.53,100.0
Murmansk,Almaty,16.35,15.11,20.52,100.0
Novosibirsk,Zheleznogorsk,9.9,7.08,15.49,100.0
Novosibirsk,Khabarovsk,15.53,14.43,20.29,100.0
Novosibirsk,Vladivostok,15.97,14.87,19.55,100.0
Novosibirsk,Minsk,15.32,14.16,19.33,100.0
Novosibirsk,Almaty,10.68,8.27,15.71,100.0
Zheleznogorsk,Khabarovsk,13.61,12.34,16.64,100.0
Zheleznogorsk,Vladivostok,14.13,12.85,17.62,100.0
Zheleznogorsk,Minsk,17.05,15.95,21.02,100.0
Zheleznogorsk,Almaty,11.44,9.41,15.72,100.0
Khabarovsk,Vladivostok,9.88,7.02,16.18,100.0
Khabarovsk,Minsk,28.68,26.13,32.09,100.0
Khabarovsk,Almaty,18.43,17.19,26.29,100.0
Vladivostok,Minsk,29.87,27.09,33.54,100.0
Vladivostok,Almaty,18.28,17.0,23.19,100.0
Minsk,Almaty,15.93,14.93,19.43,100.0
