time_h,gs_name,sat_id,elevation_deg,distance_km,cn0_dbhz,pseudorange_noise_m,clock_sync_error_m,tropo_error_m,iono_error_m,uere_m,pos_error_3d_m,time_error_ns,propagation_delay_ms
0.6666666666666666,Almaty,19.0,0.0,2061.029,37.92,0.2963,1.7988,28.684,22.947,36.784,1272.458,1273.339,6.875
0.8333333333333334,Vladimir,9.0,0.0,2141.51625,37.59,0.3078,1.7988,28.684,22.947,36.784,1272.461,1273.342,7.143
0.8333333333333334,Murmansk,8.0,0.0,1386.18575,41.36,0.1994,1.7988,28.684,22.947,36.783,1272.435,1273.316,4.624
0.8333333333333334,Novosibirsk,18.0,0.0,1105.329875,43.33,0.1589,1.7988,28.684,22.947,36.783,1272.429,1273.31,3.687
0.8333333333333334,Zheleznogorsk,18.0,0.0,1309.1905,41.86,0.1883,1.7988,28.684,22.947,36.783,1272.433,1273.314,4.367
0.8333333333333334,Khabarovsk,29.0,0.0,1228.25,42.42,0.1765,1.7988,28.684,22.947,36.783,1272.431,1273.312,4.097
0.8333333333333334,Vladivostok,29.0,0.0,1001.1983125,44.19,0.144,1.7988,28.684,22.947,36.783,1272.427,1273.307,3.34
0.8333333333333334,Minsk,36.0,0.0,1614.475375,40.04,0.2321,1.7988,28.684,22.947,36.783,1272.442,1273.323,5.385
0.8333333333333334,Almaty,18.0,0.0,2137.53925,37.6,0.3074,1.7988,28.684,22.947,36.784,1272.461,1273.342,7.13
1.0,Vladimir,8.0,0.0,1889.438625,38.67,0.2718,1.7988,28.684,22.947,36.783,1272.452,1273.332,6.302
1.0,Murmansk,36.0,0.0,1524.65075,40.54,0.2191,1.7988,28.684,22.947,36.783,1272.439,1273.32,5.086
1.0,Novosibirsk,17.0,0.0,1241.793375,42.32,0.1785,1.7988,28.684,22.947,36.783,1272.432,1273.313,4.142
1.0,Zheleznogorsk,17.0,0.0,1516.45475,40.58,0.2181,1.7988,28.684,22.947,36.783,1272.439,1273.32,5.058
1.0,Khabarovsk,28.0,0.0,1198.41675,42.63,0.1723,1.7988,28.684,22.947,36.783,1272.431,1273.312,3.997
1.0,Vladivostok,28.0,0.0,1012.21525,44.1,0.1455,1.7988,28.684,22.947,36.783,1272.427,1273.308,3.376
1.0,Minsk,35.0,0.0,1838.58575,38.91,0.2644,1.7988,28.684,22.947,36.783,1272.45,1273.331,6.133
1.0,Almaty,46.0,0.0,2134.1035,37.62,0.3067,1.7988,28.684,22.947,36.784,1272.461,1273.342,7.119
1.1666666666666667,Vladimir,7.0,0.0,1662.74025,39.78,0.2392,1.7988,28.684,22.947,36.783,1272.444,1273.325,5.546
1.1666666666666667,Murmansk,35.0,0.0,1332.805,41.71,0.1915,1.7988,28.684,22.947,36.783,1272.434,1273.315,4.446
1.1666666666666667,Novosibirsk,16.0,0.0,1433.020375,41.08,0.2059,1.7988,28.684,22.947,36.783,1272.437,1273.318,4.78
1.1666666666666667,Zheleznogorsk,16.0,0.0,1746.444625,39.36,0.251,1.7988,28.684,22.947,36.783,1272.446,1273.327,5.826
1.1666666666666667,Khabarovsk,27.0,0.0,1255.720125,42.22,0.1806,1.7988,28.684,22.947,36.783,1272.432,1273.313,4.189
1.1666666666666667,Vladivostok,27.0,0.0,1131.60025,43.13,0.1626,1.7988,28.684,22.947,36.783,1272.429,1273.31,3.775
1.1666666666666667,Minsk,7.0,0.0,2019.882375,38.09,0.2906,1.7988,28.684,22.947,36.784,1272.456,1273.337,6.738
1.1666666666666667,Almaty,54.0,0.0,1957.294875,38.37,0.2813,1.7988,28.684,22.947,36.784,1272.454,1273.335,6.529
1.3333333333333333,Vladimir,6.0,0.0,1471.89875,40.84,0.2117,1.7988,28.684,22.947,36.783,1272.438,1273.319,4.91
1.3333333333333333,Murmansk,34.0,0.0,1171.97575,42.82,0.1686,1.7988,28.684,22.947,36.783,1272.43,1273.311,3.909
1.3333333333333333,Novosibirsk,15.0,0.0,1657.677875,39.81,0.2384,1.7988,28.684,22.947,36.783,1272.444,1273.324,5.529
1.3333333333333333,Zheleznogorsk,15.0,0.0,1988.8925,38.23,0.2859,1.7988,28.684,22.947,36.784,1272.455,1273.336,6.634
1.3333333333333333,Khabarovsk,26.0,0.0,1386.4525,41.36,0.1994,1.7988,28.684,22.947,36.783,1272.435,1273.316,4.625
1.3333333333333333,Vladivostok,26.0,0.0,1327.28225,41.74,0.1909,1.7988,28.684,22.947,36.783,1272.434,1273.315,4.427
1.3333333333333333,Minsk,6.0,0.0,1738.057875,39.4,0.2499,1.7988,28.684,22.947,36.783,1272.446,1273.327,5.798
1.3333333333333333,Almaty,53.0,0.0,1776.57475,39.21,0.2554,1.7988,28.684,22.947,36.783,1272.447,1273.328,5.926
1.5,Vladimir,5.0,0.0,1330.64525,41.72,0.1913,1.7988,28.684,22.947,36.783,1272.434,1273.315,4.439
1.5,Murmansk,33.0,0.0,1058.98825,43.7,0.1523,1.7988,28.684,22.947,36.783,1272.428,1273.309,3.532
1.5,Novosibirsk,14.0,0.0,1901.582,38.62,0.2734,1.7988,28.684,22.947,36.784,1272.452,1273.333,6.343
1.5,Zheleznogorsk,14.0,0.0,2237.48525,37.21,0.3215,1.7988,28.684,22.947,36.784,1272.465,1273.346,7.463
