time_h,gs_name,sat_id,distance_km,elevation_deg,fspl_db,atm_loss_db,rx_power_dbw,cn0_dbhz,snr_db,doppler_hz,link_margin_db
0.0,Vladimir,31,1138.59575,0.0,157.52,34.38,-158.9,43.07,-27.03,38643.9,8.07
0.0,Murmansk,3,1097.0945,0.0,157.2,34.38,-158.58,43.4,-26.7,38643.9,8.4
0.0,Novosibirsk,13,1650.7165,0.0,160.75,34.38,-162.13,39.85,-30.25,38643.9,4.85
0.0,Zheleznogorsk,13,1243.932625,0.0,158.29,34.38,-159.67,42.31,-27.79,38643.9,7.31
0.0,Khabarovsk,51,1589.3685,0.0,160.42,34.38,-161.8,40.18,-29.92,38643.9,5.18
0.0,Vladivostok,51,1722.72975,0.0,161.12,34.38,-162.5,39.48,-30.62,38643.9,4.48
0.0,Minsk,31,1353.428375,0.0,159.02,34.38,-160.4,41.57,-28.53,38643.9,6.57
0.0,Almaty,41,1537.796375,0.0,160.13,34.38,-161.51,40.46,-29.64,38643.9,5.46
0.16666666666666666,Vladimir,30,1275.045,0.0,158.51,34.38,-159.89,42.09,-28.01,38643.9,7.09
0.16666666666666666,Murmansk,2,1011.3800625,0.0,156.49,34.38,-157.87,44.1,-26.0,38643.9,9.1
0.16666666666666666,Novosibirsk,12,1411.39625,0.0,159.39,34.38,-160.77,41.21,-28.89,38643.9,6.21
0.16666666666666666,Zheleznogorsk,12,1090.17025,0.0,157.15,34.38,-158.52,43.45,-26.65,38643.9,8.45
0.16666666666666666,Khabarovsk,50,1794.653625,0.0,161.48,34.38,-162.85,39.12,-30.98,38643.9,4.12
0.16666666666666666,Vladivostok,50,1828.491125,0.0,161.64,34.38,-163.02,38.96,-31.14,38643.9,3.96
0.16666666666666666,Minsk,30,1262.997375,0.0,158.42,34.38,-159.8,42.17,-27.93,38643.9,7.17
0.16666666666666666,Almaty,3,1623.786375,0.0,160.61,34.38,-161.99,39.99,-30.11,38643.9,4.99
0.3333333333333333,Vladimir,39,1469.580375,0.0,159.74,34.38,-161.12,40.86,-29.24,38643.9,5.86
0.3333333333333333,Murmansk,1,1004.1449375,0.0,156.43,34.38,-157.81,44.17,-25.93,38643.9,9.17
0.3333333333333333,Novosibirsk,11,1216.511625,0.0,158.1,34.38,-159.48,42.5,-27.6,38643.9,7.5
0.3333333333333333,Zheleznogorsk,11,1015.9295625,0.0,156.53,34.38,-157.91,44.06,-26.03,38643.9,9.06
0.3333333333333333,Khabarovsk,22,1752.73425,0.0,161.27,34.38,-162.65,39.33,-30.77,38643.9,4.33
0.3333333333333333,Vladivostok,22,1551.623625,0.0,160.21,34.38,-161.59,40.39,-29.71,38643.9,5.39
0.3333333333333333,Minsk,39,1243.852375,0.0,158.29,34.38,-159.67,42.31,-27.79,38643.9,7.31
0.3333333333333333,Almaty,2,1726.558875,0.0,161.14,34.38,-162.52,39.46,-30.64,38643.9,4.46
0.5,Vladimir,38,1703.7825,0.0,161.02,34.38,-162.4,39.57,-30.53,38643.9,4.57
0.5,Murmansk,0,1075.246875,0.0,157.03,34.38,-158.41,43.57,-26.53,38643.9,8.57
0.5,Novosibirsk,10,1088.264375,0.0,157.13,34.38,-158.51,43.47,-26.63,38643.9,8.47
0.5,Zheleznogorsk,10,1035.50075,0.0,156.7,34.38,-158.08,43.9,-26.2,38643.9,8.9
0.5,Khabarovsk,21,1523.39125,0.0,160.05,34.38,-161.43,40.54,-29.55,38643.9,5.54
0.5,Vladivostok,21,1299.263125,0.0,158.67,34.38,-160.05,41.93,-28.17,38643.9,6.93
0.5,Minsk,38,1302.064375,0.0,158.69,34.38,-160.07,41.91,-28.19,38643.9,6.91
0.5,Almaty,1,1880.3705,0.0,161.88,34.38,-163.26,38.72,-31.38,38643.9,3.72
0.6666666666666666,Vladimir,37,1964.471625,0.0,162.26,34.38,-163.64,38.34,-31.76,38643.9,3.34
0.6666666666666666,Murmansk,9,1209.199,0.0,158.05,34.38,-159.42,42.55,-27.55,38643.9,7.55
0.6666666666666666,Novosibirsk,19,1048.927,0.0,156.81,34.38,-158.19,43.79,-26.31,38643.9,8.79
0.6666666666666666,Zheleznogorsk,19,1141.088125,0.0,157.54,34.38,-158.92,43.05,-27.04,38643.9,8.05
0.6666666666666666,Khabarovsk,20,1342.136375,0.0,158.95,34.38,-160.33,41.65,-28.45,38643.9,6.65
0.6666666666666666,Vladivostok,20,1105.189875,0.0,157.26,34.38,-158.64,43.33,-26.77,38643.9,8.33
0.6666666666666666,Minsk,37,1430.568125,0.0,159.51,34.38,-160.89,41.09,-29.01,38643.9,6.09
0.6666666666666666,Almaty,19,2061.029,0.0,162.68,34.38,-164.06,37.92,-32.18,38643.9,2.92
0.8333333333333334,Vladimir,9,2141.51625,0.0,163.01,34.38,-164.39,37.59,-32.51,38643.9,2.59
0.8333333333333334,Murmansk,8,1386.18575,0.0,159.23,34.38,-160.61,41.36,-28.73,38643.9,6.36
0.8333333333333334,Novosibirsk,18,1105.329875,0.0,157.27,34.38,-158.64,43.33,-26.77,38643.9,8.33
0.8333333333333334,Zheleznogorsk,18,1309.1905,0.0,158.74,34.38,-160.11,41.86,-28.24,38643.9,6.86
0.8333333333333334,Khabarovsk,29,1228.25,0.0,158.18,34.38,-159.56,42.42,-27.68,38643.9,7.42
0.8333333333333334,Vladivostok,29,1001.1983125,0.0,156.41,34.38,-157.79,44.19,-25.91,38643.9,9.19
0.8333333333333334,Minsk,36,1614.475375,0.0,160.56,34.38,-161.94,40.04,-30.06,38643.9,5.04
0.8333333333333334,Almaty,18,2137.53925,0.0,162.99,34.38,-164.37,37.6,-32.5,38643.9,2.6
1.0,Vladimir,8,1889.438625,0.0,161.92,34.38,-163.3,38.67,-31.42,38643.9,3.67
1.0,Murmansk,36,1524.65075,0.0,160.06,34.38,-161.44,40.54,-29.56,38643.9,5.54
1.0,Novosibirsk,17,1241.793375,0.0,158.28,34.38,-159.66,42.32,-27.78,38643.9,7.32
1.0,Zheleznogorsk,17,1516.45475,0.0,160.01,34.38,-161.39,40.58,-29.51,38643.9,5.58
1.0,Khabarovsk,28,1198.41675,0.0,157.97,34.38,-159.35,42.63,-27.47,38643.9,7.63
1.0,Vladivostok,28,1012.21525,0.0,156.5,34.38,-157.88,44.1,-26.0,38643.9,9.1
1.0,Minsk,35,1838.58575,0.0,161.69,34.38,-163.06,38.91,-31.19,38643.9,3.91
1.0,Almaty,46,2134.1035,0.0,162.98,34.38,-164.36,37.62,-32.48,38643.9,2.62
1.1666666666666667,Vladimir,7,1662.74025,0.0,160.81,34.38,-162.19,39.78,-30.31,38643.9,4.78
1.1666666666666667,Murmansk,35,1332.805,0.0,158.89,34.38,-160.27,41.71,-28.39,38643.9,6.71
1.1666666666666667,Novosibirsk,16,1433.020375,0.0,159.52,34.38,-160.9,41.08,-29.02,38643.9,6.08
1.1666666666666667,Zheleznogorsk,16,1746.444625,0.0,161.24,34.38,-162.62,39.36,-30.74,38643.9,4.36
1.1666666666666667,Khabarovsk,27,1255.720125,0.0,158.37,34.38,-159.75,42.22,-27.88,38643.9,7.22
1.1666666666666667,Vladivostok,27,1131.60025,0.0,157.47,34.38,-158.85,43.13,-26.97,38643.9,8.13
1.1666666666666667,Minsk,7,2019.882375,0.0,162.5,34.38,-163.88,38.09,-32.0,38643.9,3.09
1.1666666666666667,Almaty,54,1957.294875,0.0,162.23,34.38,-163.61,38.37,-31.73,38643.9,3.37
1.3333333333333333,Vladimir,6,1471.89875,0.0,159.75,34.38,-161.13,40.84,-29.26,38643.9,5.84
1.3333333333333333,Murmansk,34,1171.97575,0.0,157.77,34.38,-159.15,42.82,-27.28,38643.9,7.82
1.3333333333333333,Novosibirsk,15,1657.677875,0.0,160.79,34.38,-162.16,39.81,-30.29,38643.9,4.81
1.3333333333333333,Zheleznogorsk,15,1988.8925,0.0,162.37,34.38,-163.75,38.23,-31.87,38643.9,3.23
1.3333333333333333,Khabarovsk,26,1386.4525,0.0,159.23,34.38,-160.61,41.36,-28.74,38643.9,6.36
1.3333333333333333,Vladivostok,26,1327.28225,0.0,158.85,34.38,-160.23,41.74,-28.36,38643.9,6.74
1.3333333333333333,Minsk,6,1738.057875,0.0,161.2,34.38,-162.58,39.4,-30.7,38643.9,4.4
1.3333333333333333,Almaty,53,1776.57475,0.0,161.39,34.38,-162.77,39.21,-30.89,38643.9,4.21
1.5,Vladimir,5,1330.64525,0.0,158.88,34.38,-160.26,41.72,-28.38,38643.9,6.72
1.5,Murmansk,33,1058.98825,0.0,156.89,34.38,-158.27,43.7,-26.4,38643.9,8.7
1.5,Novosibirsk,14,1901.582,0.0,161.98,34.38,-163.36,38.62,-31.48,38643.9,3.62
1.5,Zheleznogorsk,14,2237.48525,0.0,163.39,34.38,-164.77,37.21,-32.89,38643.9,2.21
1.5,Khabarovsk,63,1245.135625,0.0,158.3,34.38,-159.68,42.3,-27.8,38643.9,7.3
