holdover_h,eph_no_isl_m,eph_with_isl_m,uere_no_isl_m,uere_with_isl_m,cep_no_isl_m,cep_with_isl_m
17.5000,8.8000,0.6400,9.3167,3.1256,28.3086,9.4972
17.6000,8.8500,0.6420,9.3639,3.1260,28.4522,9.4985
17.7000,8.9000,0.6440,9.4112,3.1265,28.5958,9.4997
17.8000,8.9500,0.6460,9.4585,3.1269,28.7395,9.5010
17.9000,9.0000,0.6480,9.5058,3.1273,28.8833,9.5023
18.0000,9.0500,0.6500,9.5531,3.1277,29.0272,9.5035
18.1000,9.1000,0.6520,9.6005,3.1281,29.1712,9.5048
18.2000,9.1500,0.6540,9.6479,3.1285,29.3152,9.5060
18.3000,9.2000,0.6560,9.6954,3.1290,29.4594,9.5073
18.4000,9.2500,0.6580,9.7428,3.1294,29.6036,9.5086
18.5000,9.3000,0.6600,9.7903,3.1298,29.7478,9.5099
18.6000,9.3500,0.6620,9.8378,3.1302,29.8922,9.5112
18.7000,9.4000,0.6640,9.8853,3.1306,30.0366,9.5124
18.8000,9.4500,0.6660,9.9329,3.1311,30.1811,9.5137
18.9000,9.5000,0.6680,9.9805,3.1315,30.3257,9.5150
19.0000,9.5500,0.6700,10.0281,3.1319,30.4703,9.5163
19.1000,9.6000,0.6720,10.0757,3.1323,30.6151,9.5176
19.2000,9.6500,0.6740,10.1234,3.1328,30.7598,9.5189
19.3000,9.7000,0.6760,10.1710,3.1332,30.9047,9.5202
19.4000,9.7500,0.6780,10.2187,3.1336,31.0496,9.5216
19.5000,9.8000,0.6800,10.2665,3.1341,31.1946,9.5229
19.6000,9.8500,0.6820,10.3142,3.1345,31.3397,9.5242
19.7000,9.9000,0.6840,10.3619,3.1349,31.4848,9.5255
19.8000,9.9500,0.6860,10.4097,3.1354,31.6300,9.5268
19.9000,10.0000,0.6880,10.4575,3.1358,31.7752,9.5282
20.0000,10.0500,0.6900,10.5054,3.1363,31.9205,9.5295
20.1000,10.1000,0.6920,10.5532,3.1367,32.0659,9.5309
20.2000,10.1500,0.6940,10.6011,3.1371,32.2113,9.5322
20.3000,10.2000,0.6960,10.6489,3.1376,32.3568,9.5335
20.4000,10.2500,0.6980,10.6968,3.1380,32.5024,9.5349
20.5000,10.3000,0.7000,10.7448,3.1385,32.6480,9.5362
20.6000,10.3500,0.7020,10.7927,3.1389,32.7936,9.5376
20.7000,10.4000,0.7040,10.8407,3.1394,32.9394,9.5390
20.8000,10.4500,0.7060,10.8886,3.1398,33.0851,9.5403
20.9000,10.5000,0.7080,10.9366,3.1403,33.2310,9.5417
21.0000,10.5500,0.7100,10.9846,3.1407,33.3769,9.5431
21.1000,10.6000,0.7120,11.0327,3.1412,33.5228,9.5444
21.2000,10.6500,0.7140,11.0807,3.1416,33.6688,9.5458
21.3000,10.7000,0.7160,11.1288,3.1421,33.8148,9.5472
21.4000,10.7500,0.7180,11.1769,3.1425,33.9609,9.5486
21.5000,10.8000,0.7200,11.2250,3.1430,34.1071,9.5500
21.6000,10.8500,0.7220,11.2731,3.1435,34.2533,9.5514
21.7000,10.9000,0.7240,11.3212,3.1439,34.3995,9.5528
21.8000,10.9500,0.7260,11.3694,3.1444,34.5458,9.5542
21.9000,11.0000,0.7280,11.4175,3.1448,34.6922,9.5556
22.0000,11.0500,0.7300,11.4657,3.1453,34.8386,9.5570
22.1000,11.1000,0.7320,11.5139,3.1458,34.9850,9.5584
22.2000,11.1500,0.7340,11.5621,3.1462,35.1315,9.5598
22.3000,11.2000,0.7360,11.6103,3.1467,35.2780,9.5612
22.4000,11.2500,0.7380,11.6586,3.1472,35.4246,9.5627
22.5000,11.3000,0.7400,11.7068,3.1476,35.5712,9.5641
22.6000,11.3500,0.7420,11.7551,3.1481,35.7179,9.5655
22.7000,11.4000,0.7440,11.8034,3.1486,35.8646,9.5670
22.8000,11.4500,0.7460,11.8517,3.1491,36.0114,9.5684
22.9000,11.5000,0.7480,11.9000,3.1495,36.1581,9.5698
23.0000,11.5500,0.7500,11.9483,3.1500,36.3050,9.5713
23.1000,11.6000,0.7520,11.9967,3.1505,36.4519,9.5727
23.2000,11.6500,0.7540,12.0450,3.1510,36.5988,9.5742
23.3000,11.7000,0.7560,12.0934,3.1514,36.7458,9.5756
23.4000,11.7500,0.7580,12.1418,3.1519,36.8928,9.5771
23.5000,11.8000,0.7600,12.1902,3.1524,37.0398,9.5786
23.6000,11.8500,0.7620,12.2386,3.1529,37.1869,9.5800
23.7000,11.9000,0.7640,12.2870,3.1534,37.3340,9.5815
23.8000,11.9500,0.7660,12.3354,3.1538,37.4812,9.5830
23.9000,12.0000,0.7680,12.3839,3.1543,37.6284,9.5844
24.0000,12.0500,0.7700,12.4323,3.1548,37.7756,9.5859
24.1000,12.1000,0.7720,12.4808,3.1553,37.9229,9.5874
24.2000,12.1500,0.7740,12.5293,3.1558,38.0702,9.5889
24.3000,12.2000,0.7760,12.5778,3.1563,38.2175,9.5904
24.4000,12.2500,0.7780,12.6263,3.1568,38.3649,9.5919
24.5000,12.3000,0.7800,12.6748,3.1573,38.5123,9.5934
24.6000,12.3500,0.7820,12.7233,3.1578,38.6598,9.5949
24.7000,12.4000,0.7840,12.7718,3.1583,38.8072,9.5964
24.8000,12.4500,0.7860,12.8204,3.1588,38.9548,9.5979
24.9000,12.5000,0.7880,12.8690,3.1593,39.1023,9.5994
25.0000,12.5500,0.7900,12.9175,3.1598,39.2499,9.6009
25.1000,12.6000,0.7920,12.9661,3.1603,39.3975,9.6025
25.2000,12.6500,0.7940,13.0147,3.1608,39.5452,9.6040
25.3000,12.7000,0.7960,13.0633,3.1613,39.6929,9.6055
25.4000,12.7500,0.7980,13.1119,3.1618,39.8406,9.6070
25.5000,12.8000,0.8000,13.1605,3.1623,39.9883,9.6086
25.6000,12.8500,0.8020,13.2092,3.1628,40.1361,9.6101
25.7000,12.9000,0.8040,13.2578,3.1633,40.2839,9.6117
25.8000,12.9500,0.8060,13.3065,3.1638,40.4317,9.6132
25.9000,13.0000,0.8080,13.3551,3.1643,40.5796,9.6148
26.0000,13.0500,0.8100,13.4038,3.1648,40.7275,9.6163
26.1000,13.1000,0.8120,13.4525,3.1653,40.8754,9.6179
26.2000,13.1500,0.8140,13.5012,3.1658,41.0234,9.6194
26.3000,13.2000,0.8160,13.5499,3.1664,41.1714,9.6210
26.4000,13.2500,0.8180,13.5986,3.1669,41.3194,9.6226
26.5000,13.3000,0.8200,13.6473,3.1674,41.4675,9.6241
26.6000,13.3500,0.8220,13.6961,3.1679,41.6155,9.6257
26.7000,13.4000,0.8240,13.7448,3.1684,41.7636,9.6273
26.8000,13.4500,0.8260,13.7936,3.1690,41.9118,9.6289
26.9000,13.5000,0.8280,13.8423,3.1695,42.0599,9.6305
27.0000,13.5500,0.8300,13.8911,3.1700,42.2081,9.6320
27.1000,13.6000,0.8320,13.9399,3.1705,42.3563,9.6336
27.2000,13.6500,0.8340,13.9887,3.1710,42.5045,9.6352
27.3000,13.7000,0.8360,14.0374,3.1716,42.6528,9.6368
27.4000,13.7500,0.8380,14.0863,3.1721,42.8011,9.6384
27.5000,13.8000,0.8400,14.1351,3.1726,42.9494,9.6400
27.6000,13.8500,0.8420,14.1839,3.1732,43.0977,9.6417
27.7000,13.9000,0.8440,14.2327,3.1737,43.2461,9.6433
27.8000,13.9500,0.8460,14.2815,3.1742,43.3945,9.6449
27.9000,14.0000,0.8480,14.3304,3.1748,43.5429,9.6465
28.0000,14.0500,0.8500,14.3792,3.1753,43.6913,9.6481
28.1000,14.1000,0.8520,14.4281,3.1758,43.8398,9.6498
28.2000,14.1500,0.8540,14.4770,3.1764,43.9883,9.6514
28.3000,14.2000,0.8560,14.5258,3.1769,44.1368,9.6530
28.4000,14.2500,0.8580,14.5747,3.1774,44.2853,9.6547
28.5000,14.3000,0.8600,14.6236,3.1780,44.4338,9.6563
28.6000,14.3500,0.8620,14.6725,3.1785,44.5824,9.6580
28.7000,14.4000,0.8640,14.7214,3.1791,44.7310,9.6596
28.8000,14.4500,0.8660,14.7703,3.1796,44.8796,9.6613
28.9000,14.5000,0.8680,14.8192,3.1802,45.0283,9.6629
29.0000,14.5500,0.8700,14.8682,3.1807,45.1769,9.6646
29.1000,14.6000,0.8720,14.9171,3.1813,45.3256,9.6662
29.2000,14.6500,0.8740,14.9660,3.1818,45.4743,9.6679
29.3000,14.7000,0.8760,15.0150,3.1824,45.6231,9.6696
29.4000,14.7500,0.8780,15.0639,3.1829,45.7718,9.6713
29.5000,14.8000,0.8800,15.1129,3.1835,45.9206,9.6729
29.6000,14.8500,0.8820,15.1619,3.1840,46.0694,9.6746
29.7000,14.9000,0.8840,15.2109,3.1846,46.2182,9.6763
29.8000,14.9500,0.8860,15.2598,3.1851,46.3670,9.6780
29.9000,15.0000,0.8880,15.3088,3.1857,46.5159,9.6797
30.0000,15.0500,0.8900,15.3578,3.1862,46.6647,9.6814
30.1000,15.1000,0.8920,15.4068,3.1868,46.8136,9.6831
30.2000,15.1500,0.8940,15.4558,3.1874,46.9625,9.6848
30.3000,15.2000,0.8960,15.5048,3.1879,47.1115,9.6865
30.4000,15.2500,0.8980,15.5539,3.1885,47.2604,9.6882
30.5000,15.3000,0.9000,15.6029,3.1890,47.4094,9.6899
30.6000,15.3500,0.9020,15.6519,3.1896,47.5583,9.6916
30.7000,15.4000,0.9040,15.7010,3.1902,47.7074,9.6933
30.8000,15.4500,0.9060,15.7500,3.1907,47.8564,9.6951
30.9000,15.5000,0.9080,15.7991,3.1913,48.0054,9.6968
31.0000,15.5500,0.9100,15.8481,3.1919,48.1545,9.6985
31.1000,15.6000,0.9120,15.8972,3.1925,48.3035,9.7003
31.2000,15.6500,0.9140,15.9462,3.1930,48.4526,9.7020
31.3000,15.7000,0.9160,15.9953,3.1936,48.6018,9.7037
31.4000,15.7500,0.9180,16.0444,3.1942,48.7509,9.7055
31.5000,15.8000,0.9200,16.0935,3.1947,48.9000,9.7072
31.6000,15.8500,0.9220,16.1426,3.1953,49.0492,9.7090
31.7000,15.9000,0.9240,16.1917,3.1959,49.1984,9.7107
31.8000,15.9500,0.9260,16.2408,3.1965,49.3476,9.7125
31.9000,16.0000,0.9280,16.2899,3.1971,49.4968,9.7143
32.0000,16.0500,0.9300,16.3390,3.1976,49.6460,9.7160
32.1000,16.1000,0.9320,16.3881,3.1982,49.7953,9.7178
32.2000,16.1500,0.9340,16.4372,3.1988,49.9445,9.7196
32.3000,16.2000,0.9360,16.4864,3.1994,50.0938,9.7213
32.4000,16.2500,0.9380,16.5355,3.2000,50.2431,9.7231
32.5000,16.3000,0.9400,16.5846,3.2006,50.3924,9.7249
32.6000,16.3500,0.9420,16.6338,3.2012,50.5417,9.7267
32.7000,16.4000,0.9440,16.6829,3.2017,50.6911,9.7285
32.8000,16.4500,0.9460,16.7321,3.2023,50.8404,9.7303
32.9000,16.5000,0.9480,16.7812,3.2029,50.9898,9.7321
33.0000,16.5500,0.9500,16.8304,3.2035,51.1392,9.7339
33.1000,16.6000,0.9520,16.8796,3.2041,51.2886,9.7357
33.2000,16.6500,0.9540,16.9287,3.2047,51.4380,9.7375
33.3000,16.7000,0.9560,16.9779,3.2053,51.5874,9.7393
33.4000,16.7500,0.9580,17.0271,3.2059,51.7369,9.7411
33.5000,16.8000,0.9600,17.0763,3.2065,51.8863,9.7429
33.6000,16.8500,0.9620,17.1255,3.2071,52.0358,9.7448
33.7000,16.9000,0.9640,17.1747,3.2077,52.1853,9.7466
33.8000,16.9500,0.9660,17.2239,3.2083,52.3348,9.7484
33.9000,17.0000,0.9680,17.2731,3.2089,52.4843,9.7502
34.0000,17.0500,0.9700,17.3223,3.2095,52.6338,9.7521
34.1000,17.1000,0.9720,17.3715,3.2101,52.7834,9.7539
34.2000,17.1500,0.9740,17.4207,3.2107,52.9329,9.7558
34.3000,17.2000,0.9760,17.4700,3.2113,53.0825,9.7576
34.4000,17.2500,0.9780,17.5192,3.2119,53.2321,9.7594
