holdover_h,eph_no_isl_m,eph_with_isl_m,uere_no_isl_m,uere_with_isl_m,cep_no_isl_m,cep_with_isl_m
46.5000,23.3000,1.2200,23.5000,3.2937,71.4047,10.0079
46.6000,23.3500,1.2220,23.5496,3.2944,71.5554,10.0101
46.7000,23.4000,1.2240,23.5992,3.2952,71.7060,10.0124
46.8000,23.4500,1.2260,23.6487,3.2959,71.8567,10.0146
46.9000,23.5000,1.2280,23.6983,3.2967,72.0073,10.0169
47.0000,23.5500,1.2300,23.7479,3.2974,72.1580,10.0192
47.1000,23.6000,1.2320,23.7975,3.2982,72.3086,10.0214
47.2000,23.6500,1.2340,23.8471,3.2989,72.4593,10.0237
47.3000,23.7000,1.2360,23.8967,3.2997,72.6100,10.0260
47.4000,23.7500,1.2380,23.9462,3.3004,72.7607,10.0283
47.5000,23.8000,1.2400,23.9958,3.3012,72.9113,10.0305
47.6000,23.8500,1.2420,24.0454,3.3019,73.0620,10.0328
47.7000,23.9000,1.2440,24.0950,3.3027,73.2127,10.0351
47.8000,23.9500,1.2460,24.1446,3.3034,73.3634,10.0374
47.9000,24.0000,1.2480,24.1942,3.3042,73.5141,10.0397
48.0000,24.0500,1.2500,24.2438,3.3049,73.6648,10.0420
