tier,uere_m,uere_emp_m,cep50_m,cep95_m,vert95_m,hdop,vdop,pdop
PPP-RTK,0.1308,0.1311,0.1199,0.2531,0.4577,1.10,1.80,2.10
PPP,0.2335,0.2315,0.2138,0.4477,0.8279,1.10,1.80,2.10
Одночастотный,1.0778,1.0587,0.9773,2.0606,3.8060,1.10,1.80,2.10

tier,cep95_mask5deg_m,cep95_mask10deg_m,cep95_mask15deg_m,cep95_mask20deg_m
PPP-RTK,0.2187,0.2506,0.2835,0.3092
PPP,0.3871,0.4447,0.4957,0.5640
Одночастотный,1.8060,2.0399,2.3084,2.5661
