station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,9
Zheleznogorsk,0.0,23.8333,1431.0,9
Khabarovsk,0.0,23.8333,1431.0,6
Murmansk,0.0,23.8333,1431.0,10
Novosibirsk,0.0,23.8333,1431.0,9
Vladivostok,0.0,23.8333,1431.0,7
Yakutsk,0.0,23.8333,1431.0,11
Minsk,0.0,23.8333,1431.0,8
Almaty,0.0,23.8333,1431.0,7
Urumqi,0.0,23.8333,1431.0,6
Delhi,0.0,23.8333,1431.0,5
Yangon,0.0,23.8333,1431.0,4
Jakarta,0.0,23.8333,1431.0,4
Tehran,0.0,23.8333,1431.0,6
Johannesburg,0.0,23.8333,1431.0,5
Nairobi,0.0,23.8333,1431.0,4
Luanda,0.0,23.8333,1431.0,4
Havana,0.0,23.8333,1431.0,5
Caracas,0.0,23.8333,1431.0,4
Buenos_Aires,0.0,23.8333,1431.0,6
