label,n_satellites,altitude_km,n_orbits,n_sats_per_orbit,inclination_deg,coverage_4sats_mean_pct,coverage_4sats_min_pct,pdop_p95_mean,pdop_p95_worst,coverage_good_pdop_mean_pct,n_sats_mean_overall
55deg_120,120,1000.0,10,12,55.0,55.16,54.35,104.336,241.816,27.71,3.51
55deg_180,180,1000.0,12,15,55.0,74.83,73.45,59.665,406.853,57.56,5.26
55deg_240,240,1000.0,12,20,55.0,77.75,76.97,13.705,16.775,70.37,7.02
55deg_300,300,1000.0,15,20,55.0,78.38,78.38,10.62,12.56,72.73,8.77
75deg_180,180,1000.0,12,15,75.0,95.26,93.41,1913.258,270106.136,75.9,8.32
75deg_240,240,1000.0,12,20,75.0,100.0,100.0,22.552,1822.281,91.96,11.1
75deg_300,300,1000.0,15,20,75.0,100.0,100.0,5.036,5.799,97.3,13.87
