pair,path_lifetime_mean_steps,path_change_count,path_change_rate_pct,latency_jitter_ms,hop_count_mean,timing_path_uncertainty_ns
Vladimir_to_Murmansk,72.0,1,0.7,0.495,1.2,495386.0
Vladimir_to_Novosibirsk,144.0,0,0.0,0.279,1.5,279012.4
Vladimir_to_Zheleznogorsk,144.0,0,0.0,0.186,1.7,185514.0
Vladimir_to_Yakutsk,144.0,0,0.0,0.066,2.4,65736.3
Vladimir_to_Khabarovsk,8.0,17,11.9,0.504,2.9,503725.1
Vladimir_to_Vladivostok,4.2,33,23.1,0.69,3.1,690271.6
Vladimir_to_Minsk,36.0,3,2.1,0.593,1.1,592801.0
Vladimir_to_Almaty,144.0,0,0.0,0.315,1.7,314714.3
Vladimir_to_Tehran,144.0,0,0.0,0.459,1.5,458949.0
Vladimir_to_Urumqi,144.0,0,0.0,0.227,1.9,227136.3
Vladimir_to_Delhi,144.0,0,0.0,0.22,2.2,219705.9
Vladimir_to_Yangon,3.3,43,30.1,0.911,3.2,911328.1
Vladimir_to_Jakarta,13.1,10,7.0,0.431,4.6,430713.4
Vladimir_to_Luanda,4.0,35,24.5,0.853,3.9,852573.0
Vladimir_to_Nairobi,4.0,35,24.5,0.89,3.2,890093.7
Vladimir_to_Johannesburg,6.9,20,14.0,0.672,4.7,672040.3
Vladimir_to_Havana,3.9,36,25.2,0.873,4.9,873071.5
Vladimir_to_Caracas,3.0,47,32.9,1.079,5.2,1079298.4
Vladimir_to_Buenos_Aires,3.4,41,28.7,1.14,7.1,1140400.5
Murmansk_to_Novosibirsk,144.0,0,0.0,0.219,1.6,218918.3
Murmansk_to_Zheleznogorsk,144.0,0,0.0,0.167,1.8,167246.3
Murmansk_to_Yakutsk,144.0,0,0.0,0.04,2.1,39978.3
Murmansk_to_Khabarovsk,144.0,0,0.0,0.159,2.7,159044.0
Murmansk_to_Vladivostok,36.0,3,2.1,0.352,2.9,351839.8
Murmansk_to_Minsk,144.0,0,0.0,0.393,1.2,392775.6
Murmansk_to_Almaty,144.0,0,0.0,0.163,2.0,162970.6
Murmansk_to_Tehran,144.0,0,0.0,0.183,2.0,183061.8
Murmansk_to_Urumqi,144.0,0,0.0,0.141,2.1,141268.5
Murmansk_to_Delhi,28.8,4,2.8,0.303,2.6,303046.3
Murmansk_to_Yangon,4.4,32,22.4,0.56,3.6,560043.7
Murmansk_to_Jakarta,6.3,22,15.4,0.644,5.0,643985.2
Murmansk_to_Luanda,36.0,3,2.1,0.509,4.4,509120.9
Murmansk_to_Nairobi,5.3,26,18.2,0.834,3.9,833794.7
Murmansk_to_Johannesburg,16.0,8,5.6,0.443,5.4,442804.0
Murmansk_to_Havana,4.6,30,21.0,0.452,4.3,452295.4
Murmansk_to_Caracas,3.5,40,28.0,0.732,4.7,731606.8
Murmansk_to_Buenos_Aires,3.5,40,28.0,0.753,6.8,752639.1
Novosibirsk_to_Zheleznogorsk,24.0,5,3.5,0.612,1.0,612188.2
Novosibirsk_to_Yakutsk,144.0,0,0.0,0.221,1.6,220879.0
Novosibirsk_to_Khabarovsk,144.0,0,0.0,0.214,1.9,213565.8
Novosibirsk_to_Vladivostok,144.0,0,0.0,0.231,2.0,231444.9
Novosibirsk_to_Minsk,144.0,0,0.0,0.18,1.9,179815.3
Novosibirsk_to_Almaty,16.0,8,5.6,0.605,1.2,605430.2
Novosibirsk_to_Tehran,144.0,0,0.0,0.286,1.8,286141.0
Novosibirsk_to_Urumqi,16.0,8,5.6,0.615,1.2,615269.0
Novosibirsk_to_Delhi,144.0,0,0.0,0.283,1.7,283269.6
Novosibirsk_to_Yangon,144.0,0,0.0,0.159,2.2,158990.7
Novosibirsk_to_Jakarta,4.5,31,21.7,0.735,3.6,735156.4
Novosibirsk_to_Luanda,3.3,42,29.4,1.068,4.9,1068198.1
Novosibirsk_to_Nairobi,3.6,39,27.3,0.888,3.8,888161.5
Novosibirsk_to_Johannesburg,4.6,30,21.0,0.662,5.3,662312.7
Novosibirsk_to_Havana,4.1,34,23.8,0.694,5.6,693699.3
Novosibirsk_to_Caracas,4.6,30,21.0,0.655,6.1,655405.2
Novosibirsk_to_Buenos_Aires,12.0,11,7.7,0.475,8.3,475251.5
Zheleznogorsk_to_Yakutsk,144.0,0,0.0,0.297,1.4,296979.3
Zheleznogorsk_to_Khabarovsk,144.0,0,0.0,0.304,1.6,303794.8
Zheleznogorsk_to_Vladivostok,144.0,0,0.0,0.298,1.7,297535.6
Zheleznogorsk_to_Minsk,144.0,0,0.0,0.116,2.1,115651.1
Zheleznogorsk_to_Almaty,48.0,2,1.4,0.502,1.3,501898.3
Zheleznogorsk_to_Tehran,144.0,0,0.0,0.225,2.0,224663.6
Zheleznogorsk_to_Urumqi,16.0,8,5.6,0.603,1.2,602965.3
Zheleznogorsk_to_Delhi,144.0,0,0.0,0.287,1.8,287306.0
Zheleznogorsk_to_Yangon,144.0,0,0.0,0.128,2.2,127548.3
Zheleznogorsk_to_Jakarta,18.0,7,4.9,0.611,3.6,610612.7
Zheleznogorsk_to_Luanda,4.0,35,24.5,1.073,5.3,1072942.4
Zheleznogorsk_to_Nairobi,4.4,32,22.4,0.73,4.2,730043.2
Zheleznogorsk_to_Johannesburg,3.9,36,25.2,0.667,5.6,667316.2
Zheleznogorsk_to_Havana,7.2,19,13.3,0.716,5.7,715810.2
Zheleznogorsk_to_Caracas,5.3,26,18.2,0.58,6.2,580112.4
Zheleznogorsk_to_Buenos_Aires,7.6,18,12.6,0.489,8.4,489088.6
Yakutsk_to_Khabarovsk,144.0,0,0.0,0.437,1.2,436756.1
Yakutsk_to_Vladivostok,72.0,1,0.7,0.435,1.4,434933.7
Yakutsk_to_Minsk,144.0,0,0.0,0.105,2.7,104552.7
Yakutsk_to_Almaty,144.0,0,0.0,0.178,2.1,177639.5
Yakutsk_to_Tehran,8.0,17,11.9,0.597,2.9,596581.2
Yakutsk_to_Urumqi,144.0,0,0.0,0.231,1.8,231481.6
Yakutsk_to_Delhi,13.1,10,7.0,0.436,2.6,435569.1
Yakutsk_to_Yangon,7.2,19,13.3,0.63,2.8,630361.8
Yakutsk_to_Jakarta,4.6,30,21.0,0.786,3.9,786212.1
Yakutsk_to_Luanda,4.5,31,21.7,0.834,6.1,834184.7
Yakutsk_to_Nairobi,10.3,13,9.1,0.514,5.1,513790.5
Yakutsk_to_Johannesburg,4.6,30,21.0,0.86,6.6,860198.3
Yakutsk_to_Havana,5.1,27,18.9,0.624,5.0,624415.0
Yakutsk_to_Caracas,4.6,30,21.0,0.666,5.9,666393.6
Yakutsk_to_Buenos_Aires,11.1,12,8.4,0.529,8.4,529317.6
Khabarovsk_to_Vladivostok,5.3,26,18.2,0.854,1.1,853540.9
Khabarovsk_to_Minsk,8.5,16,11.2,0.514,3.4,513972.3
Khabarovsk_to_Almaty,144.0,0,0.0,0.159,2.2,159320.1
Khabarovsk_to_Tehran,6.0,23,16.1,0.708,3.4,707883.7
Khabarovsk_to_Urumqi,144.0,0,0.0,0.215,1.9,214859.9
Khabarovsk_to_Delhi,11.1,12,8.4,0.523,2.7,522661.5
Khabarovsk_to_Yangon,72.0,1,0.7,0.248,2.5,247841.7
Khabarovsk_to_Jakarta,6.5,21,14.7,0.756,3.4,755656.4
Khabarovsk_to_Luanda,3.1,45,31.5,1.054,6.6,1053907.3
Khabarovsk_to_Nairobi,3.8,37,25.9,0.841,5.4,840655.3
Khabarovsk_to_Johannesburg,3.2,44,30.8,0.799,6.8,799025.4
Khabarovsk_to_Havana,4.5,31,21.7,0.617,5.7,616945.0
Khabarovsk_to_Caracas,4.8,29,20.3,0.569,6.5,569087.1
Khabarovsk_to_Buenos_Aires,4.5,31,21.7,0.605,9.0,604980.3
Vladivostok_to_Minsk,8.0,17,11.9,0.582,3.6,581987.4
Vladivostok_to_Almaty,144.0,0,0.0,0.192,2.2,191820.7
Vladivostok_to_Tehran,6.5,21,14.7,0.715,3.4,715293.4
Vladivostok_to_Urumqi,144.0,0,0.0,0.244,1.9,244076.3
Vladivostok_to_Delhi,144.0,0,0.0,0.278,2.5,278341.9
Vladivostok_to_Yangon,72.0,1,0.7,0.289,2.3,289261.8
Vladivostok_to_Jakarta,4.5,31,21.7,0.99,3.0,990106.7
Vladivostok_to_Luanda,2.9,49,34.3,1.113,6.6,1112689.1
Vladivostok_to_Nairobi,3.9,36,25.2,0.927,5.3,926500.3
Vladivostok_to_Johannesburg,3.3,43,30.1,0.995,6.7,994711.4
Vladivostok_to_Havana,4.1,34,23.8,0.74,6.0,739718.6
Vladivostok_to_Caracas,4.2,33,23.1,0.716,6.9,716210.4
Vladivostok_to_Buenos_Aires,11.1,12,8.4,0.533,9.3,533056.9
Minsk_to_Almaty,144.0,0,0.0,0.233,2.0,233436.7
Minsk_to_Tehran,144.0,0,0.0,0.366,1.6,366022.5
Minsk_to_Urumqi,144.0,0,0.0,0.169,2.2,169096.9
Minsk_to_Delhi,72.0,1,0.7,0.242,2.4,242493.9
Minsk_to_Yangon,12.0,11,7.7,0.654,3.6,653961.1
Minsk_to_Jakarta,13.1,10,7.0,0.541,4.9,540973.7
Minsk_to_Luanda,8.0,17,11.9,0.681,3.6,680994.5
Minsk_to_Nairobi,3.3,43,30.1,0.895,3.1,894774.0
Minsk_to_Johannesburg,13.1,10,7.0,0.511,4.5,511313.4
Minsk_to_Havana,4.1,34,23.8,1.034,4.8,1034374.2
Minsk_to_Caracas,3.6,39,27.3,1.346,4.9,1345968.5
Minsk_to_Buenos_Aires,4.8,29,20.3,0.835,6.7,835471.5
Almaty_to_Tehran,144.0,0,0.0,0.464,1.5,463837.6
Almaty_to_Urumqi,6.9,20,14.0,0.775,1.1,774641.5
Almaty_to_Delhi,14.4,9,6.3,0.537,1.2,536959.7
Almaty_to_Yangon,144.0,0,0.0,0.358,1.9,358358.2
Almaty_to_Jakarta,4.1,34,23.8,0.942,3.2,942399.4
Almaty_to_Luanda,2.9,48,33.6,1.1,4.6,1099759.3
Almaty_to_Nairobi,3.2,44,30.8,1.071,3.3,1071317.4
Almaty_to_Johannesburg,3.3,43,30.1,0.962,4.7,961625.9
Almaty_to_Havana,4.0,35,24.5,0.606,6.2,605605.1
Almaty_to_Caracas,4.8,29,20.3,0.629,6.6,628924.0
Almaty_to_Buenos_Aires,3.9,36,25.2,1.139,8.5,1138772.8
Tehran_to_Urumqi,144.0,0,0.0,0.328,1.8,327658.1
Tehran_to_Delhi,36.0,3,2.1,0.471,1.5,471479.9
Tehran_to_Yangon,16.0,8,5.6,0.397,2.4,397350.9
Tehran_to_Jakarta,5.5,25,17.5,0.774,3.9,773869.7
Tehran_to_Luanda,3.0,47,32.9,1.24,3.3,1239997.9
Tehran_to_Nairobi,144.0,0,0.0,0.512,2.3,511640.8
Tehran_to_Johannesburg,5.8,24,16.8,0.774,3.7,773956.6
Tehran_to_Havana,4.4,32,22.4,0.678,6.2,677804.0
Tehran_to_Caracas,4.4,32,22.4,1.316,6.3,1315548.0
Tehran_to_Buenos_Aires,2.2,63,44.1,2.175,7.3,2175252.0
Urumqi_to_Delhi,16.0,8,5.6,0.5,1.3,499710.1
Urumqi_to_Yangon,144.0,0,0.0,0.392,1.7,391584.5
Urumqi_to_Jakarta,5.5,25,17.5,0.86,3.0,860468.6
Urumqi_to_Luanda,3.4,41,28.7,1.055,5.0,1055373.1
Urumqi_to_Nairobi,4.6,30,21.0,0.808,3.7,808369.5
Urumqi_to_Johannesburg,2.6,55,38.5,0.996,5.2,996405.3
Urumqi_to_Havana,9.0,15,10.5,0.481,6.3,481358.5
Urumqi_to_Caracas,4.8,29,20.3,0.689,6.7,688547.9
Urumqi_to_Buenos_Aires,4.1,34,23.8,0.766,8.8,765753.8
Delhi_to_Yangon,14.4,9,6.3,0.705,1.5,705416.6
Delhi_to_Jakarta,9.6,14,9.8,0.587,2.5,586883.5
Delhi_to_Luanda,3.7,38,26.6,1.374,4.2,1373842.4
Delhi_to_Nairobi,4.0,35,24.5,0.952,2.7,952056.7
Delhi_to_Johannesburg,2.8,50,35.0,1.08,4.2,1079766.1
Delhi_to_Havana,7.6,18,12.6,0.531,6.9,530550.5
Delhi_to_Caracas,4.0,35,24.5,0.784,7.3,783540.3
Delhi_to_Buenos_Aires,2.7,53,37.1,1.585,8.1,1585141.7
Yangon_to_Jakarta,72.0,1,0.7,0.404,1.6,404315.4
Yangon_to_Luanda,7.6,18,12.6,1.029,5.1,1029318.6
Yangon_to_Nairobi,10.3,13,9.1,1.158,3.6,1158356.5
Yangon_to_Johannesburg,2.5,56,39.2,2.586,4.8,2585591.9
Yangon_to_Havana,11.1,12,8.4,0.522,7.8,521665.5
Yangon_to_Caracas,5.1,27,18.9,0.586,8.2,586170.5
Yangon_to_Buenos_Aires,3.3,42,29.4,1.223,8.7,1222607.8
Jakarta_to_Luanda,11.1,12,8.4,0.527,5.3,527096.1
Jakarta_to_Nairobi,8.0,17,11.9,0.608,4.0,608348.3
Jakarta_to_Johannesburg,3.7,38,26.6,1.761,4.5,1761193.1
Jakarta_to_Havana,3.7,38,26.6,0.969,8.9,969072.0
Jakarta_to_Caracas,5.3,26,18.2,0.672,9.6,672420.8
Jakarta_to_Buenos_Aires,4.2,33,23.1,0.744,7.6,743638.0
Luanda_to_Nairobi,72.0,1,0.7,0.488,1.6,488164.8
Luanda_to_Johannesburg,18.0,7,4.9,0.696,1.5,695943.7
Luanda_to_Havana,2.5,56,39.2,1.471,6.0,1470557.3
Luanda_to_Caracas,4.0,35,24.5,1.41,4.8,1409591.2
Luanda_to_Buenos_Aires,4.0,35,24.5,1.842,4.1,1842180.3
Nairobi_to_Johannesburg,28.8,4,2.8,0.564,1.7,564289.7
Nairobi_to_Havana,3.3,42,29.4,1.794,7.0,1794200.3
Nairobi_to_Caracas,2.1,68,47.6,1.306,6.0,1305948.0
Nairobi_to_Buenos_Aires,3.7,38,26.6,1.042,5.5,1042479.8
Johannesburg_to_Havana,2.4,60,42.0,1.137,7.3,1137194.5
Johannesburg_to_Caracas,2.5,56,39.2,1.318,6.1,1318267.0
Johannesburg_to_Buenos_Aires,3.8,37,25.9,0.966,4.1,966174.1
Havana_to_Caracas,9.6,14,9.8,0.749,1.4,748856.0
Havana_to_Buenos_Aires,7.2,19,13.3,0.695,3.5,695484.3
Caracas_to_Buenos_Aires,12.0,11,7.7,0.547,2.5,546896.8
