label,n_satellites,altitude_km,n_orbits,n_sats_per_orbit,inclination_deg,coverage_4sats_mean_pct,coverage_4sats_min_pct,pdop_p95_mean,pdop_p95_worst,coverage_good_pdop_mean_pct,n_sats_mean_overall
sats_060,60,1000.0,6,10,75.0,46.03,39.48,93.762,1286.989,10.37,3.36
sats_090,90,1000.0,9,10,75.0,82.2,79.74,34.593,566.319,61.83,5.04
sats_120,120,1000.0,10,12,75.0,95.85,94.51,18.862,131.211,81.85,6.73
sats_150,150,1000.0,10,15,75.0,98.78,97.78,7.207,9.66,88.93,8.41
sats_180,180,1000.0,12,15,75.0,100.0,100.0,5.146,6.059,96.73,10.09
sats_240,240,1000.0,12,20,75.0,100.0,100.0,4.215,5.996,98.57,13.45
