n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,100.0,97.08,4,27,13.6,0.922,24920.547,26.834,5.676,31.418,5.963,0.0,0.0
2701,100.0,97.93,4,27,13.63,0.923,47.423,2.355,5.121,2.553,5.378,600.0,0.1667
2701,100.0,97.33,4,30,14.07,0.947,100.122,2.255,4.613,2.45,5.053,1200.0,0.3333
2701,100.0,96.85,4,30,14.05,0.946,232.494,2.383,4.647,2.598,5.109,1800.0,0.5
2701,100.0,97.56,4,30,14.08,0.922,54.871,2.252,4.94,2.445,5.422,2400.0,0.6667
2701,100.0,96.89,4,27,13.67,0.95,49.559,2.493,5.667,2.704,5.945,3000.0,0.8333
2701,100.0,97.0,4,28,13.69,0.948,39.531,2.452,5.532,2.659,5.803,3600.0,1.0
2701,100.0,97.56,4,30,14.08,0.937,59.503,2.232,4.761,2.423,5.214,4200.0,1.1667
2701,100.0,97.04,4,30,14.01,0.941,554.6,2.632,4.865,2.889,5.379,4800.0,1.3333
2701,100.0,97.56,4,30,14.06,0.927,70.786,2.236,4.739,2.429,5.171,5400.0,1.5
2701,100.0,97.59,4,28,13.63,0.929,46.377,2.389,5.285,2.59,5.551,6000.0,1.6667
2701,100.0,97.11,4,27,13.62,0.92,108.652,2.481,5.654,2.694,5.94,6600.0,1.8333
2701,100.0,97.74,4,30,13.87,0.926,49.597,2.297,4.937,2.492,5.257,7200.0,2.0
2701,100.0,96.85,4,30,14.05,0.953,102.781,2.272,4.533,2.47,5.024,7800.0,2.1667
2701,100.0,96.78,4,30,14.04,0.946,147.099,2.323,4.497,2.527,5.036,8400.0,2.3333
2701,100.0,97.41,4,30,13.88,0.923,51.308,2.306,4.916,2.503,5.379,9000.0,2.5
2701,100.0,96.82,4,27,13.66,0.95,89.705,2.496,5.758,2.71,6.041,9600.0,2.6667
2701,100.0,97.22,4,28,13.69,0.949,40.203,2.399,5.363,2.599,5.625,10200.0,2.8333
2701,100.0,97.7,4,30,14.07,0.917,78.595,2.288,4.913,2.488,5.4,10800.0,3.0
2701,100.0,97.0,4,30,14.02,0.947,1171.703,3.149,4.865,3.499,5.387,11400.0,3.1667
2701,100.0,97.7,4,30,14.08,0.92,54.816,2.213,4.49,2.403,4.994,12000.0,3.3333
2701,100.0,97.37,4,28,13.63,0.921,36.454,2.406,5.43,2.61,5.703,12600.0,3.5
2701,100.0,97.37,4,28,13.63,0.919,54.786,2.443,5.591,2.65,5.874,13200.0,3.6667
2701,100.0,97.96,4,30,14.08,0.91,57.169,2.257,4.756,2.454,5.213,13800.0,3.8333
2701,100.0,97.11,4,30,14.06,0.948,139.006,2.297,4.551,2.499,5.006,14400.0,4.0
2701,100.0,97.11,4,30,14.05,0.919,109.649,2.332,4.691,2.539,5.103,15000.0,4.1667
2701,100.0,97.45,4,27,13.69,0.949,48.862,2.393,5.072,2.595,5.328,15600.0,4.3333
2701,100.0,97.0,5,26,13.66,0.956,14.599,2.447,5.799,2.651,6.084,16200.0,4.5
2701,100.0,97.56,4,27,13.68,0.948,46.438,2.394,5.171,2.595,5.423,16800.0,4.6667
2701,100.0,97.3,4,30,14.06,0.919,93.266,2.297,4.575,2.499,4.982,17400.0,4.8333
2701,100.0,96.96,4,30,14.04,0.952,184.046,2.356,4.673,2.566,5.21,18000.0,5.0
2701,100.0,97.96,4,30,14.08,0.909,50.034,2.234,4.623,2.427,5.093,18600.0,5.1667
2701,100.0,97.48,4,28,13.65,0.918,45.027,2.421,5.546,2.624,5.826,19200.0,5.3333
2701,100.0,97.33,4,28,13.63,0.922,38.989,2.432,5.49,2.639,5.767,19800.0,5.5
2701,100.0,97.67,4,30,14.08,0.944,66.354,2.216,4.542,2.406,5.006,20400.0,5.6667
2701,100.0,96.96,4,30,14.04,0.948,379.092,2.49,4.846,2.723,5.364,21000.0,5.8333
2701,100.0,97.37,4,30,14.05,0.921,89.139,2.297,4.951,2.498,5.41,21600.0,6.0
2701,100.0,97.37,4,27,13.68,0.948,41.853,2.393,5.272,2.593,5.529,22200.0,6.1667
2701,100.0,96.93,4,26,13.66,0.95,140.078,2.538,5.785,2.758,6.069,22800.0,6.3333
2701,100.0,97.3,4,30,13.87,0.919,48.383,2.318,4.959,2.516,5.334,23400.0,6.5
2701,100.0,96.85,4,30,14.05,0.942,117.9,2.297,4.612,2.497,5.071,24000.0,6.6667
2701,100.0,97.0,4,30,14.05,0.95,124.81,2.288,4.393,2.489,4.862,24600.0,6.8333
2701,100.0,97.89,4,30,13.87,0.925,59.737,2.277,4.849,2.471,5.15,25200.0,7.0
2701,100.0,97.11,4,27,13.62,0.92,75.722,2.479,5.629,2.693,5.913,25800.0,7.1667
2701,100.0,97.48,4,28,13.63,0.93,44.443,2.391,5.359,2.592,5.628,26400.0,7.3333
2701,100.0,97.93,4,30,14.07,0.927,63.894,2.223,4.577,2.414,5.093,27000.0,7.5
2701,100.0,97.04,4,30,14.01,0.942,62783.509,30.097,4.847,35.238,5.37,27600.0,7.6667
2701,100.0,97.63,4,30,14.08,0.934,65.098,2.262,4.8,2.458,5.263,28200.0,7.8333
2701,100.0,96.93,4,28,13.68,0.949,40.951,2.458,5.453,2.667,5.72,28800.0,8.0
2701,100.0,96.85,4,27,13.68,0.946,61.688,2.502,5.718,2.715,5.998,29400.0,8.1667
2701,100.0,97.33,4,30,13.88,0.945,58.775,2.328,5.004,2.527,5.469,30000.0,8.3333
2701,100.0,96.74,4,30,14.06,0.947,165.408,2.332,4.593,2.538,5.09,30600.0,8.5
2701,100.0,97.15,4,30,14.06,0.949,119.494,2.272,4.581,2.47,5.035,31200.0,8.6667
2701,100.0,97.78,4,27,13.64,0.943,50.011,2.349,5.036,2.547,5.288,31800.0,8.8333
2701,100.0,97.04,4,27,13.61,0.924,244.945,2.658,5.671,2.903,5.958,32400.0,9.0
2701,100.0,97.93,4,27,13.63,0.922,40.619,2.342,5.203,2.537,5.464,33000.0,9.1667
2701,100.0,97.59,4,30,14.07,0.949,73.566,2.226,4.654,2.418,5.016,33600.0,9.3333
2701,100.0,96.63,4,30,14.03,0.96,376.666,2.642,4.764,2.901,5.3,34200.0,9.5
2701,100.0,97.48,4,30,14.07,0.921,58.706,2.283,4.913,2.482,5.418,34800.0,9.6667
2701,100.0,97.0,4,28,13.68,0.95,36.436,2.425,5.606,2.627,5.881,35400.0,9.8333
2701,100.0,96.74,4,28,13.67,0.952,42.328,2.474,5.603,2.685,5.877,36000.0,10.0
2701,100.0,97.41,4,30,14.08,0.938,63.807,2.258,4.924,2.454,5.311,36600.0,10.1667
2701,100.0,97.08,4,30,14.04,0.942,657.187,2.482,4.606,2.713,5.023,37200.0,10.3333
2701,100.0,97.3,4,30,14.06,0.948,67.703,2.223,4.705,2.413,5.086,37800.0,10.5
2701,100.0,97.56,4,27,13.63,0.921,48.196,2.401,5.207,2.604,5.469,38400.0,10.6667
2701,100.0,97.22,5,27,13.61,0.936,14.457,2.405,5.67,2.605,5.957,39000.0,10.8333
2701,100.0,97.85,4,27,13.64,0.925,42.219,2.339,5.032,2.536,5.283,39600.0,11.0
2701,100.0,96.96,4,30,14.06,0.954,108.083,2.317,4.563,2.523,4.975,40200.0,11.1667
2701,100.0,96.52,4,30,14.04,0.946,192.037,2.45,4.618,2.676,5.17,40800.0,11.3333
2701,100.0,97.78,4,30,13.89,0.918,61.454,2.291,4.805,2.486,5.263,41400.0,11.5
2701,100.0,96.7,4,27,13.67,0.951,65.529,2.507,5.72,2.722,6.001,42000.0,11.6667
2701,100.0,96.89,4,28,13.68,0.952,43.729,2.449,5.449,2.656,5.716,42600.0,11.8333
2701,100.0,97.78,4,30,14.07,0.922,71.151,2.235,4.863,2.427,5.258,43200.0,12.0
2701,100.0,96.93,4,30,14.02,0.927,1216.347,3.723,4.871,4.176,5.392,43800.0,12.1667
2701,100.0,98.15,4,30,14.08,0.942,68.071,2.223,4.488,2.414,5.0,44400.0,12.3333
2701,100.0,97.67,4,28,13.64,0.923,41.586,2.378,5.362,2.578,5.632,45000.0,12.5
2701,100.0,97.41,4,27,13.61,0.918,79.712,2.447,5.627,2.656,5.911,45600.0,12.6667
2701,100.0,97.7,4,30,13.85,0.908,51.095,2.334,4.844,2.535,5.224,46200.0,12.8333
2701,100.0,96.82,4,30,14.06,0.948,145.947,2.353,4.575,2.564,5.1,46800.0,13.0
2701,100.0,97.04,4,30,14.06,0.942,103.384,2.271,4.566,2.468,4.972,47400.0,13.1667
2701,100.0,97.19,4,27,13.69,0.937,51.248,2.382,4.97,2.583,5.391,48000.0,13.3333
2701,100.0,96.85,4,27,13.65,0.954,162.541,2.611,5.786,2.845,6.07,48600.0,13.5
2701,100.0,97.3,4,27,13.69,0.95,44.659,2.384,5.267,2.584,5.524,49200.0,13.6667
2701,100.0,97.41,4,30,14.06,0.916,82.232,2.291,4.747,2.492,5.139,49800.0,13.8333
2701,100.0,97.0,4,30,14.03,0.952,547.58,2.591,4.843,2.842,5.368,50400.0,14.0
2701,100.0,97.74,4,30,14.09,0.91,60.9,2.226,4.69,2.418,5.134,51000.0,14.1667
2701,100.0,97.56,4,28,13.63,0.919,41.049,2.434,5.493,2.64,5.77,51600.0,14.3333
2701,100.0,97.45,4,28,13.62,0.921,38.073,2.413,5.544,2.614,5.824,52200.0,14.5
2701,100.0,97.93,4,30,14.08,0.921,53.538,2.2,4.659,2.388,5.156,52800.0,14.6667
2701,100.0,96.85,4,30,14.04,0.948,427.332,2.545,4.712,2.788,5.252,53400.0,14.8333
2701,100.0,97.3,4,30,14.04,0.92,83.634,2.292,4.768,2.493,5.128,54000.0,15.0
2701,100.0,97.26,4,27,13.67,0.948,49.203,2.401,5.176,2.603,5.428,54600.0,15.1667
2701,100.0,96.89,4,26,13.66,0.958,333.07,2.685,5.799,2.931,6.084,55200.0,15.3333
2701,100.0,97.41,4,27,13.68,0.923,46.205,2.397,5.067,2.6,5.33,55800.0,15.5
2701,100.0,97.19,4,30,14.07,0.919,82.808,2.26,4.63,2.455,5.049,56400.0,15.6667
2701,100.0,97.04,4,30,14.04,0.953,227.143,2.465,4.489,2.695,4.998,57000.0,15.8333
2701,100.0,97.96,4,30,14.1,0.906,56.082,2.253,4.89,2.448,5.324,57600.0,16.0
2701,100.0,97.37,4,27,13.61,0.92,36.651,2.413,5.593,2.614,5.876,58200.0,16.1667
2701,100.0,97.45,4,28,13.63,0.928,38.455,2.376,5.426,2.574,5.7,58800.0,16.3333
2701,100.0,97.74,4,30,14.08,0.926,68.013,2.248,4.684,2.443,5.136,59400.0,16.5
2701,100.0,97.11,4,30,14.01,0.927,9871.321,7.655,4.865,8.812,5.338,60000.0,16.6667
2701,100.0,97.96,4,30,14.06,0.937,61.77,2.238,4.808,2.43,5.229,60600.0,16.8333
2701,100.0,97.19,4,28,13.69,0.949,42.262,2.415,5.367,2.618,5.63,61200.0,17.0
2701,100.0,96.74,4,27,13.66,0.95,95.388,2.517,5.757,2.733,6.04,61800.0,17.1667
2701,100.0,97.04,4,30,13.88,0.922,55.398,2.317,4.968,2.515,5.452,62400.0,17.3333
2701,100.0,96.78,4,30,14.06,0.961,130.693,2.333,4.475,2.54,4.998,63000.0,17.5
2701,100.0,96.93,4,30,14.05,0.949,146.196,2.335,4.526,2.543,4.979,63600.0,17.6667
2701,100.0,97.78,4,30,13.84,0.944,46.326,2.269,4.942,2.461,5.27,64200.0,17.8333
2701,100.0,97.26,4,27,13.61,0.94,36.773,2.418,5.656,2.62,5.942,64800.0,18.0
2701,100.0,97.67,4,28,13.65,0.922,43.855,2.387,5.281,2.587,5.547,65400.0,18.1667
2701,100.0,97.59,4,30,14.06,0.946,77.733,2.27,4.668,2.469,5.164,66000.0,18.3333
2701,100.0,96.96,4,30,14.02,0.947,340.672,2.498,4.853,2.731,5.415,66600.0,18.5
2701,100.0,97.45,4,30,14.08,0.944,63.312,2.258,4.788,2.454,5.299,67200.0,18.6667
2701,100.0,97.08,4,28,13.69,0.945,41.615,2.428,5.536,2.632,5.807,67800.0,18.8333
2701,100.0,96.96,4,28,13.67,0.945,51.135,2.477,5.664,2.688,5.942,68400.0,19.0
2701,100.0,97.48,4,30,14.09,0.94,59.383,2.259,4.854,2.454,5.299,69000.0,19.1667
2701,100.0,97.04,4,30,14.04,0.943,195.123,2.357,4.547,2.568,5.043,69600.0,19.3333
2701,100.0,97.26,4,30,14.05,0.948,89.182,2.281,4.578,2.481,5.06,70200.0,19.5
2701,100.0,97.7,4,27,13.62,0.929,44.31,2.391,5.125,2.593,5.382,70800.0,19.6667
2701,100.0,97.15,4,27,13.61,0.921,1181.737,3.237,5.676,3.586,5.963,71400.0,19.8333
2701,100.0,97.96,4,27,13.61,0.924,45.227,2.373,5.117,2.573,5.373,72000.0,20.0
2701,100.0,97.11,4,30,14.05,0.95,92.879,2.264,4.733,2.461,5.099,72600.0,20.1667
2701,100.0,96.82,4,30,14.04,0.927,278.387,2.519,4.623,2.758,5.126,73200.0,20.3333
2701,100.0,97.78,4,30,14.09,0.918,57.81,2.235,4.786,2.427,5.273,73800.0,20.5
2701,100.0,96.67,4,28,13.67,0.95,51.671,2.497,5.67,2.71,5.948,74400.0,20.6667
2701,100.0,96.93,4,28,13.68,0.948,42.432,2.457,5.528,2.665,5.799,75000.0,20.8333
2701,100.0,97.67,4,30,14.08,0.937,56.639,2.213,4.75,2.402,5.188,75600.0,21.0
2701,100.0,97.15,4,30,14.02,0.941,1795.958,3.567,4.858,3.991,5.381,76200.0,21.1667
2701,100.0,97.56,4,30,14.07,0.926,75.105,2.281,4.862,2.481,5.24,76800.0,21.3333
2701,100.0,97.85,4,28,13.64,0.924,38.605,2.348,5.289,2.543,5.555,77400.0,21.5
2701,100.0,97.3,4,27,13.61,0.92,37.377,2.421,5.653,2.623,5.939,78000.0,21.6667
2701,100.0,97.56,4,30,13.86,0.927,53.888,2.33,4.933,2.53,5.303,78600.0,21.8333
2701,100.0,96.85,4,30,14.06,0.952,95.878,2.244,4.493,2.437,4.984,79200.0,22.0
2701,100.0,96.96,4,30,14.05,0.942,164.91,2.277,4.467,2.474,4.953,79800.0,22.1667
2701,100.0,97.15,4,30,13.89,0.923,54.02,2.334,4.943,2.535,5.444,80400.0,22.3333
2701,100.0,96.82,4,27,13.66,0.95,97.227,2.552,5.76,2.774,6.043,81000.0,22.5
2701,100.0,97.3,4,28,13.69,0.95,38.643,2.374,5.359,2.571,5.621,81600.0,22.6667
2701,100.0,97.63,4,30,14.07,0.917,73.76,2.286,4.92,2.486,5.338,82200.0,22.8333
2701,100.0,96.89,4,30,14.01,0.947,6208.667,5.827,4.868,6.652,5.426,82800.0,23.0
2701,100.0,97.74,4,30,14.08,0.92,57.334,2.227,4.721,2.419,5.185,83400.0,23.1667
2701,100.0,97.48,4,28,13.64,0.92,37.818,2.366,5.433,2.563,5.707,84000.0,23.3333
2701,100.0,97.3,4,28,13.63,0.919,57.103,2.458,5.589,2.669,5.871,84600.0,23.5
2701,100.0,98.07,4,30,14.09,0.911,57.453,2.217,4.689,2.408,5.099,85200.0,23.6667
2701,100.0,96.96,4,30,14.04,0.948,252.306,2.371,4.497,2.584,5.015,85800.0,23.8333
