station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,7
Zheleznogorsk,0.0,23.8333,1431.0,7
Khabarovsk,0.0,23.8333,1431.0,7
Murmansk,0.0,23.8333,1431.0,3
Novosibirsk,0.0,23.8333,1431.0,8
Vladivostok,0.0,23.8333,1431.0,9
Yakutsk,0.0,23.8333,1431.0,6
Minsk,0.0,23.8333,1431.0,8
Almaty,0.0,23.8333,1431.0,9
Urumqi,0.0,23.8333,1431.0,9
Delhi,0.0,23.8333,1431.0,6
Yangon,0.0,23.8333,1431.0,5
Jakarta,0.0,23.8333,1431.0,6
Tehran,0.0,23.8333,1431.0,8
Johannesburg,0.0,23.8333,1431.0,6
Nairobi,0.0,23.8333,1431.0,5
Luanda,0.0,23.8333,1431.0,5
Havana,0.0,23.8333,1431.0,6
Caracas,0.0,23.8333,1431.0,5
Buenos_Aires,0.0,23.8333,1431.0,8
