time_s,time_h,Vladimir,Murmansk,Novosibirsk,Zheleznogorsk,Yakutsk,Khabarovsk,Vladivostok,Minsk,Almaty,Tehran
0.0,0.0,10,11,10,11,9,8,6,9,6,6
600.0,0.1667,9,11,9,8,13,7,6,10,7,7
1200.0,0.3333,9,13,9,10,12,6,5,8,5,5
1800.0,0.5,12,12,9,12,8,7,8,8,8,6
2400.0,0.6667,9,11,8,10,12,6,5,9,5,5
3000.0,0.8333,12,12,9,11,11,7,8,9,6,3
3600.0,1.0,10,11,10,8,12,8,6,10,6,5
4200.0,1.1667,9,12,9,10,13,5,5,9,6,4
4800.0,1.3333,11,11,9,11,8,10,6,9,6,5
5400.0,1.5,9,11,9,9,13,5,6,9,6,7
6000.0,1.6667,10,12,10,11,10,7,6,10,6,5
6600.0,1.8333,9,13,9,9,10,8,7,10,8,8
7200.0,2.0,10,13,12,8,13,6,5,8,4,5
7800.0,2.1667,10,12,9,11,8,8,7,9,7,6
8400.0,2.3333,8,12,9,8,13,8,6,10,6,6
9000.0,2.5,10,11,10,10,11,7,6,8,6,4
9600.0,2.6667,12,12,9,11,11,8,7,9,7,5
10200.0,2.8333,9,13,10,9,13,6,5,8,5,4
10800.0,3.0,12,12,9,10,8,8,8,10,6,5
11400.0,3.1667,9,12,10,9,12,8,6,9,7,5
12000.0,3.3333,9,11,9,12,13,5,6,9,6,5
12600.0,3.5,11,11,8,10,9,9,6,8,6,6
13200.0,3.6667,9,10,10,8,14,7,6,9,5,6
13800.0,3.8333,10,12,10,11,9,8,6,9,6,5
14400.0,4.0,10,12,9,9,12,7,8,10,8,8
15000.0,4.1667,9,13,10,10,12,6,5,9,4,5
15600.0,4.3333,10,12,9,11,8,7,8,8,8,7
16200.0,4.5,8,11,9,9,13,8,5,9,6,5
16800.0,4.6667,11,11,9,11,11,7,7,9,6,4
17400.0,4.8333,10,12,11,9,11,8,6,10,6,6
18000.0,5.0,9,12,9,9,13,6,4,8,6,3
18600.0,5.1667,10,12,9,12,8,9,7,9,6,5
19200.0,5.3333,9,11,9,9,13,6,6,9,6,7
19800.0,5.5,9,12,10,12,12,6,6,10,5,5
20400.0,5.6667,11,13,9,10,8,9,6,9,8,7
21000.0,5.8333,10,12,11,9,13,6,6,9,4,5
21600.0,6.0,10,12,10,11,9,8,6,9,7,6
22200.0,6.1667,9,11,9,9,13,7,6,11,7,7
22800.0,6.3333,9,13,9,10,12,6,5,8,4,5
23400.0,6.5,12,12,9,12,8,7,8,8,8,5
24000.0,6.6667,9,11,8,10,12,6,5,9,5,5
24600.0,6.8333,12,12,8,11,11,7,8,10,6,3
25200.0,7.0,10,11,10,9,11,8,6,10,6,5
25800.0,7.1667,9,12,9,10,13,5,6,9,6,4
26400.0,7.3333,11,11,9,11,7,9,6,9,6,5
27000.0,7.5,9,11,9,9,14,6,6,9,6,7
27600.0,7.6667,10,12,10,11,10,7,6,10,5,5
28200.0,7.8333,10,13,9,9,10,7,8,10,8,8
28800.0,8.0,10,13,12,9,13,6,5,8,4,5
29400.0,8.1667,10,12,10,10,8,8,7,9,7,6
30000.0,8.3333,8,12,9,8,13,8,6,10,6,6
30600.0,8.5,10,11,10,10,12,7,7,9,5,4
31200.0,8.6667,12,12,9,11,11,8,7,9,6,5
31800.0,8.8333,9,12,10,9,13,6,5,8,5,4
32400.0,9.0,12,12,9,10,8,8,8,10,6,5
33000.0,9.1667,10,12,10,8,12,8,6,9,7,5
33600.0,9.3333,9,11,10,12,13,5,6,9,6,5
34200.0,9.5,11,11,8,10,8,9,6,8,6,6
34800.0,9.6667,9,11,9,8,14,7,6,9,5,6
35400.0,9.8333,10,12,10,11,9,8,6,9,6,5
36000.0,10.0,11,12,9,9,12,7,8,10,8,8
36600.0,10.1667,9,13,11,10,12,6,5,9,4,5
37200.0,10.3333,10,12,9,11,8,8,8,8,8,7
37800.0,10.5,8,10,9,9,13,8,5,9,6,5
38400.0,10.6667,11,11,9,11,11,7,7,9,5,4
39000.0,10.8333,10,12,11,9,11,8,6,10,6,6
39600.0,11.0,9,12,9,9,13,6,4,8,6,3
40200.0,11.1667,10,12,9,12,8,9,7,9,6,5
40800.0,11.3333,9,11,9,9,13,6,6,9,7,7
41400.0,11.5,9,12,10,12,13,6,6,10,5,5
42000.0,11.6667,10,13,9,10,8,8,7,8,8,7
42600.0,11.8333,10,12,11,9,13,6,5,9,4,5
43200.0,12.0,11,12,9,12,10,8,6,9,7,6
43800.0,12.1667,9,11,9,9,13,7,7,11,7,6
44400.0,12.3333,9,13,9,10,12,6,5,8,4,5
45000.0,12.5,12,12,9,12,8,7,8,7,8,5
45600.0,12.6667,9,12,9,10,12,6,5,9,5,5
46200.0,12.8333,12,12,8,11,11,6,8,10,6,4
46800.0,13.0,10,11,10,9,11,8,6,10,6,5
47400.0,13.1667,9,12,9,10,13,5,6,10,6,4
48000.0,13.3333,11,11,9,11,6,9,7,9,6,6
48600.0,13.5,9,11,9,9,14,6,5,9,5,7
49200.0,13.6667,10,12,10,11,11,7,6,10,5,5
49800.0,13.8333,11,12,9,9,10,7,8,10,8,8
50400.0,14.0,10,13,12,9,13,5,5,8,4,5
51000.0,14.1667,10,12,10,10,8,7,7,9,7,6
51600.0,14.3333,8,12,9,8,13,8,6,11,6,5
52200.0,14.5,10,11,10,10,12,7,6,9,5,4
52800.0,14.6667,12,12,9,11,11,8,7,9,6,5
53400.0,14.8333,9,12,10,9,13,6,5,8,6,3
54000.0,15.0,12,12,10,10,9,7,8,10,6,5
54600.0,15.1667,10,12,10,9,11,7,6,9,6,5
55200.0,15.3333,9,11,10,12,13,6,6,9,6,5
55800.0,15.5,11,11,8,10,8,8,6,8,6,7
56400.0,15.6667,9,11,9,8,14,7,6,9,6,6
57000.0,15.8333,10,12,10,11,9,8,6,9,6,5
57600.0,16.0,12,12,9,9,12,7,8,10,8,8
58200.0,16.1667,9,13,11,10,12,6,5,8,4,5
58800.0,16.3333,10,12,9,11,8,8,8,8,8,7
59400.0,16.5,8,10,9,9,13,8,5,9,6,5
60000.0,16.6667,11,11,9,11,11,7,7,9,5,3
60600.0,16.8333,10,12,10,10,11,8,6,10,6,6
61200.0,17.0,9,12,9,9,13,6,4,8,6,4
61800.0,17.1667,10,12,9,11,8,8,7,9,6,5
62400.0,17.3333,9,10,9,9,13,7,6,9,7,7
63000.0,17.5,9,12,10,12,13,6,6,10,5,5
63600.0,17.6667,11,13,9,10,9,8,7,8,8,8
64200.0,17.8333,9,12,11,9,13,6,5,9,5,5
64800.0,18.0,11,12,9,12,10,8,6,9,7,6
65400.0,18.1667,10,11,9,9,13,7,7,11,7,6
66000.0,18.3333,9,13,10,10,12,6,5,8,4,5
66600.0,18.5,11,12,9,12,8,7,8,7,8,5
67200.0,18.6667,9,12,9,9,12,6,5,9,5,5
67800.0,18.8333,12,12,8,11,11,6,8,10,6,4
68400.0,19.0,10,11,10,9,11,8,6,9,6,5
69000.0,19.1667,9,12,9,10,13,5,6,10,6,4
69600.0,19.3333,11,11,9,11,6,8,6,9,6,6
70200.0,19.5,9,11,9,9,14,6,6,9,6,6
70800.0,19.6667,10,12,10,11,11,7,6,10,5,5
71400.0,19.8333,11,12,9,9,10,7,8,10,8,8
72000.0,20.0,10,13,12,9,13,6,5,8,4,5
72600.0,20.1667,10,12,10,11,8,7,7,9,7,6
73200.0,20.3333,8,12,9,8,13,8,6,12,6,5
73800.0,20.5,10,11,11,10,12,7,6,9,5,4
74400.0,20.6667,12,12,9,11,10,8,7,9,6,5
75000.0,20.8333,9,12,10,9,13,6,5,8,6,3
75600.0,21.0,12,12,10,10,9,7,8,10,6,4
76200.0,21.1667,10,12,10,9,11,7,6,9,6,6
76800.0,21.3333,8,11,10,12,13,6,5,9,6,5
77400.0,21.5,11,11,8,10,8,8,7,8,6,7
78000.0,21.6667,9,12,9,8,14,7,6,10,6,6
78600.0,21.8333,10,12,10,11,9,8,6,8,6,5
79200.0,22.0,12,13,9,9,11,7,8,10,8,7
79800.0,22.1667,9,13,11,10,12,6,5,7,4,5
80400.0,22.3333,10,12,9,11,9,8,8,8,8,7
81000.0,22.5,8,10,9,9,13,8,5,9,6,5
81600.0,22.6667,11,11,10,11,11,7,7,9,5,3
82200.0,22.8333,10,12,10,10,11,8,6,10,6,5
82800.0,23.0,9,11,9,9,13,6,4,8,6,4
83400.0,23.1667,10,12,9,11,8,9,6,9,6,6
84000.0,23.3333,9,10,10,10,13,7,6,9,8,7
84600.0,23.5,9,12,10,12,13,6,6,10,5,5
85200.0,23.6667,11,14,9,10,9,8,7,8,8,8
85800.0,23.8333,9,12,11,8,13,6,4,9,5,5
