from,to,latency_mean_ms,latency_min_ms,latency_max_ms,availability_pct
Vladimir,Murmansk,9.9,8.49,12.04,100.0
Vladimir,Novosibirsk,12.12,11.56,13.13,100.0
Vladimir,Zheleznogorsk,13.74,13.3,14.68,100.0
Vladimir,Yakutsk,18.34,18.19,18.66,100.0
Vladimir,Khabarovsk,23.54,22.31,25.93,100.0
Vladimir,Vladivostok,24.64,23.2,27.03,100.0
Vladimir,Minsk,8.45,7.37,10.33,100.0
Vladimir,Almaty,13.04,12.46,14.23,100.0
Vladimir,Tehran,12.18,10.96,14.74,100.0
Murmansk,Novosibirsk,12.92,12.39,13.98,100.0
Murmansk,Zheleznogorsk,13.71,13.36,14.43,100.0
Murmansk,Yakutsk,16.04,15.96,16.18,100.0
Murmansk,Khabarovsk,21.01,20.75,22.59,100.0
Murmansk,Vladivostok,22.85,22.14,24.7,100.0
Murmansk,Minsk,10.38,9.02,12.39,100.0
Murmansk,Almaty,15.52,15.11,16.6,100.0
Murmansk,Tehran,15.65,15.34,16.37,100.0
Novosibirsk,Zheleznogorsk,8.3,7.08,10.31,100.0
Novosibirsk,Yakutsk,12.63,11.93,14.04,100.0
Novosibirsk,Khabarovsk,14.8,14.44,15.41,100.0
Novosibirsk,Vladivostok,15.26,14.87,16.07,100.0
Novosibirsk,Minsk,14.53,14.16,15.1,100.0
Novosibirsk,Almaty,9.68,8.28,12.59,100.0
Novosibirsk,Tehran,14.09,13.33,15.61,100.0
Zheleznogorsk,Yakutsk,11.07,10.14,12.46,100.0
Zheleznogorsk,Khabarovsk,12.85,12.35,13.88,100.0
Zheleznogorsk,Vladivostok,13.39,12.85,14.68,100.0
Zheleznogorsk,Minsk,16.24,15.95,16.97,100.0
Zheleznogorsk,Almaty,10.47,9.41,12.4,100.0
Zheleznogorsk,Tehran,15.91,15.4,16.98,100.0
Yakutsk,Khabarovsk,9.53,8.64,11.12,100.0
Yakutsk,Vladivostok,10.76,10.05,11.83,100.0
Yakutsk,Minsk,20.86,20.57,22.94,100.0
Yakutsk,Almaty,16.03,15.69,17.0,100.0
Yakutsk,Tehran,23.23,22.26,25.74,100.0
Khabarovsk,Vladivostok,9.52,7.06,12.72,100.0
Khabarovsk,Minsk,27.3,25.01,29.26,100.0
Khabarovsk,Almaty,17.58,17.18,19.41,100.0
Khabarovsk,Tehran,27.52,24.72,29.35,100.0
Vladivostok,Minsk,28.41,27.39,29.97,100.0
Vladivostok,Almaty,17.79,16.99,20.58,100.0
Vladivostok,Tehran,27.77,24.88,29.14,100.0
Minsk,Almaty,15.32,14.94,16.17,100.0
Minsk,Tehran,12.86,11.83,14.32,100.0
Almaty,Tehran,11.61,10.67,13.64,100.0
