time_h,n_active_isls,isl_mean_dist_km
0.0000,360,3018.82
0.1667,360,3018.86
0.3333,360,3018.89
0.5000,360,3018.94
0.6667,360,3018.94
0.8333,360,3018.90
1.0000,360,3018.86
1.1667,360,3018.82
1.3333,360,3018.85
1.5000,360,3018.88
1.6667,360,3018.94
1.8333,360,3018.95
2.0000,360,3018.91
2.1667,360,3018.87
2.3333,360,3018.82
2.5000,360,3018.84
2.6667,360,3018.87
2.8333,360,3018.93
3.0000,360,3018.95
3.1667,360,3018.92
3.3333,360,3018.88
3.5000,360,3018.83
3.6667,360,3018.84
3.8333,360,3018.86
4.0000,360,3018.92
4.1667,360,3018.94
4.3333,360,3018.93
4.5000,360,3018.90
4.6667,360,3018.84
4.8333,360,3018.84
5.0000,360,3018.85
5.1667,360,3018.91
5.3333,360,3018.94
5.5000,360,3018.94
5.6667,360,3018.91
5.8333,360,3018.84
6.0000,360,3018.83
6.1667,360,3018.84
6.3333,360,3018.90
6.5000,360,3018.94
6.6667,360,3018.94
6.8333,360,3018.92
7.0000,360,3018.85
7.1667,360,3018.84
7.3333,360,3018.83
7.5000,360,3018.89
7.6667,360,3018.93
7.8333,360,3018.95
8.0000,360,3018.92
8.1667,360,3018.87
8.3333,360,3018.84
8.5000,360,3018.83
8.6667,360,3018.88
8.8333,360,3018.92
9.0000,360,3018.95
9.1667,360,3018.93
9.3333,360,3018.88
9.5000,360,3018.85
9.6667,360,3018.82
9.8333,360,3018.87
10.0000,360,3018.91
10.1667,360,3018.95
10.3333,360,3018.94
10.5000,360,3018.89
10.6667,360,3018.85
10.8333,360,3018.82
11.0000,360,3018.86
11.1667,360,3018.90
11.3333,360,3018.94
11.5000,360,3018.94
11.6667,360,3018.90
11.8333,360,3018.86
12.0000,360,3018.82
12.1667,360,3018.85
12.3333,360,3018.89
12.5000,360,3018.94
12.6667,360,3018.95
12.8333,360,3018.91
13.0000,360,3018.87
13.1667,360,3018.82
13.3333,360,3018.84
13.5000,360,3018.87
13.6667,360,3018.93
13.8333,360,3018.95
14.0000,360,3018.92
14.1667,360,3018.88
14.3333,360,3018.83
14.5000,360,3018.84
14.6667,360,3018.86
14.8333,360,3018.92
15.0000,360,3018.95
15.1667,360,3018.93
15.3333,360,3018.89
15.5000,360,3018.83
15.6667,360,3018.84
15.8333,360,3018.85
16.0000,360,3018.91
16.1667,360,3018.94
16.3333,360,3018.94
16.5000,360,3018.90
16.6667,360,3018.84
16.8333,360,3018.83
17.0000,360,3018.84
17.1667,360,3018.90
17.3333,360,3018.94
17.5000,360,3018.94
17.6667,360,3018.91
17.8333,360,3018.85
18.0000,360,3018.84
18.1667,360,3018.83
18.3333,360,3018.89
18.5000,360,3018.93
18.6667,360,3018.95
18.8333,360,3018.92
19.0000,360,3018.86
19.1667,360,3018.84
19.3333,360,3018.83
19.5000,360,3018.88
19.6667,360,3018.92
19.8333,360,3018.95
20.0000,360,3018.93
20.1667,360,3018.87
20.3333,360,3018.84
20.5000,360,3018.82
20.6667,360,3018.87
20.8333,360,3018.91
21.0000,360,3018.95
21.1667,360,3018.94
21.3333,360,3018.88
21.5000,360,3018.85
21.6667,360,3018.82
21.8333,360,3018.86
22.0000,360,3018.90
22.1667,360,3018.94
22.3333,360,3018.94
22.5000,360,3018.89
22.6667,360,3018.86
22.8333,360,3018.82
23.0000,360,3018.85
23.1667,360,3018.89
23.3333,360,3018.94
23.5000,360,3018.94
23.6667,360,3018.91
23.8333,360,3018.87
