lat,lon,sdcm_factor,sdcm_zone,uere_autonomous_m,uere_combined_m,uere_sdcm_m,cep_autonomous_m,cep_combined_m,cep_sdcm_m
40.0,164.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,166.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,168.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,170.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,172.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,174.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,176.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,178.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
40.0,180.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,20.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,22.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,24.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,26.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,28.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,30.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,32.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,34.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,36.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,38.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,40.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,42.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,44.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,46.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,48.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,50.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,52.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,54.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,56.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,58.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,60.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,62.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,64.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,66.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,68.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,70.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,72.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,74.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,76.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,78.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,80.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,82.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,84.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,86.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,88.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,90.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,92.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,94.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,96.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,98.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,100.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,102.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,104.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,106.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,108.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
42.0,110.0,1.0,sdcm_core,3.097,1.689,0.942,9.41,1.66,0.93
