service,EIRP_dBW,Rx_dBm,PFD_dBWm2,advantage_dB,CN0_dBHz,jam_margin_x,ITU_RNSS_ok
"А (открытый, RNSS)",9.0,-119.4,-122.0,10.6,52.6,11,True
"Б (защищённый, своя полоса)",21.3,-107.1,-109.7,22.9,64.9,194,False
