signal,terminal,elevation_deg,slant_range_km,eirp_dbw,fspl_db,atmo_db,rx_power_dbm,cn0_db_hz,sigma_pr_cm,margin_nav_db,viable
L1,Handheld,10,5759,24.0,171.6,1.5,-123.1,48.4,124.02,18.4,True
L1,Handheld,15,3864,24.0,168.1,1.5,-119.6,51.9,83.21,21.9,True
L1,Handheld,20,2924,24.0,165.7,1.5,-117.2,54.3,62.97,24.3,True
L1,Handheld,25,2366,24.0,163.9,1.5,-115.4,56.2,50.96,26.2,True
L1,Handheld,30,2000,24.0,162.4,1.5,-113.9,57.6,43.07,27.6,True
L1,Handheld,35,1743,24.0,161.2,1.5,-112.7,58.8,37.55,28.8,True
L1,Handheld,40,1556,24.0,160.2,1.5,-111.7,59.8,33.50,29.8,True
L1,Handheld,45,1414,24.0,159.4,1.5,-110.9,60.6,30.46,30.6,True
L1,Handheld,50,1305,24.0,158.7,1.5,-110.2,61.3,28.11,31.3,True
L1,Handheld,55,1221,24.0,158.1,1.5,-109.6,61.9,26.29,31.9,True
L1,Handheld,60,1155,24.0,157.6,1.5,-109.1,62.4,24.87,32.4,True
L1,Handheld,65,1103,24.0,157.3,1.5,-108.7,62.8,23.76,32.8,True
L1,Handheld,70,1064,24.0,156.9,1.5,-108.4,63.1,22.92,33.1,True
L1,Handheld,75,1035,24.0,156.7,1.5,-108.2,63.3,22.30,33.3,True
L1,Handheld,80,1015,24.0,156.5,1.5,-108.0,63.5,21.87,33.5,True
L1,Handheld,85,1004,24.0,156.4,1.5,-107.9,63.6,21.62,33.6,True
L1,Handheld,90,1000,24.0,156.4,1.5,-107.9,63.6,21.54,33.6,True
L1,Survey,10,5759,24.0,171.6,1.5,-115.6,58.7,38.06,28.7,True
L1,Survey,15,3864,24.0,168.1,1.5,-112.1,62.2,25.53,32.2,True
L1,Survey,20,2924,24.0,165.7,1.5,-109.7,64.6,19.32,34.6,True
L1,Survey,25,2366,24.0,163.9,1.5,-107.9,66.4,15.64,36.4,True
L1,Survey,30,2000,24.0,162.4,1.5,-106.4,67.9,13.22,37.9,True
L1,Survey,35,1743,24.0,161.2,1.5,-105.2,69.1,11.52,39.1,True
L1,Survey,40,1556,24.0,160.2,1.5,-104.2,70.1,10.28,40.1,True
L1,Survey,45,1414,24.0,159.4,1.5,-103.4,70.9,9.35,40.9,True
L1,Survey,50,1305,24.0,158.7,1.5,-102.7,71.6,8.63,41.6,True
L1,Survey,55,1221,24.0,158.1,1.5,-102.1,72.2,8.07,42.2,True
L1,Survey,60,1155,24.0,157.6,1.5,-101.6,72.7,7.63,42.7,True
L1,Survey,65,1103,24.0,157.3,1.5,-101.2,73.1,7.29,43.1,True
L1,Survey,70,1064,24.0,156.9,1.5,-100.9,73.4,7.03,43.4,True
L1,Survey,75,1035,24.0,156.7,1.5,-100.7,73.6,6.84,43.6,True
L1,Survey,80,1015,24.0,156.5,1.5,-100.5,73.8,6.71,43.8,True
L1,Survey,85,1004,24.0,156.4,1.5,-100.4,73.9,6.63,43.9,True
L1,Survey,90,1000,24.0,156.4,1.5,-100.4,73.9,6.61,43.9,True
L1,Maritime,10,5759,24.0,171.6,1.5,-117.1,55.8,53.39,25.8,True
L1,Maritime,15,3864,24.0,168.1,1.5,-113.6,59.2,35.82,29.2,True
L1,Maritime,20,2924,24.0,165.7,1.5,-111.2,61.6,27.11,31.6,True
L1,Maritime,25,2366,24.0,163.9,1.5,-109.4,63.5,21.94,33.5,True
L1,Maritime,30,2000,24.0,162.4,1.5,-107.9,64.9,18.54,34.9,True
L1,Maritime,35,1743,24.0,161.2,1.5,-106.7,66.1,16.16,36.1,True
L1,Maritime,40,1556,24.0,160.2,1.5,-105.7,67.1,14.42,37.1,True
L1,Maritime,45,1414,24.0,159.4,1.5,-104.9,68.0,13.11,38.0,True
L1,Maritime,50,1305,24.0,158.7,1.5,-104.2,68.7,12.10,38.7,True
L1,Maritime,55,1221,24.0,158.1,1.5,-103.6,69.2,11.32,39.2,True
L1,Maritime,60,1155,24.0,157.6,1.5,-103.1,69.7,10.71,39.7,True
L1,Maritime,65,1103,24.0,157.3,1.5,-102.7,70.1,10.23,40.1,True
L1,Maritime,70,1064,24.0,156.9,1.5,-102.4,70.4,9.87,40.4,True
L1,Maritime,75,1035,24.0,156.7,1.5,-102.2,70.7,9.60,40.7,True
L1,Maritime,80,1015,24.0,156.5,1.5,-102.0,70.8,9.41,40.8,True
L1,Maritime,85,1004,24.0,156.4,1.5,-101.9,70.9,9.31,40.9,True
L1,Maritime,90,1000,24.0,156.4,1.5,-101.9,71.0,9.27,41.0,True
L1,Aviation,10,5759,24.0,171.6,1.5,-120.6,53.0,73.68,23.0,True
L1,Aviation,15,3864,24.0,168.1,1.5,-117.1,56.4,49.43,26.4,True
L1,Aviation,20,2924,24.0,165.7,1.5,-114.7,58.8,37.41,28.8,True
L1,Aviation,25,2366,24.0,163.9,1.5,-112.9,60.7,30.27,30.7,True
L1,Aviation,30,2000,24.0,162.4,1.5,-111.4,62.1,25.59,32.1,True
L1,Aviation,35,1743,24.0,161.2,1.5,-110.2,63.3,22.31,33.3,True
L1,Aviation,40,1556,24.0,160.2,1.5,-109.2,64.3,19.90,34.3,True
L1,Aviation,45,1414,24.0,159.4,1.5,-108.4,65.2,18.09,35.2,True
L1,Aviation,50,1305,24.0,158.7,1.5,-107.7,65.9,16.70,35.9,True
L1,Aviation,55,1221,24.0,158.1,1.5,-107.1,66.4,15.62,36.4,True
L1,Aviation,60,1155,24.0,157.6,1.5,-106.6,66.9,14.77,36.9,True
L1,Aviation,65,1103,24.0,157.3,1.5,-106.2,67.3,14.12,37.3,True
L1,Aviation,70,1064,24.0,156.9,1.5,-105.9,67.6,13.62,37.6,True
L1,Aviation,75,1035,24.0,156.7,1.5,-105.7,67.9,13.25,37.9,True
L1,Aviation,80,1015,24.0,156.5,1.5,-105.5,68.0,12.99,38.0,True
L1,Aviation,85,1004,24.0,156.4,1.5,-105.4,68.1,12.84,38.1,True
L1,Aviation,90,1000,24.0,156.4,1.5,-105.4,68.2,12.79,38.2,True
L5,Handheld,10,5759,24.0,169.1,3.0,-122.1,49.5,110.07,19.5,True
L5,Handheld,15,3864,24.0,165.6,3.0,-118.6,52.9,73.85,22.9,True
L5,Handheld,20,2924,24.0,163.2,3.0,-116.2,55.4,55.88,25.4,True
L5,Handheld,25,2366,24.0,161.3,3.0,-114.3,57.2,45.23,27.2,True
L5,Handheld,30,2000,24.0,159.9,3.0,-112.9,58.7,38.23,28.7,True
L5,Handheld,35,1743,24.0,158.7,3.0,-111.7,59.9,33.32,29.9,True
L5,Handheld,40,1556,24.0,157.7,3.0,-110.7,60.8,29.74,30.8,True
L5,Handheld,45,1414,24.0,156.9,3.0,-109.9,61.7,27.03,31.7,True
L5,Handheld,50,1305,24.0,156.2,3.0,-109.2,62.4,24.95,32.4,True
L5,Handheld,55,1221,24.0,155.6,3.0,-108.6,62.9,23.33,32.9,True
