station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,9.0,541.0,4
Vladimir,9.5,23.8333,861.0,4
Zheleznogorsk,0.0,23.8333,1431.0,4
Khabarovsk,0.0,23.8333,1431.0,3
Murmansk,0.0,23.8333,1431.0,5
Novosibirsk,0.0,23.8333,1431.0,4
Vladivostok,0.0,23.8333,1431.0,3
Yakutsk,0.0,23.8333,1431.0,4
Minsk,0.0,13.0,781.0,4
Minsk,13.6667,23.8333,611.0,4
Almaty,0.0,14.1667,851.0,3
Almaty,15.5,16.3333,51.0,1
Almaty,16.8333,18.5,101.0,2
Almaty,19.0,23.8333,291.0,2
Urumqi,0.0,11.3333,681.0,3
Urumqi,12.1667,12.8333,41.0,1
Urumqi,13.5,15.3333,111.0,2
Urumqi,15.6667,23.8333,491.0,3
Delhi,0.0,3.3333,201.0,2
Delhi,3.6667,6.0,141.0,2
Delhi,6.5,8.5,121.0,2
Delhi,9.3333,10.8333,91.0,2
Delhi,11.5,13.8333,141.0,2
Delhi,14.1667,22.0,471.0,2
Delhi,22.5,23.8333,81.0,2
Yangon,0.0,17.5,1051.0,2
Yangon,18.1667,20.1667,121.0,2
Yangon,21.0,23.5,151.0,2
Jakarta,0.0,0.0,1.0,1
Jakarta,2.8333,12.8333,601.0,2
Jakarta,13.1667,15.5,141.0,2
Jakarta,16.0,23.8333,471.0,2
Tehran,0.0,23.6667,1421.0,3
Johannesburg,0.0,0.0,1.0,1
Johannesburg,0.3333,5.5,311.0,2
Johannesburg,5.8333,8.0,131.0,2
Johannesburg,8.8333,10.5,101.0,2
Johannesburg,12.1667,12.6667,31.0,1
Johannesburg,13.6667,23.6667,601.0,2
Nairobi,0.0,23.6667,1421.0,2
Luanda,0.0,4.8333,291.0,2
Luanda,5.3333,6.0,41.0,1
Luanda,6.3333,8.0,101.0,1
Luanda,8.8333,18.8333,601.0,2
Luanda,19.6667,21.8333,131.0,2
Luanda,22.5,23.8333,81.0,2
Havana,0.0,11.3333,681.0,2
Havana,11.8333,14.0,131.0,2
Havana,14.5,16.6667,131.0,2
Havana,17.1667,22.0,291.0,2
Havana,22.3333,23.8333,91.0,2
Caracas,0.0,1.3333,81.0,1
Caracas,2.3333,4.5,131.0,2
Caracas,4.8333,14.8333,601.0,2
Caracas,16.0,18.0,121.0,2
Caracas,19.1667,23.8333,281.0,2
Buenos_Aires,0.6667,13.6667,781.0,3
Buenos_Aires,14.0,23.8333,591.0,3
