label,n_satellites,altitude_km,n_orbits,n_sats_per_orbit,inclination_deg,coverage_4sats_mean_pct,coverage_4sats_min_pct,pdop_p95_mean,pdop_p95_worst,coverage_good_pdop_mean_pct,n_sats_mean_overall
inc_55,240,700.0,12,20,55.0,64.13,61.42,115.27,4095.325,42.88,4.15
inc_60,240,700.0,12,20,60.0,67.43,65.46,180.92,9429.516,46.22,4.43
inc_65,240,700.0,12,20,65.0,71.38,69.31,278.99,17277.967,42.99,4.8
inc_70,240,700.0,12,20,70.0,75.51,72.57,170.214,7097.855,46.55,5.31
inc_75,240,700.0,12,20,75.0,83.37,81.16,199.405,13519.155,50.67,6.49
inc_80,240,700.0,12,20,80.0,81.32,78.16,125.181,11599.476,62.17,7.55
inc_87,240,700.0,12,20,87.0,79.28,76.31,331.097,35434.934,52.78,8.25
