station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,12
Zheleznogorsk,0.0,23.8333,1431.0,12
Khabarovsk,0.0,23.8333,1431.0,10
Murmansk,0.0,23.8333,1431.0,14
Novosibirsk,0.0,23.8333,1431.0,12
Vladivostok,0.0,23.8333,1431.0,8
Yakutsk,0.0,23.8333,1431.0,14
Minsk,0.0,23.8333,1431.0,12
Almaty,0.0,23.8333,1431.0,8
Urumqi,0.0,23.8333,1431.0,9
Delhi,0.0,23.8333,1431.0,7
Yangon,0.0,23.8333,1431.0,7
Jakarta,0.0,23.8333,1431.0,8
Tehran,0.0,23.8333,1431.0,8
Johannesburg,0.0,23.8333,1431.0,6
Nairobi,0.0,23.8333,1431.0,7
Luanda,0.0,23.8333,1431.0,7
Havana,0.0,23.8333,1431.0,6
Caracas,0.0,23.8333,1431.0,7
Buenos_Aires,0.0,23.8333,1431.0,8
