station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,11
Zheleznogorsk,0.0,23.8333,1431.0,11
Khabarovsk,0.0,23.8333,1431.0,9
Murmansk,0.0,23.8333,1431.0,15
Novosibirsk,0.0,23.8333,1431.0,11
Vladivostok,0.0,23.8333,1431.0,7
Yakutsk,0.0,23.8333,1431.0,15
Minsk,0.0,23.8333,1431.0,11
Almaty,0.0,23.8333,1431.0,8
Urumqi,0.0,23.8333,1431.0,7
Delhi,0.0,23.8333,1431.0,8
Yangon,0.0,23.8333,1431.0,7
Jakarta,0.0,23.8333,1431.0,6
Tehran,0.0,23.8333,1431.0,7
Johannesburg,0.0,23.8333,1431.0,8
Nairobi,0.0,23.8333,1431.0,6
Luanda,0.0,23.8333,1431.0,6
Havana,0.0,23.8333,1431.0,6
Caracas,0.0,23.8333,1431.0,7
Buenos_Aires,0.0,23.8333,1431.0,7
