station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,16
Zheleznogorsk,0.0,23.8333,1431.0,16
Khabarovsk,0.0,23.8333,1431.0,12
Murmansk,0.0,23.8333,1431.0,20
Novosibirsk,0.0,23.8333,1431.0,14
Vladivostok,0.0,23.8333,1431.0,10
Yakutsk,0.0,23.8333,1431.0,17
Minsk,0.0,23.8333,1431.0,14
Almaty,0.0,23.8333,1431.0,10
Urumqi,0.0,23.8333,1431.0,10
Delhi,0.0,23.8333,1431.0,8
Yangon,0.0,23.8333,1431.0,8
Jakarta,0.0,23.8333,1431.0,8
Tehran,0.0,23.8333,1431.0,9
Johannesburg,0.0,23.8333,1431.0,8
Nairobi,0.0,23.8333,1431.0,8
Luanda,0.0,23.8333,1431.0,8
Havana,0.0,23.8333,1431.0,8
Caracas,0.0,23.8333,1431.0,8
Buenos_Aires,0.0,23.8333,1431.0,9
