time_s,time_h,Vladimir,Zheleznogorsk,Khabarovsk,Murmansk,Novosibirsk,Vladivostok,Yakutsk,Minsk,Almaty,Urumqi,Delhi,Yangon,Jakarta,Tehran,Johannesburg,Nairobi,Luanda,Havana,Caracas,Buenos_Aires
0.0,0.0,12,12,9,14,12,9,16,13,8,9,7,6,5,8,6,7,5,7,6,6
600.0,0.1667,13,13,9,17,13,8,15,13,8,9,8,6,5,8,6,7,4,6,6,7
1200.0,0.3333,13,12,9,20,12,8,15,11,9,8,7,6,5,7,7,4,4,6,5,6
1800.0,0.5,14,12,9,18,12,10,16,11,8,9,8,6,5,8,7,4,5,6,6,6
2400.0,0.6667,13,13,12,15,11,8,14,11,7,9,7,6,5,6,6,5,6,6,7,8
3000.0,0.8333,15,13,9,14,13,8,12,13,7,9,6,6,5,6,6,6,7,6,7,8
3600.0,1.0,13,15,8,14,13,8,15,12,8,8,5,5,6,5,6,6,6,5,5,8
4200.0,1.1667,12,14,9,13,13,8,15,10,8,8,5,6,7,6,6,5,6,6,6,8
4800.0,1.3333,12,13,10,15,12,8,15,12,8,8,5,6,7,7,7,4,8,6,6,8
5400.0,1.5,11,13,9,19,13,8,15,14,9,10,6,6,6,8,7,6,8,6,4,8
6000.0,1.6667,12,13,8,19,13,8,15,13,8,8,6,6,5,8,8,7,7,8,4,8
6600.0,1.8333,14,13,9,17,13,8,15,13,9,9,7,6,4,9,7,7,6,7,4,8
7200.0,2.0,14,13,12,14,14,7,13,12,8,9,7,7,4,8,7,5,7,5,4,7
7800.0,2.1667,15,14,9,14,13,8,12,10,10,8,6,6,5,7,6,7,6,7,6,5
8400.0,2.3333,13,14,9,14,11,9,16,12,8,8,7,5,5,7,6,6,4,7,6,6
9000.0,2.5,13,14,9,14,13,8,16,14,8,9,6,5,5,6,6,4,4,7,6,7
9600.0,2.6667,13,13,9,18,13,8,16,11,8,8,6,5,6,6,6,4,4,5,6,8
10200.0,2.8333,13,13,10,19,11,9,15,12,8,8,6,4,8,7,7,4,5,6,7,8
10800.0,3.0,13,13,12,18,11,8,16,13,8,7,6,4,7,6,6,4,5,7,7,9
11400.0,3.1667,14,14,10,13,12,9,14,14,8,9,8,6,8,7,5,5,6,7,6,8
12000.0,3.3333,14,15,9,13,13,8,13,12,8,8,6,7,7,8,6,6,7,6,5,8
12600.0,3.5,14,15,10,13,12,8,14,10,8,8,6,7,8,8,7,7,7,6,6,8
13200.0,3.6667,12,13,10,13,12,9,16,12,8,8,6,7,6,8,6,7,7,6,6,7
13800.0,3.8333,11,12,9,17,13,8,16,13,8,9,6,7,5,8,6,8,6,6,5,7
14400.0,4.0,12,12,9,20,14,8,15,13,8,8,7,6,5,8,6,8,5,5,4,6
15000.0,4.1667,12,12,9,19,13,9,15,12,10,7,6,6,5,8,6,6,4,5,5,7
15600.0,4.3333,13,12,10,15,13,9,17,12,8,8,7,7,4,7,7,5,6,5,6,6
16200.0,4.5,14,13,11,13,13,8,14,12,9,8,7,6,4,7,6,6,6,5,7,7
16800.0,4.6667,12,14,9,13,13,9,13,13,8,9,6,7,5,6,6,6,5,5,7,6
17400.0,4.8333,14,14,8,13,13,9,16,11,9,8,6,5,6,5,6,5,5,6,5,7
18000.0,5.0,13,14,9,14,13,8,15,10,8,8,6,4,7,5,6,4,6,6,8,8
18600.0,5.1667,13,13,9,18,13,8,15,12,8,9,5,6,7,7,7,4,7,6,5,8
19200.0,5.3333,12,13,8,19,13,9,16,13,8,9,5,6,7,8,7,4,7,7,5,7
19800.0,5.5,12,12,9,17,13,9,16,13,8,9,6,6,5,8,7,6,7,7,4,8
20400.0,5.6667,15,14,10,14,13,8,14,13,7,9,7,5,5,7,7,6,7,8,4,8
21000.0,5.8333,15,15,11,14,14,9,13,11,8,8,8,6,5,8,6,4,6,6,5,6
21600.0,6.0,14,15,9,14,13,8,14,10,9,8,7,7,5,8,6,6,5,7,5,6
22200.0,6.1667,12,13,9,14,13,9,16,13,8,8,8,6,5,8,6,6,4,7,7,7
22800.0,6.3333,13,12,10,17,13,8,15,12,8,9,7,6,5,7,6,4,4,7,5,6
23400.0,6.5,13,13,9,19,12,8,15,12,9,8,6,6,5,8,7,4,4,5,6,7
24000.0,6.6667,14,13,11,19,11,9,16,11,8,7,7,5,5,6,6,4,4,6,8,6
24600.0,6.8333,14,14,12,14,11,8,14,13,7,9,7,5,6,8,6,5,7,7,8,8
25200.0,7.0,14,13,10,14,12,7,12,14,8,9,7,7,8,6,6,6,7,7,6,8
25800.0,7.1667,14,14,9,14,14,8,13,12,9,8,6,6,7,6,6,6,7,6,5,8
26400.0,7.3333,12,13,9,14,14,8,15,10,9,8,6,7,8,7,7,6,8,5,7,8
27000.0,7.5,12,12,9,15,11,8,14,11,8,8,6,6,6,8,6,6,8,5,5,8
27600.0,7.6667,11,12,8,18,13,8,15,14,8,9,6,6,6,8,5,8,6,6,5,7
28200.0,7.8333,12,11,8,20,13,8,15,13,9,7,6,8,5,8,6,8,5,6,4,7
28800.0,8.0,13,13,9,17,13,8,16,12,9,7,8,7,4,9,7,7,6,6,4,6
29400.0,8.1667,15,13,11,14,12,8,13,12,8,8,8,7,4,8,7,7,6,6,5,7
30000.0,8.3333,16,15,11,14,13,8,12,12,9,8,6,6,5,8,5,6,6,6,6,6
30600.0,8.5,13,15,9,13,12,10,16,12,9,8,6,6,5,6,6,5,4,7,8,6
31200.0,8.6667,13,13,9,13,13,8,16,10,8,8,6,5,6,6,6,4,4,8,5,8
31800.0,8.8333,13,13,10,17,13,8,15,12,8,8,6,4,6,5,7,4,5,5,7,8
32400.0,9.0,13,13,10,19,13,9,15,13,9,8,6,4,8,6,7,4,6,6,7,8
33000.0,9.1667,13,13,8,19,12,8,16,13,8,8,7,5,8,7,8,4,7,7,6,8
33600.0,9.3333,13,13,10,14,13,8,14,14,7,9,7,5,7,8,7,5,6,7,5,8
34200.0,9.5,15,14,10,13,14,8,14,12,9,8,7,4,6,7,7,7,5,7,4,7
34800.0,9.6667,13,14,11,13,13,9,15,10,9,8,6,7,5,8,6,5,6,5,5,7
35400.0,9.8333,14,14,10,14,11,8,15,11,8,8,7,6,5,8,6,7,5,8,6,6
36000.0,10.0,13,12,9,15,12,8,16,13,8,9,8,7,6,8,6,7,4,7,6,6
