station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,23.8333,1431.0,7
Zheleznogorsk,0.0,23.8333,1431.0,7
Khabarovsk,0.0,23.8333,1431.0,5
Murmansk,0.0,23.8333,1431.0,10
Novosibirsk,0.0,23.8333,1431.0,6
Vladivostok,0.0,23.8333,1431.0,5
Yakutsk,0.0,23.8333,1431.0,8
Minsk,0.0,23.8333,1431.0,7
Almaty,0.0,23.8333,1431.0,5
Urumqi,0.0,23.8333,1431.0,4
Delhi,0.0,23.8333,1431.0,4
Yangon,0.0,23.8333,1431.0,3
Jakarta,0.0,6.3333,381.0,3
Jakarta,6.8333,8.6667,111.0,3
Jakarta,9.0,11.0,121.0,3
Jakarta,11.3333,20.8333,571.0,3
Jakarta,21.1667,23.1667,121.0,3
Jakarta,23.5,23.8333,21.0,2
Tehran,0.0,23.8333,1431.0,4
Johannesburg,0.0,23.8333,1431.0,4
Nairobi,0.0,1.3333,81.0,4
Nairobi,2.0,3.8333,111.0,4
Nairobi,4.3333,6.3333,121.0,3
Nairobi,6.6667,8.6667,121.0,3
Nairobi,9.0,11.0,121.0,3
Nairobi,11.3333,13.3333,121.0,2
Nairobi,13.8333,15.8333,121.0,2
Nairobi,16.1667,18.1667,121.0,3
Nairobi,18.5,20.5,121.0,3
Nairobi,20.8333,22.8333,121.0,3
Nairobi,23.1667,23.8333,41.0,2
Luanda,0.0,23.8333,1431.0,4
Havana,0.0,23.8333,1431.0,4
Caracas,0.0,3.6667,221.0,4
Caracas,4.0,23.8333,1191.0,4
Buenos_Aires,0.0,23.8333,1431.0,4
