station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,0.0833,6.0,1
Vladimir,0.25,0.3333,6.0,2
Vladimir,0.5,0.5,1.0,1
Vladimir,0.6667,0.75,6.0,1
Vladimir,0.9167,1.0,6.0,1
Vladimir,1.1667,1.1667,1.0,2
Vladimir,1.3333,1.4167,6.0,2
Vladimir,1.5833,1.5833,1.0,2
Vladimir,1.75,2.0,16.0,2
Vladimir,2.1667,2.4167,16.0,2
Vladimir,2.5833,2.8333,16.0,2
Vladimir,3.0,3.0,1.0,2
Vladimir,3.1667,3.25,6.0,2
Vladimir,3.4167,3.4167,1.0,2
Vladimir,3.5833,3.8333,16.0,2
Vladimir,4.0,4.0833,6.0,2
Vladimir,4.25,4.25,1.0,1
Vladimir,4.4167,4.5,6.0,1
Vladimir,4.6667,4.9167,16.0,2
Vladimir,5.0833,5.1667,6.0,2
Vladimir,5.3333,5.3333,1.0,2
Vladimir,5.5,5.5833,6.0,2
Vladimir,5.75,5.75,1.0,2
Vladimir,5.9167,5.9167,1.0,2
Zheleznogorsk,0.0,0.0,1.0,2
Zheleznogorsk,0.1667,0.1667,1.0,2
Zheleznogorsk,0.3333,0.4167,6.0,2
Zheleznogorsk,0.5833,0.5833,1.0,2
Zheleznogorsk,0.75,0.8333,6.0,2
Zheleznogorsk,1.0,1.25,16.0,1
Zheleznogorsk,1.4167,1.5,6.0,2
Zheleznogorsk,1.6667,1.6667,1.0,2
Zheleznogorsk,1.8333,1.9167,6.0,2
Zheleznogorsk,2.0833,2.0833,1.0,2
Zheleznogorsk,2.25,2.5,16.0,2
Zheleznogorsk,2.6667,2.9167,16.0,2
Zheleznogorsk,3.0833,3.3333,16.0,2
Zheleznogorsk,3.5,3.75,16.0,2
Zheleznogorsk,3.9167,3.9167,1.0,2
Zheleznogorsk,4.0833,4.1667,6.0,2
Zheleznogorsk,4.3333,4.3333,1.0,2
Zheleznogorsk,4.5,4.5833,6.0,2
Zheleznogorsk,4.75,5.0,16.0,1
Zheleznogorsk,5.1667,5.4167,16.0,1
Zheleznogorsk,5.5833,5.6667,6.0,2
Zheleznogorsk,5.8333,5.8333,1.0,2
Khabarovsk,0.0,1.0833,66.0,2
Khabarovsk,1.25,1.5,16.0,2
Khabarovsk,1.6667,1.6667,1.0,1
Khabarovsk,1.8333,1.8333,1.0,1
Khabarovsk,2.0833,2.0833,1.0,1
Khabarovsk,2.4167,2.4167,1.0,1
Khabarovsk,2.5833,2.5833,1.0,1
Khabarovsk,2.8333,2.8333,1.0,1
Khabarovsk,3.0,5.25,136.0,2
Khabarovsk,5.4167,5.6667,16.0,2
Khabarovsk,5.8333,5.8333,1.0,1
