station,start_h,end_h,duration_min,peak_sats
Vladimir,0.0,0.0333,3.0,1
Vladimir,0.2167,0.35,9.0,1
Vladimir,0.4167,0.4667,4.0,1
Vladimir,0.5167,0.65,9.0,1
Vladimir,0.6833,4.5833,235.0,2
Vladimir,4.6167,4.7,6.0,1
Vladimir,4.7333,4.8833,10.0,1
Vladimir,4.9333,4.95,2.0,1
Vladimir,5.05,5.1667,8.0,1
Vladimir,5.3667,5.45,6.0,1
Vladimir,5.6833,5.7167,3.0,1
Vladimir,11.4667,11.5,3.0,1
Vladimir,11.7333,11.8167,6.0,1
Vladimir,12.0167,12.1333,8.0,1
Vladimir,12.2333,12.25,2.0,1
Vladimir,12.3167,12.45,9.0,1
Vladimir,12.4833,12.5667,6.0,1
Vladimir,12.6,16.3833,228.0,2
Vladimir,16.4167,16.6833,17.0,1
Vladimir,16.7167,16.7833,5.0,1
Vladimir,16.8333,16.9667,9.0,1
Vladimir,17.15,17.25,7.0,1
Vladimir,17.4667,17.5333,5.0,1
Vladimir,23.55,23.6,4.0,1
Vladimir,23.8167,23.9167,7.0,1
Zheleznogorsk,0.0,1.2,73.0,2
Zheleznogorsk,1.25,1.3833,9.0,1
Zheleznogorsk,1.45,1.45,1.0,1
Zheleznogorsk,1.55,1.6667,8.0,1
Zheleznogorsk,1.8667,1.95,6.0,1
Zheleznogorsk,2.2,2.2167,2.0,1
Zheleznogorsk,7.9667,8.0,3.0,1
Zheleznogorsk,8.25,8.3333,6.0,1
Zheleznogorsk,8.5333,8.65,8.0,1
Zheleznogorsk,8.7333,8.7667,3.0,1
Zheleznogorsk,8.8167,8.95,9.0,1
Zheleznogorsk,8.9833,9.0667,6.0,1
Zheleznogorsk,9.1,13.1833,246.0,2
Zheleznogorsk,13.2167,13.2833,5.0,1
Zheleznogorsk,13.35,13.4667,8.0,1
Zheleznogorsk,13.65,13.75,7.0,1
Zheleznogorsk,13.9667,14.0333,5.0,1
Zheleznogorsk,20.05,20.1167,5.0,1
Zheleznogorsk,20.3333,20.4333,7.0,1
Zheleznogorsk,20.6167,20.7333,8.0,1
Zheleznogorsk,20.8,20.8667,5.0,1
Zheleznogorsk,20.9,23.9833,186.0,2
Khabarovsk,5.9667,6.0333,5.0,1
Khabarovsk,6.25,6.3833,9.0,1
Khabarovsk,6.5167,6.7,12.0,2
Khabarovsk,6.8167,7.0167,13.0,2
Khabarovsk,7.1,7.3,13.0,2
Khabarovsk,7.3833,7.6,14.0,2
Khabarovsk,7.6833,7.9,14.0,2
Khabarovsk,7.9667,8.2,15.0,2
Khabarovsk,8.2667,8.4833,14.0,2
Khabarovsk,8.55,8.7833,15.0,2
Khabarovsk,8.85,9.0667,14.0,2
Khabarovsk,9.15,9.3667,14.0,2
Khabarovsk,9.45,9.65,13.0,2
Khabarovsk,9.75,9.9333,12.0,2
Khabarovsk,10.05,10.2167,11.0,2
Khabarovsk,10.4,10.5,7.0,1
Khabarovsk,10.7333,10.7667,3.0,1
Khabarovsk,17.7833,17.8167,3.0,1
Khabarovsk,18.05,18.1333,6.0,1
Khabarovsk,18.3333,18.4833,10.0,2
Khabarovsk,18.6167,18.8,12.0,2
Khabarovsk,18.9,19.1,13.0,2
Khabarovsk,19.1833,19.4,14.0,2
Khabarovsk,19.4833,19.7,14.0,2
Khabarovsk,19.7667,19.9833,14.0,2
Khabarovsk,20.0667,20.2833,14.0,2
Khabarovsk,20.35,20.5833,15.0,2
Khabarovsk,20.65,20.8667,14.0,2
Khabarovsk,20.9333,21.1667,15.0,2
Khabarovsk,21.2333,21.45,14.0,2
Khabarovsk,21.5333,21.7333,13.0,2
Khabarovsk,21.85,22.0167,11.0,2
Khabarovsk,22.1667,22.3,9.0,2
Khabarovsk,22.5,22.5833,6.0,1
