time_h,gs_name,sat_id,distance_km,elevation_deg,fspl_db,atm_loss_db,rx_power_dbw,cn0_dbhz,snr_db,doppler_hz,link_margin_db
0.0,Vladimir,17,1928.47875,0.0,162.1,34.38,-163.48,38.5,-31.6,39455.2,3.5
0.0,Zheleznogorsk,25,1495.99125,0.0,159.89,34.38,-161.27,40.7,-29.4,39455.2,5.7
0.0,Khabarovsk,33,994.723625,0.0,156.35,34.38,-157.73,44.25,-25.85,39455.2,9.25
0.08333333333333333,Vladimir,17,1406.612125,0.0,159.36,34.38,-160.74,41.24,-28.86,39455.2,6.24
0.08333333333333333,Zheleznogorsk,24,2105.83575,0.0,162.86,34.38,-164.24,37.73,-32.37,39455.2,2.73
0.08333333333333333,Khabarovsk,10,653.738125,0.0,152.7,34.38,-154.08,47.89,-22.21,39455.2,12.89
0.16666666666666666,Vladimir,2,2333.205,0.0,163.75,34.38,-165.13,36.84,-33.26,39455.2,1.84
0.16666666666666666,Zheleznogorsk,24,1010.5964375,0.0,156.49,34.38,-157.87,44.11,-25.99,39455.2,9.11
0.16666666666666666,Khabarovsk,32,1548.50225,0.0,160.19,34.38,-161.57,40.4,-29.7,39455.2,5.4
0.25,Vladimir,16,1458.14625,0.0,159.67,34.38,-161.05,40.93,-29.17,39455.2,5.93
0.25,Zheleznogorsk,9,2493.70525,0.0,164.33,34.38,-165.71,36.26,-33.83,39455.2,1.26
0.25,Khabarovsk,32,1102.318875,0.0,157.24,34.38,-158.62,43.35,-26.74,39455.2,8.35
0.3333333333333333,Vladimir,1,1960.7055,0.0,162.24,34.38,-163.62,38.35,-31.75,39455.2,3.35
0.3333333333333333,Zheleznogorsk,31,1342.015875,0.0,158.95,34.38,-160.33,41.65,-28.45,39455.2,6.65
0.3333333333333333,Khabarovsk,9,1319.873625,0.0,158.81,34.38,-160.19,41.79,-28.31,39455.2,6.79
0.4166666666666667,Vladimir,23,2077.09475,0.0,162.74,34.38,-164.12,37.85,-32.25,39455.2,2.85
0.4166666666666667,Zheleznogorsk,31,1790.59825,0.0,161.46,34.38,-162.83,39.14,-30.96,39455.2,4.14
0.4166666666666667,Khabarovsk,39,683.0338125,0.0,153.08,34.38,-154.46,47.51,-22.59,39455.2,12.51
0.5,Vladimir,23,1749.2305,0.0,161.25,34.38,-162.63,39.34,-30.75,39455.2,4.34
0.5,Zheleznogorsk,30,2140.37775,0.0,163.01,34.38,-164.38,37.59,-32.51,39455.2,2.59
0.5,Khabarovsk,8,813.5681875,0.0,154.6,34.38,-155.98,45.99,-24.11,39455.2,10.99
0.5833333333333334,Vladimir,0,2068.00125,0.0,162.71,34.38,-164.09,37.89,-32.21,39455.2,2.89
0.5833333333333334,Zheleznogorsk,30,1348.929625,0.0,159.0,34.38,-160.37,41.6,-28.5,39455.2,6.6
0.5833333333333334,Khabarovsk,38,1277.286375,0.0,158.52,34.38,-159.9,42.08,-28.02,39455.2,7.08
0.6666666666666666,Vladimir,22,1767.4875,0.0,161.34,34.38,-162.72,39.25,-30.84,39455.2,4.25
0.6666666666666666,Zheleznogorsk,15,2204.59275,0.0,163.26,34.38,-164.64,37.33,-32.76,39455.2,2.33
0.6666666666666666,Khabarovsk,15,1206.260375,0.0,158.02,34.38,-159.4,42.57,-27.53,39455.2,7.57
0.75,Vladimir,7,1629.794125,0.0,160.64,34.38,-162.02,39.96,-30.14,39455.2,4.96
0.75,Zheleznogorsk,29,1570.64275,0.0,160.32,34.38,-161.7,40.28,-29.82,39455.2,5.28
0.75,Khabarovsk,15,1694.02475,0.0,160.97,34.38,-162.35,39.62,-30.48,39455.2,4.62
0.8333333333333334,Vladimir,21,2293.068,0.0,163.6,34.38,-164.98,36.99,-33.11,39455.2,1.99
