n_points,coverage_4sats_pct,coverage_good_pdop_pct,n_sats_min,n_sats_max,n_sats_mean,pdop_min,pdop_max,pdop_mean,pdop_p95,gdop_mean,gdop_p95,time_s,time_h
2701,100.0,82.52,4,21,10.92,0.0,60363957.223,94075.485,1822.281,111802.649,2175.096,0.0,0.0
2701,100.0,93.34,4,22,10.93,0.995,738.612,7.841,6.432,8.787,7.274,600.0,0.1667
2701,100.0,94.78,4,24,11.29,0.975,1853.104,9.809,6.098,10.579,6.59,1200.0,0.3333
2701,100.0,95.0,4,24,11.26,1.014,363.837,6.813,5.985,7.35,6.287,1800.0,0.5
2701,100.0,94.63,4,24,11.26,0.974,408.496,5.812,6.343,6.411,7.254,2400.0,0.6667
2701,100.0,84.71,4,22,10.87,1.002,3391.68,21.497,8.468,25.12,9.391,3000.0,0.8333
2701,100.0,85.15,4,22,10.98,0.995,1068.503,9.041,7.862,10.358,8.713,3600.0,1.0
2701,100.0,95.96,4,24,11.27,0.976,470.392,6.266,5.646,6.89,6.044,4200.0,1.1667
2701,100.0,93.52,4,24,11.21,1.047,11913.851,32.887,6.409,35.294,6.881,4800.0,1.3333
2701,100.0,95.96,4,24,11.24,0.972,433.316,6.389,5.816,6.966,6.281,5400.0,1.5
2701,100.0,92.67,4,22,10.98,0.988,1364.233,10.028,7.295,11.481,7.999,6000.0,1.6667
2701,100.0,85.89,4,21,10.88,1.004,5016.411,30.663,7.769,36.173,8.481,6600.0,1.8333
2701,100.0,93.74,4,24,11.08,0.978,470.347,6.485,7.025,7.213,7.789,7200.0,2.0
2701,100.0,95.89,4,24,11.23,1.014,376.737,6.391,5.832,6.926,6.128,7800.0,2.1667
2701,100.0,94.48,4,24,11.26,1.017,2608.164,11.348,6.425,12.223,6.824,8400.0,2.3333
2701,100.0,95.22,4,24,11.12,0.988,604.413,6.869,5.892,7.625,6.523,9000.0,2.5
2701,100.0,82.82,4,21,10.93,1.003,25412.422,67.039,26.425,78.965,31.364,9600.0,2.6667
2701,100.0,91.63,4,22,10.93,1.002,985.145,9.39,7.158,10.65,7.665,10200.0,2.8333
2701,100.0,94.82,4,24,11.29,0.971,1425.965,8.22,6.079,8.902,6.759,10800.0,3.0
2701,100.0,94.41,4,24,11.24,1.015,359.332,7.055,6.147,7.615,6.465,11400.0,3.1667
2701,100.0,94.85,4,24,11.26,0.972,372.841,5.607,6.022,6.145,6.395,12000.0,3.3333
2701,100.0,85.04,4,22,10.88,0.988,1395.016,12.63,7.43,14.487,8.107,12600.0,3.5
2701,100.0,83.78,4,21,10.96,1.001,2325.148,12.87,8.74,14.919,9.666,13200.0,3.6667
2701,100.0,96.19,4,24,11.28,0.981,520.1,6.559,5.576,7.277,6.043,13800.0,3.8333
2701,100.0,94.11,4,24,11.23,1.015,3825.217,14.994,6.119,16.104,6.506,14400.0,4.0
2701,100.0,95.45,4,24,11.22,0.974,1917.201,11.288,5.919,12.178,6.245,15000.0,4.1667
2701,100.0,94.0,4,22,10.97,0.983,21484.623,53.995,6.377,62.096,7.266,15600.0,4.3333
2701,100.0,85.23,4,21,10.9,1.005,4196.646,30.726,8.116,36.212,8.852,16200.0,4.5
2701,100.0,92.56,4,22,10.91,0.982,693.125,8.231,6.889,9.268,7.468,16800.0,4.6667
2701,100.0,96.33,4,24,11.24,0.97,391.274,5.929,5.613,6.378,6.098,17400.0,4.8333
